bin,n,pred,emp,delta,method,threshold,position
"[0.1,0.2)",350,0.16571714285714287,0.10571428571428572,-0.06000285714285715,raw,12+,TE
"[0.2,0.3)",338,0.24583136094674557,0.257396449704142,0.011565088757396425,raw,12+,TE
"[0.3,0.4)",348,0.3479396551724138,0.2959770114942529,-0.05196264367816095,raw,12+,TE
"[0.4,0.5)",213,0.44309389671361504,0.4647887323943662,0.021694835680751146,raw,12+,TE
"[0.5,0.6)",69,0.5398695652173913,0.5797101449275363,0.039840579710144985,raw,12+,TE
"[0.6,0.7)",26,0.6373269230769231,0.6923076923076923,0.05498076923076922,raw,12+,TE
"[0,0.1)",47,0.08718151720106522,0.0851063829787234,-0.002075134222341818,platt,12+,TE
"[0.1,0.2)",444,0.14772666806881038,0.14864864864864866,9.219805798382774e-4,platt,12+,TE
"[0.2,0.3)",292,0.24717946017621084,0.2910958904109589,0.04391643023474806,platt,12+,TE
"[0.3,0.4)",259,0.3447440175767362,0.2857142857142857,-0.059029731862450474,platt,12+,TE
"[0.4,0.5)",184,0.44150978838634775,0.4891304347826087,0.04762064639626096,platt,12+,TE
"[0.5,0.6)",75,0.5379978120250932,0.5333333333333333,-0.004664478691759899,platt,12+,TE
"[0.6,0.7)",36,0.6519191563712912,0.5555555555555556,-0.09636360081573558,platt,12+,TE
"[0.7,0.8)",7,0.7351669040462352,0.7142857142857143,-0.02088118976052089,platt,12+,TE
"[0,0.1)",157,0.08626346123744821,0.12738853503184713,0.04112507379439892,iso,12+,TE
"[0.1,0.2)",324,0.1365672675547596,0.1574074074074074,0.02084013985264782,iso,12+,TE
"[0.2,0.3)",386,0.25371570950609534,0.2772020725388601,0.023486363032764745,iso,12+,TE
"[0.3,0.4)",186,0.35002791240651876,0.3172043010752688,-0.03282361133124995,iso,12+,TE
"[0.4,0.5)",81,0.41501847831514854,0.4074074074074074,-0.007611070907741158,iso,12+,TE
"[0.5,0.6)",138,0.553864568992004,0.5507246376811594,-0.003139931310844557,iso,12+,TE
"[0.6,0.7)",49,0.635328888265003,0.5102040816326531,-0.12512480663234993,iso,12+,TE
"[0.7,0.8)",15,0.7418181073599031,0.5333333333333333,-0.20848477402656973,iso,12+,TE
"[0.8,0.9)",4,0.8,0.75,-0.050000000000000044,iso,12+,TE
"[0.9,1]",4,0.9765625,0.5,-0.4765625,iso,12+,TE
"[0,0.1)",68,0.08573865062771575,0.1323529411764706,0.046614290548754836,strat_platt,12+,TE
"[0.1,0.2)",432,0.14692494991359156,0.15046296296296297,0.0035380130493714024,strat_platt,12+,TE
"[0.2,0.3)",281,0.24731676237070377,0.2846975088967972,0.03738074652609341,strat_platt,12+,TE
"[0.3,0.4)",248,0.3454535279486411,0.2782258064516129,-0.06722772149702821,strat_platt,12+,TE
"[0.4,0.5)",186,0.44361197923918133,0.478494623655914,0.03488264441673267,strat_platt,12+,TE
"[0.5,0.6)",86,0.5409977162343091,0.5465116279069767,0.005513911672667571,strat_platt,12+,TE
"[0.6,0.7)",35,0.6531381586017685,0.5428571428571428,-0.11028101574462568,strat_platt,12+,TE
"[0.7,0.8)",8,0.7317431007153998,0.75,0.01825689928460017,strat_platt,12+,TE
"[0,0.1)",203,0.08157823981336874,0.12315270935960591,0.04157446954623717,strat_iso,12+,TE
"[0.1,0.2)",273,0.14205532702619447,0.16483516483516483,0.02277983780897036,strat_iso,12+,TE
"[0.2,0.3)",391,0.2531041980190762,0.27621483375959077,0.023110635740514585,strat_iso,12+,TE
"[0.3,0.4)",174,0.3486325481338103,0.3160919540229885,-0.032540594110821774,strat_iso,12+,TE
"[0.4,0.5)",102,0.4268988467294319,0.43137254901960786,0.004473702290175963,strat_iso,12+,TE
"[0.5,0.6)",119,0.5591638142520071,0.5378151260504201,-0.021348688201586974,strat_iso,12+,TE
"[0.6,0.7)",52,0.6427490146555969,0.5192307692307693,-0.12351824542482759,strat_iso,12+,TE
"[0.7,0.8)",21,0.7368892479905306,0.47619047619047616,-0.2606987718000544,strat_iso,12+,TE
"[0.8,0.9)",4,0.8,0.75,-0.050000000000000044,strat_iso,12+,TE
"[0.9,1]",5,0.9812500000000001,0.6,-0.3812500000000001,strat_iso,12+,TE
"[0,0.1)",44,0.08780190926700013,0.09090909090909091,0.003107181642090784,platt_vol,12+,TE
"[0.1,0.2)",454,0.14647092066520145,0.14757709251101322,0.0011061718458117709,platt_vol,12+,TE
"[0.2,0.3)",279,0.246209754434247,0.3010752688172043,0.05486551438295731,platt_vol,12+,TE
"[0.3,0.4)",284,0.34709889842192704,0.30633802816901406,-0.04076087025291297,platt_vol,12+,TE
"[0.4,0.5)",171,0.44488021763055957,0.4502923976608187,0.005412180030259117,platt_vol,12+,TE
"[0.5,0.6)",67,0.5394466603251323,0.582089552238806,0.04264289191367365,platt_vol,12+,TE
"[0.6,0.7)",37,0.6534179731273706,0.5675675675675675,-0.08585040555980306,platt_vol,12+,TE
"[0.7,0.8)",8,0.7383409311663356,0.625,-0.11334093116633559,platt_vol,12+,TE
"[0,0.1)",68,0.08330185131291158,0.10294117647058823,0.01963932515767665,platt_vegas,12+,TE
"[0.1,0.2)",429,0.14537802893253096,0.16083916083916083,0.015461131906629871,platt_vegas,12+,TE
"[0.2,0.3)",304,0.24621876714731153,0.2894736842105263,0.0432549170632148,platt_vegas,12+,TE
"[0.3,0.4)",254,0.35048795341429584,0.29133858267716534,-0.0591493707371305,platt_vegas,12+,TE
"[0.4,0.5)",171,0.4438756823743897,0.4619883040935672,0.018112621719177546,platt_vegas,12+,TE
"[0.5,0.6)",72,0.5419536970480803,0.5555555555555556,0.013601858507475306,platt_vegas,12+,TE
"[0.6,0.7)",33,0.6498685932589664,0.6060606060606061,-0.04380798719836032,platt_vegas,12+,TE
"[0.7,0.8)",10,0.7305656707723573,0.6,-0.13056567077235737,platt_vegas,12+,TE
"[0.8,0.9)",2,0.8789702260530143,0.5,-0.37897022605301434,platt_vegas,12+,TE
"[0.9,1]",1,0.9191824862014887,0,-0.9191824862014887,platt_vegas,12+,TE
"[0,0.1)",70,0.08262786624843314,0.08571428571428572,0.0030864194658525718,platt_vol_vegas,12+,TE
"[0.1,0.2)",429,0.1453181725721608,0.16317016317016317,0.017851990598002382,platt_vol_vegas,12+,TE
"[0.2,0.3)",301,0.24548016960721616,0.292358803986711,0.04687863437949483,platt_vol_vegas,12+,TE
"[0.3,0.4)",262,0.3506834950926817,0.3015267175572519,-0.049156777535429796,platt_vol_vegas,12+,TE
"[0.4,0.5)",160,0.44501134212181603,0.46875,0.023738657878183966,platt_vol_vegas,12+,TE
"[0.5,0.6)",77,0.541535809901497,0.5064935064935064,-0.03504230340799053,platt_vol_vegas,12+,TE
"[0.6,0.7)",33,0.6525643274539616,0.6060606060606061,-0.04650372139335557,platt_vol_vegas,12+,TE
"[0.7,0.8)",9,0.7365290695649213,0.6666666666666666,-0.06986240289825463,platt_vol_vegas,12+,TE
"[0.8,0.9)",2,0.8739668455438949,0.5,-0.3739668455438949,platt_vol_vegas,12+,TE
"[0.9,1]",1,0.9260011978980428,0,-0.9260011978980428,platt_vol_vegas,12+,TE
"[0,0.1)",683,0.057019033674963394,0.05710102489019034,8.199121522694391e-5,raw,17+,TE
"[0.1,0.2)",487,0.1427053388090349,0.162217659137577,0.019512320328542082,raw,17+,TE
"[0.2,0.3)",134,0.23519029850746268,0.23880597014925373,0.0036156716417910517,raw,17+,TE
"[0.3,0.4)",38,0.34278947368421053,0.34210526315789475,-6.842105263157872e-4,raw,17+,TE
"[0.4,0.5)",2,0.42325,0,-0.42325,raw,17+,TE
"[0,0.1)",714,0.05623589028294428,0.06442577030812324,0.00818988002517896,platt,17+,TE
"[0.1,0.2)",427,0.1440164046810951,0.1451990632318501,0.0011826585507550003,platt,17+,TE
"[0.2,0.3)",149,0.2376894201999012,0.26174496644295303,0.02405554624305184,platt,17+,TE
"[0.3,0.4)",41,0.34453697984601483,0.2682926829268293,-0.07624429691918555,platt,17+,TE
"[0.4,0.5)",13,0.4318248444154506,0.38461538461538464,-0.04720945980006597,platt,17+,TE
"[0,0.1)",708,0.047470298769040846,0.06073446327683616,0.013264164507795315,iso,17+,TE
"[0.1,0.2)",335,0.12527706061545113,0.13432835820895522,0.009051297593504093,iso,17+,TE
"[0.2,0.3)",262,0.25293125222540497,0.24427480916030533,-0.008656443065099634,iso,17+,TE
"[0.3,0.4)",24,0.3407990839805356,0.375,0.0342009160194644,iso,17+,TE
"[0.4,0.5)",13,0.41282051282051285,0.15384615384615385,-0.258974358974359,iso,17+,TE
"[0.5,0.6)",1,0.5,0,-0.5,iso,17+,TE
"[0.9,1]",1,1,0,-1,iso,17+,TE
"[0,0.1)",712,0.05540980879194617,0.06320224719101124,0.0077924383990650645,strat_platt,17+,TE
"[0.1,0.2)",410,0.14598610123204103,0.14146341463414633,-0.004522686597894704,strat_platt,17+,TE
"[0.2,0.3)",164,0.2405206664714626,0.2621951219512195,0.02167445547975691,strat_platt,17+,TE
"[0.3,0.4)",45,0.34276846176593045,0.26666666666666666,-0.07610179509926379,strat_platt,17+,TE
"[0.4,0.5)",13,0.4318248444154506,0.38461538461538464,-0.04720945980006597,strat_platt,17+,TE
"[0,0.1)",708,0.047901910605351455,0.06073446327683616,0.012832552671484705,strat_iso,17+,TE
"[0.1,0.2)",341,0.1265472072015266,0.13196480938416422,0.005417602182637621,strat_iso,17+,TE
"[0.2,0.3)",254,0.2544069662979135,0.25196850393700787,-0.0024384623609056133,strat_iso,17+,TE
"[0.3,0.4)",25,0.33947481292900644,0.36,0.020525187070993545,strat_iso,17+,TE
"[0.4,0.5)",13,0.41282051282051285,0.15384615384615385,-0.258974358974359,strat_iso,17+,TE
"[0.5,0.6)",1,0.5,0,-0.5,strat_iso,17+,TE
"[0.9,1]",2,1,0,-1,strat_iso,17+,TE
"[0,0.1)",729,0.055286624466257414,0.06172839506172839,0.0064417705954709775,platt_vol,17+,TE
"[0.1,0.2)",417,0.14371963076336536,0.15827338129496402,0.014553750531598658,platt_vol,17+,TE
"[0.2,0.3)",140,0.23836287382837068,0.24285714285714285,0.004494269028772174,platt_vol,17+,TE
"[0.3,0.4)",38,0.34535806178183936,0.34210526315789475,-0.0032527986239446194,platt_vol,17+,TE
"[0.4,0.5)",19,0.43989881910641604,0.2631578947368421,-0.17674092436957395,platt_vol,17+,TE
"[0.6,0.7)",1,0.6031928319673392,0,-0.6031928319673392,platt_vol,17+,TE
"[0,0.1)",749,0.049977654059313426,0.06542056074766354,0.01544290668835012,platt_vegas,17+,TE
"[0.1,0.2)",396,0.14483547392483545,0.16161616161616163,0.01678068769132618,platt_vegas,17+,TE
"[0.2,0.3)",119,0.23707735370798003,0.2184873949579832,-0.018589958749996832,platt_vegas,17+,TE
"[0.3,0.4)",51,0.338620003981577,0.2549019607843137,-0.08371804319726328,platt_vegas,17+,TE
"[0.4,0.5)",22,0.4473623730965626,0.4090909090909091,-0.03827146400565351,platt_vegas,17+,TE
"[0.5,0.6)",5,0.5316513518135029,0.2,-0.33165135181350286,platt_vegas,17+,TE
"[0.7,0.8)",1,0.7360948887360854,1,0.2639051112639146,platt_vegas,17+,TE
"[0.8,0.9)",1,0.8076526932180881,0,-0.8076526932180881,platt_vegas,17+,TE
