cell,bin,n,pred,emp,delta,method,threshold,position
exante_low,"[0.1,0.2)",59,0.15154237288135594,0.0847457627118644,-0.06679661016949154,raw,12+,TE
exante_low,"[0.2,0.3)",1,0.208,0,-0.208,raw,12+,TE
exante_mid,"[0.1,0.2)",291,0.16859106529209622,0.10996563573883161,-0.05862542955326461,raw,12+,TE
exante_mid,"[0.2,0.3)",337,0.24594362017804156,0.258160237388724,0.012216617210682457,raw,12+,TE
exante_mid,"[0.3,0.4)",347,0.347828530259366,0.29394812680115273,-0.053880403458213266,raw,12+,TE
exante_mid,"[0.4,0.5)",162,0.43946913580246916,0.46296296296296297,0.023493827160493808,raw,12+,TE
exante_mid,"[0.5,0.6)",13,0.5169615384615385,0.6153846153846154,0.09842307692307695,raw,12+,TE
exante_mid,"[0.6,0.7)",2,0.61,1,0.39,raw,12+,TE
exante_high,"[0.3,0.4)",1,0.3865,1,0.6134999999999999,raw,12+,TE
exante_high,"[0.4,0.5)",51,0.4546078431372549,0.47058823529411764,0.015980392156862755,raw,12+,TE
exante_high,"[0.5,0.6)",56,0.5451875,0.5714285714285714,0.02624107142857135,raw,12+,TE
exante_high,"[0.6,0.7)",24,0.6396041666666666,0.6666666666666666,0.02706249999999999,raw,12+,TE
exante_low,"[0,0.1)",18,0.087026272269016,0,-0.087026272269016,platt,12+,TE
exante_low,"[0.1,0.2)",42,0.12721536597249905,0.11904761904761904,-0.00816774692488001,platt,12+,TE
exante_mid,"[0,0.1)",29,0.08727787612440611,0.13793103448275862,0.050653158358352504,platt,12+,TE
exante_mid,"[0.1,0.2)",402,0.14986963992961902,0.1517412935323383,0.001871653602719292,platt,12+,TE
exante_mid,"[0.2,0.3)",292,0.24717946017621084,0.2910958904109589,0.04391643023474806,platt,12+,TE
exante_mid,"[0.3,0.4)",258,0.34463517627210905,0.28294573643410853,-0.061689439838000515,platt,12+,TE
exante_mid,"[0.4,0.5)",145,0.43759960902633777,0.503448275862069,0.0658486668357312,platt,12+,TE
exante_mid,"[0.5,0.6)",23,0.5243588630410471,0.34782608695652173,-0.17653277608452533,platt,12+,TE
exante_mid,"[0.6,0.7)",3,0.640980540743357,0.6666666666666666,0.025686125923309655,platt,12+,TE
exante_high,"[0.3,0.4)",1,0.3728250741705331,1,0.6271749258294669,platt,12+,TE
exante_high,"[0.4,0.5)",39,0.4560476347248464,0.4358974358974359,-0.02015019882741048,platt,12+,TE
exante_high,"[0.5,0.6)",52,0.544030424075729,0.6153846153846154,0.07135419130888643,platt,12+,TE
exante_high,"[0.6,0.7)",33,0.6529135759738306,0.5454545454545454,-0.10745903051928518,platt,12+,TE
exante_high,"[0.7,0.8)",7,0.7351669040462352,0.7142857142857143,-0.02088118976052089,platt,12+,TE
exante_low,"[0,0.1)",28,0.08035025785851016,0.10714285714285714,0.026792599284346977,iso,12+,TE
