position,player_id,season,week,pred_vol,p_start,p_boom,hit_start,hit_boom,stratum,team_spread,implied_total,sb,ib,p_start_platt,p_start_iso,p_start_strat_platt,p_start_strat_iso,p_start_platt_vol,p_start_platt_vegas,p_start_platt_vol_vegas,p_boom_platt,p_boom_iso,p_boom_strat_platt,p_boom_strat_iso,p_boom_platt_vol,p_boom_platt_vegas,p_boom_platt_vol_vegas
TE,00-0030506,2023,14,7.906746146410158,0.5765,0.308,TRUE,FALSE,exante_high,3,25.25,fav,mid_implied,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.308,0.308,0.308,0.308,0.308,0.308,0.308
TE,00-0033090,2023,14,5.271720162565816,0.1995,0.052,TRUE,TRUE,exante_mid,-6.5,14.25,big_dog,low_implied,0.1995,0.1995,0.1995,0.1995,0.1995,0.1995,0.1995,0.052,0.052,0.052,0.052,0.052,0.052,0.052
TE,00-0033288,2023,14,6.556272995937074,0.522,0.253,TRUE,FALSE,exante_mid,10.5,27.25,big_fav,high_implied,0.522,0.522,0.522,0.522,0.522,0.522,0.522,0.253,0.253,0.253,0.253,0.253,0.253,0.253
TE,00-0033858,2023,14,4.767557896563399,0.223,0.0615,FALSE,FALSE,exante_mid,2,21,close,mid_implied,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.0615,0.0615,0.0615,0.0615,0.0615,0.0615,0.0615
TE,00-0033881,2023,14,6.945028493553725,0.435,0.189,TRUE,TRUE,exante_mid,3,21.5,fav,mid_implied,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.189,0.189,0.189,0.189,0.189,0.189,0.189
TE,00-0033885,2023,14,7.3800392644347745,0.502,0.2465,TRUE,TRUE,exante_high,-3,18.5,dog,low_implied,0.502,0.502,0.502,0.502,0.502,0.502,0.502,0.2465,0.2465,0.2465,0.2465,0.2465,0.2465,0.2465
TE,00-0033895,2023,14,5.008060176822421,0.2515,0.07,FALSE,FALSE,exante_mid,3,24.25,fav,mid_implied,0.2515,0.2515,0.2515,0.2515,0.2515,0.2515,0.2515,0.07,0.07,0.07,0.07,0.07,0.07,0.07
TE,00-0034270,2023,14,5.8143130747318645,0.2345,0.07,FALSE,FALSE,exante_mid,-4.5,17,dog,low_implied,0.2345,0.2345,0.2345,0.2345,0.2345,0.2345,0.2345,0.07,0.07,0.07,0.07,0.07,0.07,0.07
TE,00-0034351,2023,14,6.271450321398949,0.43,0.174,FALSE,FALSE,exante_mid,-2.5,23,dog,mid_implied,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.174,0.174,0.174,0.174,0.174,0.174,0.174
TE,00-0034613,2023,14,5.048503239257889,0.214,0.054,FALSE,FALSE,exante_mid,-2,19,close,low_implied,0.214,0.214,0.214,0.214,0.214,0.214,0.214,0.054,0.054,0.054,0.054,0.054,0.054,0.054
TE,00-0034798,2023,14,4.425089845274183,0.196,0.0495,FALSE,FALSE,exante_mid,11.5,27.75,big_fav,high_implied,0.196,0.196,0.196,0.196,0.196,0.196,0.196,0.0495,0.0495,0.0495,0.0495,0.0495,0.0495,0.0495
TE,00-0035229,2023,14,7.215393358641865,0.4205,0.174,FALSE,FALSE,exante_high,1,20.75,close,mid_implied,0.4205,0.4205,0.4205,0.4205,0.4205,0.4205,0.4205,0.174,0.174,0.174,0.174,0.174,0.174,0.174
TE,00-0035644,2023,14,4.48542013451568,0.147,0.037,FALSE,FALSE,exante_mid,-10.5,16.75,big_dog,low_implied,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.037,0.037,0.037,0.037,0.037,0.037,0.037
TE,00-0035689,2023,14,5.269776309095373,0.2625,0.0845,FALSE,FALSE,exante_mid,-3,22.25,dog,mid_implied,0.2625,0.2625,0.2625,0.2625,0.2625,0.2625,0.2625,0.0845,0.0845,0.0845,0.0845,0.0845,0.0845,0.0845
TE,00-0036040,2023,14,5.144597204936445,0.251,0.071,FALSE,FALSE,exante_mid,6.5,21.75,fav,mid_implied,0.251,0.251,0.251,0.251,0.251,0.251,0.251,0.071,0.071,0.071,0.071,0.071,0.071,0.071
TE,00-0036290,2023,14,6.5215628529189535,0.3765,0.145,FALSE,FALSE,exante_mid,-4.5,21,dog,mid_implied,0.3765,0.3765,0.3765,0.3765,0.3765,0.3765,0.3765,0.145,0.145,0.145,0.145,0.145,0.145,0.145
TE,00-0036422,2023,14,4.498906619931041,0.1775,0.042,FALSE,FALSE,exante_mid,-3,21.25,dog,mid_implied,0.1775,0.1775,0.1775,0.1775,0.1775,0.1775,0.1775,0.042,0.042,0.042,0.042,0.042,0.042,0.042
TE,00-0036438,2023,14,4.176897755719935,0.1505,0.0445,FALSE,FALSE,exante_mid,-6.5,15.25,big_dog,low_implied,0.1505,0.1505,0.1505,0.1505,0.1505,0.1505,0.1505,0.0445,0.0445,0.0445,0.0445,0.0445,0.0445,0.0445
TE,00-0036556,2023,14,4.240460952543123,0.186,0.049,FALSE,FALSE,exante_mid,4.5,21.5,fav,mid_implied,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.049,0.049,0.049,0.049,0.049,0.049,0.049
TE,00-0036876,2023,14,4.34769129306664,0.172,0.0445,FALSE,FALSE,exante_mid,2,21,close,mid_implied,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.0445,0.0445,0.0445,0.0445,0.0445,0.0445,0.0445
