stratum,n,pred,emp,delta_pp,method,threshold,position
exante_low,60,0.15248333333333333,0.08333333333333333,-6.915,raw,12+,TE
exante_mid,1152,0.2879982638888889,0.265625,-2.2373263888888886,raw,12+,TE
exante_high,132,0.526155303030303,0.553030303030303,2.6874999999999982,raw,12+,TE
exante_low,60,0.09899460030016431,0.08333333333333333,-1.5661266966830985,iso,12+,TE
exante_mid,1152,0.2570061225536187,0.265625,0.861887744638129,iso,12+,TE
exante_high,132,0.5926843096895111,0.553030303030303,-3.965400665920815,iso,12+,TE
exante_low,60,0.03679166666666667,0,-3.6791666666666667,raw,17+,TE
exante_mid,1152,0.10119184027777778,0.10677083333333333,0.557899305555555,raw,17+,TE
exante_high,132,0.26552272727272724,0.30303030303030304,3.7507575757575795,raw,17+,TE
exante_low,60,0.009714252027469464,0,-0.9714252027469463,iso,17+,TE
exante_mid,1152,0.10241721242631169,0.10677083333333333,0.4353620907021641,iso,17+,TE
exante_high,132,0.2903267860844956,0.30303030303030304,1.2703516945807458,iso,17+,TE
