position,threshold,method,ext_w_mean_abs_delta_pp,w_mean_abs_delta_pp,brier
TE,12+,iso,5.0866,3.0353,0.18726
TE,12+,platt,4.6070,3.0764,0.18513
TE,12+,platt_vegas,4.5453,3.3219,0.18744
TE,12+,platt_vol,4.3233,2.6331,0.18574
TE,12+,platt_vol_vegas,4.6026,3.3629,0.18779
TE,12+,raw,4.8098,3.8536,0.18479
TE,12+,strat_iso,5.1658,3.4492,0.18820
TE,12+,strat_platt,4.5785,3.1877,0.18535
TE,17+,iso,2.4720,1.5163,0.10171
TE,17+,platt,1.7387,1.0176,0.10043
TE,17+,platt_vegas,2.6904,2.1031,0.10166
TE,17+,platt_vol,1.8608,1.1517,0.10079
TE,17+,platt_vol_vegas,3.1626,1.9423,0.10174
TE,17+,raw,1.5870,0.8122,0.10008
TE,17+,strat_iso,2.4313,1.3342,0.10247
TE,17+,strat_platt,1.8117,1.1157,0.10043
