bin,n,pred,emp,delta,method,threshold,position
"[0,0.1)",30,0.09053333333333334,0.1,0.009466666666666665,raw,12+,TE
"[0.1,0.2)",1475,0.15686305084745764,0.14711864406779662,-0.009744406779661013,raw,12+,TE
"[0.2,0.3)",1631,0.2469763948497854,0.22501532801961988,-0.02196106683016552,raw,12+,TE
"[0.3,0.4)",1332,0.34705442942942943,0.3340840840840841,-0.012970345345345358,raw,12+,TE
"[0.4,0.5)",745,0.444596644295302,0.4228187919463087,-0.021777852348993265,raw,12+,TE
"[0.5,0.6)",300,0.54281,0.56,0.01719000000000004,raw,12+,TE
"[0.6,0.7)",105,0.6377904761904762,0.6666666666666666,0.02887619047619039,raw,12+,TE
"[0.7,0.8)",14,0.7261428571428571,0.5714285714285714,-0.1547142857142857,raw,12+,TE
"[0,0.1)",75,0.09078784635698614,0.17333333333333334,0.0825454869763472,platt,12+,TE
"[0.1,0.2)",1669,0.155072271856854,0.14619532654284004,-0.008876945314013951,platt,12+,TE
"[0.2,0.3)",1645,0.2485081042151908,0.24498480243161094,-0.0035233017835798464,platt,12+,TE
"[0.3,0.4)",1250,0.34663339260037673,0.3504,0.0037666073996232563,platt,12+,TE
"[0.4,0.5)",663,0.44470157925458137,0.4419306184012066,-0.0027709608533747487,platt,12+,TE
"[0.5,0.6)",235,0.543174281768815,0.6,0.056825718231184985,platt,12+,TE
"[0.6,0.7)",89,0.6358516272894148,0.6629213483146067,0.027069721025191895,platt,12+,TE
"[0.7,0.8)",6,0.7366572831941971,0.3333333333333333,-0.4033239498608638,platt,12+,TE
"[0,0.1)",109,0.07356864009078698,0.1651376146788991,0.09156897458811211,iso,12+,TE
"[0.1,0.2)",2065,0.15182695643395322,0.15351089588377723,0.0016839394498240068,iso,12+,TE
"[0.2,0.3)",840,0.2660164340817352,0.2761904761904762,0.01017404210874101,iso,12+,TE
"[0.3,0.4)",1859,0.34954625296445635,0.33942980096826253,-0.01011645199619382,iso,12+,TE
"[0.4,0.5)",405,0.4354705834436176,0.4617283950617284,0.026257811618110805,iso,12+,TE
"[0.5,0.6)",212,0.529487311627998,0.5518867924528302,0.02239948082483223,iso,12+,TE
"[0.6,0.7)",71,0.6530576500684308,0.6338028169014085,-0.019254833167022256,iso,12+,TE
"[0.7,0.8)",53,0.7218752396115751,0.6415094339622641,-0.08036580564931095,iso,12+,TE
"[0.8,0.9)",18,0.8319457044839857,0.6666666666666666,-0.16527903781731912,iso,12+,TE
"[0,0.1)",77,0.09141724456979808,0.18181818181818182,0.09040093724838374,strat_platt,12+,TE
"[0.1,0.2)",1628,0.15662614920282167,0.14803439803439802,-0.008591751168423645,strat_platt,12+,TE
"[0.2,0.3)",1727,0.24825016808503508,0.24145917776491024,-0.00679099032012484,strat_platt,12+,TE
"[0.3,0.4)",1240,0.34397906958242236,0.3556451612903226,0.011666091707900228,strat_platt,12+,TE
"[0.4,0.5)",577,0.4459006896619645,0.43674176776429807,-0.009158921897666428,strat_platt,12+,TE
"[0.5,0.6)",297,0.5420170180059042,0.5824915824915825,0.04047456448567832,strat_platt,12+,TE
"[0.6,0.7)",81,0.6303033764904006,0.6666666666666666,0.03636329017626605,strat_platt,12+,TE
"[0.7,0.8)",5,0.7322235386127077,0.2,-0.5322235386127077,strat_platt,12+,TE
"[0,0.1)",190,0.06793644597862598,0.14210526315789473,0.07416881717926875,strat_iso,12+,TE
"[0.1,0.2)",1981,0.15606711194366596,0.15547703180212014,-5.900801415458234e-4,strat_iso,12+,TE
"[0.2,0.3)",840,0.2660415808925963,0.2761904761904762,0.010148895297879934,strat_iso,12+,TE
"[0.3,0.4)",1887,0.34535284658004806,0.3386327503974563,-0.006720096182591784,strat_iso,12+,TE
"[0.4,0.5)",352,0.4377820694018304,0.4630681818181818,0.025286112416351425,strat_iso,12+,TE
"[0.5,0.6)",237,0.5326872682617849,0.5611814345991561,0.02849416633737123,strat_iso,12+,TE
"[0.6,0.7)",75,0.6530585408312957,0.6133333333333333,-0.03972520749796238,strat_iso,12+,TE
"[0.7,0.8)",48,0.7204761237209776,0.6458333333333334,-0.07464279038764421,strat_iso,12+,TE
"[0.8,0.9)",19,0.8302643516164075,0.631578947368421,-0.19868540424798653,strat_iso,12+,TE
"[0.9,1]",3,1,0.6666666666666666,-0.33333333333333337,strat_iso,12+,TE
"[0,0.1)",6,0.09694278622746877,0.3333333333333333,0.23639054710586455,platt_vol,12+,TE
"[0.1,0.2)",1772,0.15654628036548912,0.14503386004514673,-0.011512420320342387,platt_vol,12+,TE
"[0.2,0.3)",1595,0.24706591567940742,0.2413793103448276,-0.0056866053345798195,platt_vol,12+,TE
"[0.3,0.4)",1195,0.3467588370098416,0.3581589958158996,0.011400158806057992,platt_vol,12+,TE
"[0.4,0.5)",617,0.441838483539045,0.44084278768233387,-9.956958567111096e-4,platt_vol,12+,TE
"[0.5,0.6)",319,0.5461090875190029,0.5266457680250783,-0.019463319493924547,platt_vol,12+,TE
"[0.6,0.7)",112,0.6390952383006447,0.6160714285714286,-0.023023809729216138,platt_vol,12+,TE
"[0.7,0.8)",16,0.7364104120613498,0.75,0.013589587938650172,platt_vol,12+,TE
"[0,0.1)",139,0.08660723887639116,0.1223021582733813,0.03569491939699014,platt_vegas,12+,TE
"[0.1,0.2)",1623,0.15534927331909454,0.15588416512630932,5.348918072147768e-4,platt_vegas,12+,TE
"[0.2,0.3)",1639,0.24813148949255015,0.24039048200122026,-0.007741007491329888,platt_vegas,12+,TE
"[0.3,0.4)",1220,0.34625067754908284,0.34672131147540985,4.706339263270132e-4,platt_vegas,12+,TE
"[0.4,0.5)",646,0.442892732948783,0.43653250773993807,-0.0063602252088449385,platt_vegas,12+,TE
"[0.5,0.6)",257,0.5396648523816023,0.5914396887159533,0.05177483633435098,platt_vegas,12+,TE
"[0.6,0.7)",92,0.6407345284610022,0.6739130434782609,0.03317851501725866,platt_vegas,12+,TE
"[0.7,0.8)",16,0.7414032808179453,0.625,-0.11640328081794526,platt_vegas,12+,TE
"[0,0.1)",42,0.09016561378703168,0.14285714285714285,0.05269152907011117,platt_vol_vegas,12+,TE
"[0.1,0.2)",1717,0.15699710980080372,0.1473500291205591,-0.009647080680244613,platt_vol_vegas,12+,TE
"[0.2,0.3)",1643,0.24670475574351083,0.2404138770541692,-0.006290878689341639,platt_vol_vegas,12+,TE
"[0.3,0.4)",1156,0.3453039006709458,0.35121107266435986,0.005907171993414062,platt_vol_vegas,12+,TE
"[0.4,0.5)",588,0.4417132804354435,0.4387755102040816,-0.0029377702313618803,platt_vol_vegas,12+,TE
"[0.5,0.6)",317,0.5462777962694099,0.5110410094637224,-0.035236786805687426,platt_vol_vegas,12+,TE
"[0.6,0.7)",131,0.6439102462920556,0.6412213740458015,-0.002688872246254137,platt_vol_vegas,12+,TE
"[0.7,0.8)",35,0.7347509104264167,0.7714285714285715,0.03667766100215475,platt_vol_vegas,12+,TE
"[0.8,0.9)",3,0.8256620204368892,0.6666666666666666,-0.15899535377022256,platt_vol_vegas,12+,TE
"[0,0.1)",3158,0.055498575047498416,0.05984800506649778,0.004349430018999366,raw,17+,TE
"[0.1,0.2)",1752,0.14171033105022832,0.1523972602739726,0.010686929223744285,raw,17+,TE
"[0.2,0.3)",537,0.23860893854748605,0.24953445065176907,0.010925512104283025,raw,17+,TE
"[0.3,0.4)",158,0.33928164556962026,0.3924050632911392,0.05312341772151896,raw,17+,TE
