stratum,n,pred,emp,delta_pp,method,threshold,position
exante_low,321,0.1318582554517134,0.09968847352024922,-3.2169781931464176,raw,12+,TE
exante_mid,4641,0.27497058823529413,0.2602887308769662,-1.4681857358327943,raw,12+,TE
exante_high,670,0.5252544776119403,0.5268656716417911,0.1611194029850771,raw,12+,TE
exante_low,321,0.11853858252683801,0.09968847352024922,-1.8850109006588789,iso,12+,TE
exante_mid,4641,0.2590784265393746,0.2602887308769662,0.12103043375916167,iso,12+,TE
exante_high,670,0.5113230940746613,0.5268656716417911,1.5542577567129845,iso,12+,TE
exante_low,321,0.1334609921981712,0.09968847352024922,-3.3772518677921983,platt_vol_vegas,12+,TE
exante_mid,4641,0.2616444735818025,0.2602887308769662,-0.13557427048362936,platt_vol_vegas,12+,TE
exante_high,670,0.5465197257976373,0.5268656716417911,-1.9654054155846201,platt_vol_vegas,12+,TE
exante_low,321,0.028641744548286607,0.012461059190031152,-1.6180685358255453,raw,17+,TE
exante_mid,4641,0.09276449041154924,0.10105580693815988,0.8291316526610637,raw,17+,TE
exante_high,670,0.26490074626865673,0.2835820895522388,1.8681343283582064,raw,17+,TE
exante_low,321,0.018607883669298685,0.012461059190031152,-0.6146824479267532,iso,17+,TE
exante_mid,4641,0.10019570831579803,0.10105580693815988,0.08600986223618462,iso,17+,TE
exante_high,670,0.276145487532924,0.2835820895522388,0.7436602019314786,iso,17+,TE
exante_low,321,0.03301650860010497,0.012461059190031152,-2.055544941007382,platt,17+,TE
exante_mid,4641,0.10104819417533775,0.10105580693815988,7.612762822128971e-4,platt,17+,TE
exante_high,670,0.27421887611284573,0.2835820895522388,0.9363213439393059,platt,17+,TE
