position,bucket,n,stated,emp,threshold,delta_pp,axis
QB,big_dog,885,0.23982372881355932,0.18305084745762698,start,-5.677288135593233,spread
QB,dog,1408,0.2883050426136364,0.2677556818181816,start,-2.0549360795454774,spread
QB,close,950,0.3055521052631579,0.2715789473684209,start,-3.3973157894736983,spread
QB,fav,1272,0.3347169811320755,0.34591194968553446,start,1.1194968553458973,spread
QB,big_fav,751,0.36856458055925434,0.45672436750998674,start,8.81597869507324,spread
RB,big_dog,1588,0.26828479529878,0.2109571788413096,start,-5.732761645747042,spread
RB,dog,2534,0.2747804405712725,0.2711128650355168,start,-0.3667575535755696,spread
RB,close,1731,0.27991627045254946,0.2588099364529173,start,-2.110633399963219,spread
RB,fav,2360,0.27835385323425815,0.3177966101694917,start,3.9442756935233527,spread
RB,big_fav,1512,0.2761009165781781,0.3181216931216932,start,4.202077654351511,spread
TE,big_dog,875,0.28258789519103505,0.21257142857142863,start,-7.001646661960642,spread
TE,dog,1464,0.2823507101649886,0.2684426229508199,start,-1.3908087214168696,spread
TE,close,1061,0.2833135476487025,0.27992459943449566,start,-0.33889482142068217,spread
TE,fav,1330,0.29630667850384673,0.3007518796992479,start,0.44452011954011494,spread
TE,big_fav,807,0.3014563849937289,0.3519206939281288,start,5.04643089343999,spread
WR,big_dog,2443,0.24120744679561232,0.1993450675399097,start,-4.186237925570263,spread
WR,dog,3942,0.25979110776997133,0.2577371892440384,start,-0.20539185259329518,spread
WR,close,2603,0.2672396785845028,0.2716096811371493,start,0.4370002552646468,spread
WR,fav,3452,0.27449018316494916,0.2911355735805331,start,1.6645390415583938,spread
WR,big_fav,2052,0.27332848751723776,0.3182261208576997,start,4.489763334046193,spread
QB,big_dog,885,0.09880782911194898,0.06666666666666667,boom,-3.214116244528231,spread
QB,dog,1408,0.12737844814331123,0.11221590909090909,boom,-1.5162539052402142,spread
QB,close,950,0.13853275443013544,0.1410526315789473,boom,0.25198771488118554,spread
QB,fav,1272,0.159248075010944,0.16745283018867918,boom,0.8204755177735168,spread
QB,big_fav,751,0.18347264823975115,0.2316910785619174,boom,4.821843032216624,spread
RB,big_dog,1588,0.14112773384386315,0.09130982367758178,boom,-4.981791016628137,spread
RB,dog,2534,0.14417749977995423,0.13378058405682683,boom,-1.0396915723127398,spread
RB,close,1731,0.14739693288711334,0.1322934719815136,boom,-1.5103460905599748,spread
RB,fav,2360,0.1460805852933912,0.16991525423728804,boom,2.3834668943896826,spread
RB,big_fav,1512,0.14350965694834242,0.18320105820105811,boom,3.9691401252715695,spread
TE,big_dog,875,0.11295073301888699,0.0822857142857144,boom,-3.066501873317258,spread
TE,dog,1464,0.11239322678935201,0.09904371584699456,boom,-1.3349510942357452,spread
TE,close,1061,0.11351832282960124,0.10650329877474075,boom,-0.7015024054860486,spread
TE,fav,1330,0.12253443738453093,0.13834586466165413,boom,1.5811427277123202,spread
TE,big_fav,807,0.12650233086409962,0.16604708798017348,boom,3.954475711607386,spread
WR,big_dog,2443,0.1166643124244815,0.09005321326238232,boom,-2.661109916209918,spread
WR,dog,3942,0.1282552221242563,0.12557077625570767,boom,-0.26844458685486294,spread
WR,close,2603,0.1333190808644847,0.13061851709565886,boom,-0.2700563768825853,spread
WR,fav,3452,0.13861280548707816,0.14368482039397415,boom,0.5072014906895989,spread
WR,big_fav,2052,0.13854057489911253,0.17592592592592607,boom,3.7385351026813534,spread
QB,low_implied,1437,0.2347463465553236,0.16492693110647189,start,-6.98194154488517,implied_total
QB,mid_implied,2865,0.31647190226876093,0.3015706806282724,start,-1.4901221640488516,implied_total
QB,high_implied,964,0.3806862033195021,0.4968879668049789,start,11.620176348547679,implied_total
RB,low_implied,2587,0.26957641104836494,0.21762659451101654,start,-5.19498165373484,implied_total
RB,mid_implied,5282,0.27687556705714217,0.28474062854979215,start,0.7865061492649983,implied_total
RB,high_implied,1856,0.28092333750891146,0.341594827586207,start,6.067149007729555,implied_total
