position,bucket,n,mean_tot_resid,se
QB,low_implied,1614,-2.66689735729217,0.2576323129102801
QB,mid_implied,3333,-0.0887666547784177,0.18193697379259613
QB,high_implied,1118,2.4240594578349204,0.30916376770500315
RB,low_implied,2930,-0.34897001099024266,0.07008010244626538
RB,mid_implied,6200,0.2918881307747504,0.04906257989014949
RB,high_implied,2159,1.1611206602835467,0.08552110764051882
TE,low_implied,1633,-0.42160169604951625,0.08816727375795023
TE,mid_implied,3556,0.04416342143867307,0.05894312033263734
TE,high_implied,1216,0.7825817380475228,0.10780507640393057
WR,low_implied,4462,-0.5118590108802832,0.06285174721079588
WR,mid_implied,9185,0.22666695264060968,0.045400711249056244
WR,high_implied,3098,0.7628958921709628,0.0778315704040776
