position,bucket,n,mean_vol_resid,se,axis
QB,big_dog,1006,-0.801818797341642,0.2865438384030048,spread
QB,dog,1616,-0.019150069276251878,0.22073712390777897,spread
QB,close,1093,-0.5164624435468045,0.2748172698218242,spread
QB,fav,1470,-0.8455235188396238,0.22849766458307225,spread
QB,big_fav,880,-1.0167589423183385,0.27705873250655155,spread
RB,big_dog,1826,-0.8360994406788332,0.12452615669487771,spread
RB,dog,2941,-0.29951399210499785,0.1026753771725189,spread
RB,close,2013,-0.27902379114310216,0.12611350093248724,spread
RB,fav,2735,0.11546199415029448,0.10612997436966244,spread
RB,big_fav,1774,-0.24805040709452617,0.12797405563057765,spread
TE,big_dog,1022,-0.10478537704088518,0.06816565043558295,spread
TE,dog,1686,0.005867978522999692,0.055262099425369325,spread
TE,close,1210,-0.013724075867127773,0.0665401287519564,spread
TE,fav,1531,-0.11714095729212444,0.05718501726068199,spread
TE,big_fav,956,-0.053756177981805875,0.07322470929522737,spread
WR,big_dog,2802,-0.14784448382331497,0.04841026229695099,spread
WR,dog,4522,0.0027978066278556285,0.04131265994965882,spread
WR,close,3001,-0.036084868174790986,0.05002291350597821,spread
WR,fav,4016,-0.10219085075799973,0.0433725681630863,spread
WR,big_fav,2404,-0.16778589389544254,0.05500529401707071,spread
QB,low_implied,1614,-1.029074393360331,0.22223953813228609,implied_total
QB,mid_implied,3333,-0.5174429636289934,0.15419411438356995,implied_total
QB,high_implied,1118,-0.13790129351354452,0.2532513202591,implied_total
RB,low_implied,2930,-0.4522705562402219,0.10046554920365115,implied_total
RB,mid_implied,6200,-0.23178388309082942,0.0708161036878772,implied_total
RB,high_implied,2159,-0.15345214648867642,0.1176385883647336,implied_total
TE,low_implied,1633,-0.04719045902050472,0.055310846292513205,implied_total
TE,mid_implied,3556,-0.10046009462431343,0.037442033011957886,implied_total
TE,high_implied,1216,0.07381663565334037,0.0671924800852417,implied_total
WR,low_implied,4462,-0.18841635126764042,0.03834274123279685,implied_total
WR,mid_implied,9185,-0.030749331728316794,0.02881964025061397,implied_total
WR,high_implied,3098,-0.06472195796716698,0.05031842388116157,implied_total
