fold,eff_num_leaves,eff_lr,eff_min_node,eff_rounds,eff_inner_rmse
1,7,0.02,50,70,0.3169
2,15,0.05,10,12,0.3655
3,31,0.02,10,35,0.2884
4,15,0.02,10,22,0.2981
5,31,0.05,10,10,0.3286
6,7,0.02,100,59,0.3358
7,7,0.02,20,10,0.34
8,15,0.05,50,35,0.3075
9,15,0.05,10,15,0.2887
10,15,0.05,20,3,0.2791
11,63,0.05,10,2,0.2775
12,63,0.05,10,2,0.2814
13,31,0.05,10,19,0.2862
14,31,0.05,10,5,0.2819
15,15,0.05,50,20,0.2685
16,15,0.05,50,20,0.2752
17,7,0.05,100,35,0.2926
18,31,0.05,20,10,0.3225
19,7,0.05,100,38,0.3298
20,15,0.05,20,14,0.3364
21,15,0.05,20,14,0.3189
22,15,0.05,100,45,0.3173
23,7,0.05,100,67,0.2993
24,7,0.05,10,59,0.3188
25,31,0.05,10,41,0.3162
26,31,0.05,10,41,0.3095
27,7,0.05,10,91,0.3206
28,7,0.05,10,50,0.3379
29,7,0.05,100,24,0.3335
30,7,0.05,50,34,0.3326
31,7,0.05,50,34,0.3324
32,15,0.02,50,20,0.3293
33,7,0.05,100,6,0.3349
34,15,0.05,100,6,0.3334
35,15,0.05,100,30,0.3152
36,31,0.05,20,14,0.3131
37,7,0.05,10,75,0.3245
38,15,0.05,100,20,0.3121
39,15,0.05,100,27,0.3043
40,31,0.05,10,25,0.2948
41,15,0.05,20,35,0.2968
42,15,0.02,20,76,0.2923
43,31,0.05,20,29,0.3008
44,63,0.05,10,12,0.2991
45,31,0.05,20,34,0.3009
46,31,0.05,20,35,0.2991
47,15,0.05,10,48,0.305
48,7,0.02,10,208,0.3023
49,15,0.02,10,90,0.3141
50,15,0.02,50,79,0.3272
51,15,0.05,100,40,0.3284
52,15,0.05,10,35,0.3267
53,15,0.05,20,49,0.3279
54,15,0.05,100,46,0.323
55,63,0.05,50,30,0.3221
56,63,0.05,50,26,0.322
57,15,0.05,50,28,0.3267
58,63,0.05,50,36,0.3272
59,31,0.02,100,80,0.3247
60,15,0.05,50,41,0.3337
61,15,0.05,50,41,0.3332
62,31,0.05,10,27,0.3267
63,7,0.02,100,140,0.3248
64,7,0.02,10,150,0.3181
65,7,0.05,20,55,0.3219
66,7,0.05,20,55,0.321
67,31,0.05,100,47,0.3224
68,7,0.05,100,84,0.3239
69,7,0.02,100,185,0.3306
70,7,0.05,50,85,0.331
71,7,0.05,50,85,0.3278
72,63,0.02,50,69,0.323
73,7,0.05,20,67,0.3254
74,7,0.05,20,50,0.3244
75,7,0.05,50,45,0.3177
76,7,0.05,50,45,0.3169
77,7,0.05,50,60,0.3185
78,7,0.02,20,175,0.3193
79,7,0.05,20,70,0.3164
80,7,0.05,20,45,0.3217
81,7,0.05,10,45,0.3214
82,7,0.05,10,45,0.3244
83,7,0.05,20,84,0.3257
84,7,0.05,10,95,0.3274
85,7,0.02,10,168,0.3242
86,7,0.02,10,168,0.3224
87,7,0.02,20,140,0.3214
88,7,0.05,20,70,0.3197
89,15,0.02,10,81,0.326
90,7,0.05,10,79,0.3289
91,7,0.05,50,55,0.3283
92,31,0.05,20,19,0.3262
93,7,0.05,50,36,0.3211
94,7,0.05,50,59,0.3226
95,31,0.05,20,12,0.3263
96,63,0.05,20,10,0.328
97,7,0.05,20,33,0.3282
98,7,0.05,10,41,0.3263
99,7,0.02,20,127,0.3254
100,7,0.05,20,26,0.3233
101,7,0.05,20,26,0.3197
102,7,0.02,100,121,0.319
103,7,0.05,50,31,0.3149
104,7,0.05,100,36,0.3148
105,7,0.02,100,70,0.3144
106,7,0.02,100,70,0.3131
107,7,0.02,10,70,0.3188
108,7,0.02,10,96,0.3212
109,7,0.05,10,33,0.3177
110,7,0.05,10,55,0.3273
111,7,0.05,10,55,0.3278
112,7,0.02,10,82,0.3265
113,7,0.02,20,52,0.3244
114,7,0.02,10,88,0.324
115,15,0.02,10,129,0.3246
116,15,0.02,10,129,0.3208
117,7,0.05,20,88,0.322
118,7,0.05,10,64,0.3219
119,7,0.05,10,86,0.3202
120,7,0.05,20,55,0.3176
121,7,0.05,20,55,0.3177
122,7,0.05,100,25,0.3182
123,7,0.02,10,68,0.3201
124,7,0.02,50,109,0.3209
125,63,0.02,100,62,0.3219
126,63,0.02,100,50,0.3196
127,7,0.05,50,30,0.32
128,15,0.02,100,60,0.3228
129,63,0.05,10,31,0.3228
130,63,0.05,10,38,0.3216
131,63,0.05,10,38,0.3236
132,7,0.02,20,105,0.3209
133,15,0.02,100,150,0.3226
134,15,0.05,100,50,0.3188
135,7,0.02,20,145,0.3174
136,7,0.02,10,144,0.3169
137,7,0.05,20,57,0.3162
138,15,0.02,10,84,0.3083
139,15,0.02,100,79,0.3073
140,7,0.02,10,113,0.3054
141,7,0.02,10,115,0.3072
142,7,0.05,50,80,0.3078
143,7,0.02,20,140,0.30620000000000003
144,7,0.05,50,35,0.3056
145,7,0.05,100,44,0.3088
146,7,0.05,100,44,0.3087
147,15,0.05,100,23,0.3118
148,63,0.05,20,16,0.3153
149,7,0.02,10,59,0.3131
150,15,0.05,10,29,0.3145
151,15,0.05,10,27,0.315
152,15,0.05,10,35,0.3153
153,7,0.02,50,200,0.3151
154,7,0.02,10,160,0.3161
