fold,eff_num_leaves,eff_lr,eff_min_node,eff_rounds,eff_inner_rmse
1,7,0.02,50,42,0.6083
2,7,0.05,10,15,0.648
3,7,0.05,10,30,0.897
4,7,0.05,10,38,0.827
5,15,0.02,20,30,0.659
6,7,0.05,20,13,0.7419
7,31,0.05,10,43,0.7812
8,7,0.05,10,29,0.7985
9,15,0.05,20,17,0.7013
10,15,0.02,10,13,0.6852
11,7,0.05,50,3,0.6461
12,15,0.05,10,2,0.7729
13,15,0.05,10,15,0.6913
14,7,0.05,50,3,0.7536
15,7,0.02,10,80,0.7093
16,7,0.05,100,14,0.7092
17,7,0.05,10,4,0.7567
18,7,0.05,10,8,0.781
19,15,0.05,50,5,0.7299
20,63,0.05,10,6,0.7237
21,15,0.05,10,6,0.6996
22,7,0.05,20,53,0.6775
23,31,0.02,20,99,0.6422
24,15,0.05,10,48,0.692
25,7,0.05,100,45,0.6693
26,7,0.05,100,45,0.6519
27,31,0.05,10,26,0.6838
28,7,0.05,10,27,0.7769
29,31,0.05,10,5,0.764
30,63,0.02,10,16,0.7343
31,63,0.02,10,16,0.7134
32,63,0.05,10,22,0.7087
33,15,0.05,20,13,0.7076
34,15,0.05,20,25,0.6834
35,31,0.02,10,39,0.5821
36,31,0.02,10,39,0.5884
37,31,0.05,10,5,0.605
38,15,0.05,20,16,0.5911
39,15,0.05,50,7,0.6003
40,31,0.02,20,20,0.6148
41,31,0.02,20,20,0.6179
42,63,0.05,20,9,0.638
43,63,0.05,20,11,0.6592
44,7,0.05,10,36,0.6667
45,31,0.02,10,27,0.671
46,31,0.05,20,6,0.6584
47,31,0.05,50,6,0.6622
48,31,0.05,50,13,0.6827
49,7,0.05,10,24,0.6844
50,31,0.05,10,3,0.6897
51,31,0.05,10,3,0.6991
52,7,0.05,10,3,0.7164
53,7,0.05,10,3,0.7182
54,7,0.05,10,4,0.7023
55,31,0.05,10,2,0.6899
56,31,0.05,10,2,0.6876
57,15,0.05,20,8,0.7128
58,7,0.05,10,20,0.7285
59,15,0.05,10,25,0.7242
60,15,0.05,100,15,0.7145
61,15,0.05,100,15,0.7201
62,31,0.05,50,12,0.7276
63,7,0.05,10,56,0.7148
64,7,0.05,10,59,0.7045
65,7,0.05,10,45,0.7045
66,7,0.05,10,48,0.7028
67,7,0.02,20,115,0.7098
68,7,0.05,10,76,0.71
69,63,0.05,20,30,0.7166
70,7,0.05,10,65,0.7334
71,15,0.05,10,61,0.7456
72,7,0.05,20,50,0.7403
73,15,0.05,20,46,0.7425
74,7,0.05,10,50,0.7494
75,7,0.05,50,39,0.7543
76,7,0.05,50,39,0.7548
77,15,0.05,50,30,0.745
78,7,0.05,20,36,0.7424
79,15,0.05,20,60,0.7363
80,15,0.05,50,31,0.7514
81,15,0.05,50,32,0.753
82,63,0.05,20,36,0.7441
83,15,0.05,50,30,0.7383
84,7,0.05,50,79,0.7375
85,15,0.05,20,37,0.7555
86,15,0.05,20,37,0.7518
87,15,0.02,10,76,0.7562
88,31,0.02,10,30,0.7577
89,63,0.05,20,12,0.7457
90,31,0.05,20,20,0.7386
91,31,0.05,10,20,0.7361
92,7,0.05,20,28,0.7319
93,63,0.05,20,5,0.7226
94,7,0.05,10,19,0.7157
95,15,0.05,10,16,0.7257
96,7,0.05,10,16,0.7284
97,31,0.05,100,12,0.7224
98,7,0.05,100,22,0.72
99,15,0.05,100,14,0.7316
100,63,0.05,50,15,0.7187
101,7,0.05,50,44,0.7175
102,7,0.05,20,64,0.7172
103,7,0.05,10,104,0.7206
104,7,0.05,10,42,0.7364
105,15,0.05,50,53,0.7233
106,15,0.05,50,53,0.7177
107,7,0.02,50,145,0.713
108,7,0.05,100,46,0.7203
109,7,0.05,100,71,0.7172
110,7,0.05,20,71,0.7033
111,7,0.05,20,71,0.7027
112,7,0.02,100,77,0.6999
113,7,0.02,100,105,0.6943
114,7,0.05,100,46,0.6915
115,7,0.05,50,40,0.6919
116,7,0.05,50,41,0.6964
117,7,0.05,100,50,0.7002
118,7,0.05,100,53,0.7084
119,15,0.05,50,32,0.6956
120,7,0.05,50,78,0.6901
121,7,0.05,50,68,0.6821
122,31,0.05,100,39,0.6937
123,7,0.05,100,35,0.695
124,7,0.05,100,41,0.6917
125,7,0.05,50,32,0.7005
126,7,0.05,50,32,0.6937
127,7,0.02,100,73,0.6949
128,7,0.05,100,40,0.6909
129,15,0.05,100,40,0.6932
130,7,0.05,50,23,0.6862
131,7,0.05,50,19,0.6911
132,31,0.05,50,15,0.6899
133,7,0.05,50,15,0.7048
134,7,0.05,100,36,0.697
135,31,0.02,100,50,0.6862
136,7,0.05,20,32,0.6817
137,7,0.05,50,23,0.6816
138,31,0.02,10,35,0.6858
139,15,0.05,20,20,0.6857
140,7,0.02,10,76,0.6972
