fold,eff_num_leaves,eff_lr,eff_min_node,eff_rounds,eff_inner_rmse
1,7,0.05,20,36,0.7283
2,7,0.05,50,44,0.7491
3,7,0.05,10,103,0.6702
4,7,0.02,100,180,0.767
5,31,0.05,20,35,0.6853
6,7,0.02,10,118,0.7001
7,7,0.05,10,55,0.6582
8,7,0.05,20,71,0.6555
9,7,0.02,100,150,0.7313
10,7,0.05,10,44,0.7478
11,7,0.02,20,118,0.7126
12,15,0.05,100,54,0.6966
13,15,0.05,100,85,0.6933
14,15,0.05,50,80,0.735
15,15,0.05,100,67,0.7312
16,7,0.02,50,142,0.732
17,7,0.02,10,164,0.7133
18,7,0.02,10,139,0.7166
19,15,0.05,20,52,0.6935
20,7,0.02,10,160,0.6803
21,7,0.02,10,159,0.6758
22,7,0.02,50,130,0.6805
23,7,0.02,10,126,0.6569
24,7,0.02,20,180,0.6449
25,7,0.02,100,139,0.6546
26,7,0.02,10,228,0.6685
27,7,0.05,20,115,0.6963
28,7,0.05,20,80,0.7173
29,7,0.05,50,87,0.7077
30,7,0.05,100,93,0.734
31,7,0.02,20,215,0.7277
32,7,0.05,20,80,0.7284
33,7,0.02,10,197,0.7235
34,7,0.02,10,110,0.71
35,7,0.02,10,139,0.6871
36,7,0.02,10,118,0.6881
37,7,0.02,10,161,0.6882
38,7,0.02,50,121,0.6799
39,7,0.02,10,177,0.6726
40,15,0.05,10,44,0.6767
41,7,0.02,20,130,0.6881
42,15,0.05,100,47,0.6866
43,15,0.05,20,65,0.6694
44,15,0.02,100,134,0.6916
45,15,0.05,10,70,0.688
46,15,0.05,10,70,0.6893
47,15,0.05,50,63,0.6897
48,15,0.05,10,69,0.6925
49,15,0.02,10,182,0.6922
50,7,0.05,100,67,0.6856
51,7,0.05,100,67,0.6857
52,7,0.05,20,99,0.6858
53,7,0.02,100,186,0.6951
54,15,0.05,50,65,0.6969
55,7,0.02,20,198,0.6856
56,7,0.02,20,196,0.6848
57,7,0.05,100,65,0.6896
58,7,0.02,10,160,0.7055
59,7,0.05,100,64,0.7181
60,7,0.02,20,140,0.7156
61,7,0.02,20,140,0.7278
62,7,0.02,10,136,0.7387
63,7,0.02,10,145,0.7439
64,7,0.02,100,138,0.7502
65,7,0.05,10,55,0.745
66,7,0.05,10,63,0.7458
67,7,0.02,100,160,0.7448
68,7,0.05,10,56,0.742
69,7,0.05,50,60,0.7455
70,7,0.05,100,63,0.7508
71,7,0.05,100,63,0.7495
72,7,0.05,20,64,0.7436
73,7,0.02,100,154,0.7306
74,7,0.05,10,116,0.7294
75,31,0.02,10,126,0.7377
76,7,0.02,10,211,0.7386
77,7,0.02,100,165,0.7338
78,15,0.02,100,150,0.728
79,7,0.02,100,185,0.7213
80,7,0.02,100,165,0.7167
81,7,0.05,100,79,0.7179
82,7,0.02,100,185,0.7223
83,7,0.02,100,218,0.7207
84,7,0.05,100,75,0.7157
85,7,0.05,100,76,0.7216
86,7,0.05,100,76,0.7238
87,15,0.02,100,155,0.7228
88,7,0.05,100,59,0.7191
89,7,0.05,100,96,0.7164
90,7,0.02,20,186,0.721
91,7,0.02,20,199,0.7195
92,7,0.05,100,91,0.7201
93,7,0.05,50,69,0.7146
94,7,0.05,10,79,0.7121
95,7,0.02,100,186,0.7091
96,7,0.05,100,138,0.7118
97,7,0.05,100,68,0.7016
98,7,0.05,10,67,0.7069
99,7,0.02,20,165,0.709
100,7,0.02,100,148,0.709
101,7,0.02,20,151,0.7183
102,7,0.02,20,186,0.7167
103,7,0.05,20,70,0.7147
104,7,0.05,50,74,0.7112
105,7,0.02,50,200,0.7186
106,7,0.02,50,200,0.7201
107,7,0.05,50,75,0.7155
108,7,0.02,50,150,0.7093
109,7,0.02,50,185,0.706
110,15,0.05,50,58,0.7061
111,15,0.05,50,58,0.7068
112,7,0.02,100,145,0.7051
113,7,0.02,50,198,0.703
114,7,0.02,100,150,0.7028
115,15,0.02,100,145,0.7078
116,7,0.02,100,142,0.7088
117,7,0.02,100,164,0.7112
118,7,0.02,50,153,0.7039
119,7,0.02,50,168,0.7035
120,7,0.02,100,160,0.7053
121,7,0.02,100,160,0.7065
122,7,0.02,50,195,0.711
123,7,0.02,50,199,0.7106
124,7,0.02,50,190,0.716
125,7,0.02,100,266,0.7218
126,7,0.02,20,253,0.721
127,7,0.02,50,146,0.7116
128,7,0.05,100,52,0.7125
129,7,0.02,100,145,0.7099
130,7,0.05,50,54,0.7072
131,7,0.05,50,58,0.7057
132,7,0.05,20,60,0.7009
133,7,0.05,100,59,0.7032
134,7,0.05,20,90,0.7013
135,7,0.02,20,208,0.7074
136,7,0.02,20,208,0.7042
137,7,0.05,100,79,0.7059
138,7,0.05,100,63,0.7033
139,7,0.02,100,159,0.7033
140,7,0.05,50,89,0.708
141,7,0.05,50,89,0.7096
142,7,0.05,50,83,0.7071
143,7,0.02,50,170,0.7086
144,7,0.05,50,74,0.7023
145,7,0.02,10,200,0.6962
146,7,0.02,10,200,0.6945
147,15,0.05,20,74,0.6951
148,7,0.02,20,189,0.6966
149,7,0.05,50,68,0.698
150,7,0.02,10,150,0.697
151,7,0.02,20,198,0.6968
152,7,0.05,10,57,0.6946
153,7,0.05,50,60,0.6931
154,7,0.02,10,150,0.6879
155,7,0.02,10,194,0.6908
156,7,0.02,10,194,0.6932
157,7,0.02,10,170,0.6872
158,7,0.05,100,62,0.6867
159,7,0.02,20,194,0.6908
160,7,0.02,10,214,0.688
161,7,0.02,100,205,0.6869
162,7,0.02,50,145,0.6868
163,31,0.02,20,163,0.6876
164,31,0.05,10,59,0.6898
165,7,0.05,50,67,0.6901
166,7,0.05,20,73,0.6941
167,15,0.02,50,230,0.6923
168,7,0.05,10,58,0.6941
169,15,0.05,10,90,0.6964
170,7,0.02,20,244,0.7012
171,7,0.02,20,224,0.7045
172,7,0.02,20,194,0.7054
173,15,0.02,20,188,0.7052
174,15,0.05,10,84,0.7034
175,7,0.05,10,115,0.7039
176,7,0.05,10,115,0.706
177,7,0.02,10,255,0.7017
178,7,0.05,20,95,0.7036
179,15,0.05,10,69,0.7082
180,15,0.05,20,100,0.7123
181,15,0.05,20,100,0.7136
182,7,0.05,10,102,0.7167
183,7,0.02,10,200,0.7161
184,15,0.02,20,201,0.7169
185,7,0.02,10,235,0.7173
186,7,0.02,10,235,0.7166
187,7,0.05,20,147,0.7139
188,15,0.02,10,190,0.7088
189,15,0.05,10,71,0.7076
190,7,0.02,10,205,0.7081
191,31,0.02,10,178,0.709
192,15,0.02,10,196,0.7147
193,15,0.02,10,214,0.7173
194,7,0.05,20,98,0.7131
195,7,0.02,10,179,0.7104
196,7,0.02,10,179,0.7084
197,7,0.02,10,181,0.7129
198,7,0.05,10,90,0.7144
199,7,0.05,10,60,0.7144
200,7,0.05,50,66,0.7154
201,7,0.05,50,66,0.7157
202,7,0.05,10,70,0.716
203,7,0.02,10,206,0.7168
204,7,0.02,50,180,0.7215
