fold,eff_num_leaves,eff_lr,eff_min_node,eff_rounds,eff_inner_rmse
1,7,0.02,50,230,0.7201
2,7,0.05,20,38,0.7465
3,15,0.05,10,79,0.6778
4,7,0.02,100,185,0.7667
5,7,0.02,10,100,0.6904
6,7,0.02,10,120,0.7023
7,7,0.05,20,40,0.6574
8,7,0.05,10,50,0.654
9,7,0.05,100,100,0.7333
10,7,0.05,10,44,0.747
11,7,0.02,100,124,0.7147
12,15,0.05,100,54,0.6993
13,7,0.02,100,135,0.6938
14,7,0.05,100,77,0.7388
15,7,0.05,50,55,0.7292
16,7,0.05,20,56,0.7313
17,7,0.02,10,161,0.713
18,7,0.02,10,159,0.716
19,15,0.05,20,52,0.6963
20,7,0.02,10,150,0.6803
21,7,0.02,20,135,0.6747
22,7,0.02,50,145,0.6788
23,7,0.05,10,64,0.6543
24,7,0.05,50,58,0.6454
25,15,0.02,10,145,0.6532
26,7,0.05,20,89,0.6694
27,7,0.05,20,115,0.6963
28,7,0.05,100,80,0.7178
29,7,0.05,100,85,0.7066
30,7,0.02,10,215,0.7351
31,7,0.02,10,194,0.7285
32,7,0.02,20,190,0.7299
33,7,0.05,20,59,0.7248
34,7,0.02,20,151,0.7127
35,7,0.05,20,47,0.6882
36,7,0.05,20,47,0.689
37,7,0.02,10,158,0.6884
38,7,0.05,10,55,0.679
39,7,0.05,20,81,0.6722
40,7,0.02,10,127,0.6766
41,15,0.02,20,128,0.6872
42,7,0.05,100,47,0.686
43,15,0.05,10,59,0.6695
44,7,0.05,10,60,0.6897
45,15,0.05,10,70,0.689
46,15,0.05,10,70,0.6891
47,7,0.05,100,70,0.6917
48,15,0.05,10,64,0.6943
49,7,0.02,100,165,0.6915
50,31,0.05,50,66,0.6848
51,31,0.05,50,66,0.6852
52,15,0.05,10,71,0.6846
53,7,0.02,100,200,0.6937
54,7,0.05,100,94,0.6982
55,7,0.02,10,195,0.6851
56,7,0.02,10,195,0.6842
57,7,0.05,100,64,0.6887
58,7,0.05,20,87,0.7025
59,7,0.05,50,68,0.7155
60,7,0.02,20,144,0.7143
61,7,0.02,20,144,0.7266
62,7,0.05,20,54,0.7362
63,7,0.02,10,141,0.7413
64,7,0.02,20,137,0.7483
65,7,0.05,20,53,0.7437
66,7,0.05,20,53,0.7446
67,7,0.02,20,172,0.743
68,7,0.02,20,138,0.7397
69,7,0.02,20,207,0.7445
70,7,0.02,10,206,0.7504
71,7,0.05,20,61,0.7491
72,7,0.05,20,65,0.7417
73,7,0.02,100,153,0.7289
74,15,0.05,100,53,0.7284
75,15,0.02,10,142,0.736
76,15,0.02,100,153,0.7373
77,7,0.02,50,164,0.7329
78,7,0.05,50,95,0.7265
79,15,0.02,100,164,0.7199
80,15,0.05,100,80,0.7142
81,15,0.05,100,80,0.7163
82,7,0.05,100,73,0.7218
83,7,0.02,100,210,0.72
84,7,0.05,100,78,0.7156
85,7,0.02,100,175,0.7214
86,7,0.05,100,79,0.7236
87,7,0.02,100,158,0.7221
88,15,0.02,100,151,0.7189
89,7,0.05,100,101,0.7161
90,7,0.02,100,183,0.7216
91,7,0.02,100,211,0.7201
92,7,0.02,100,180,0.72
93,7,0.02,50,233,0.7147
94,7,0.05,50,79,0.7121
95,7,0.05,50,83,0.7094
96,7,0.05,50,84,0.7123
97,15,0.05,100,64,0.702
98,7,0.05,10,61,0.7068
99,7,0.02,20,175,0.7094
100,7,0.02,100,145,0.709
101,15,0.05,50,55,0.7174
102,7,0.05,50,87,0.7161
103,15,0.02,50,155,0.7142
104,7,0.05,100,86,0.7113
105,7,0.02,50,190,0.7186
106,7,0.05,100,64,0.7201
107,7,0.05,50,79,0.7156
108,15,0.02,50,151,0.7088
109,7,0.02,100,185,0.7058
110,7,0.05,10,55,0.705
111,7,0.05,10,55,0.7058
112,7,0.05,50,63,0.7043
113,7,0.05,100,61,0.703
114,15,0.02,20,150,0.7018
115,15,0.02,100,143,0.7072
116,15,0.02,100,143,0.708
117,7,0.02,100,161,0.7107
118,7,0.02,50,154,0.7028
119,7,0.05,100,60,0.7024
120,7,0.02,100,185,0.7045
