fold,pe_leaves,pe_lr,pe_min_node,pe_rounds,pe_inner_rmse
1,7,0.05,20,5,0.2726
2,7,0.02,10,82,0.3367
3,7,0.02,10,50,0.3194
4,7,0.02,50,52,0.3135
5,7,0.05,50,5,0.2649
6,15,0.02,10,52,0.2879
7,15,0.05,20,20,0.3085
8,7,0.05,100,35,0.31
9,7,0.02,50,142,0.3039
10,7,0.05,10,33,0.3165
11,7,0.05,10,36,0.3089
12,7,0.05,10,31,0.3306
13,7,0.05,50,86,0.3193
14,15,0.05,10,37,0.3377
15,31,0.05,20,65,0.3134
16,15,0.05,20,25,0.3236
17,7,0.02,100,143,0.31
18,7,0.02,100,113,0.3061
19,15,0.05,50,26,0.3059
20,7,0.05,10,18,0.288
21,15,0.05,50,12,0.2915
22,7,0.05,50,23,0.2839
23,15,0.02,50,36,0.2819
24,7,0.02,20,35,0.2789
25,15,0.05,10,5,0.2807
26,7,0.02,100,40,0.2893
27,7,0.02,20,83,0.2974
28,7,0.05,20,26,0.3074
29,7,0.05,100,30,0.3087
30,7,0.02,10,109,0.3185
31,7,0.02,10,109,0.3082
32,7,0.05,100,59,0.3029
33,7,0.05,100,27,0.3048
34,7,0.05,10,11,0.2923
35,7,0.05,100,22,0.2828
36,7,0.05,100,27,0.2795
37,7,0.05,100,34,0.2693
38,15,0.02,100,115,0.2581
39,15,0.05,10,27,0.2581
40,7,0.05,20,44,0.2642
41,7,0.05,20,39,0.2626
42,31,0.02,50,96,0.2575
43,15,0.05,20,54,0.2622
44,31,0.05,50,81,0.2759
45,15,0.05,20,61,0.2792
46,7,0.05,20,45,0.2797
47,7,0.02,20,165,0.2815
48,7,0.02,10,125,0.3056
49,7,0.02,50,156,0.3049
50,31,0.05,10,55,0.3143
51,31,0.02,10,86,0.3096
52,63,0.05,10,21,0.3162
53,7,0.02,10,74,0.3173
54,7,0.02,10,86,0.3163
55,7,0.02,20,139,0.3099
56,7,0.05,10,91,0.3139
57,7,0.02,10,109,0.3156
58,7,0.05,10,65,0.3219
59,7,0.02,20,85,0.326
60,7,0.05,20,32,0.3112
61,7,0.05,50,44,0.312
62,7,0.02,50,125,0.3199
63,7,0.02,50,177,0.3127
64,7,0.05,50,55,0.3136
65,7,0.05,20,55,0.3186
66,7,0.05,10,87,0.3143
67,7,0.05,50,76,0.3147
68,15,0.05,100,100,0.3141
69,7,0.05,50,60,0.3135
70,7,0.05,50,50,0.3101
71,7,0.02,100,225,0.3122
72,15,0.05,100,82,0.3136
73,15,0.02,100,143,0.3115
74,15,0.05,100,89,0.3149
75,7,0.05,100,68,0.3204
76,7,0.05,100,68,0.3169
77,15,0.05,100,67,0.3131
78,7,0.05,10,73,0.3162
79,7,0.02,100,130,0.317
80,7,0.02,20,193,0.3179
81,7,0.05,10,59,0.3197
82,7,0.02,10,169,0.3231
83,15,0.05,100,46,0.3265
84,7,0.02,10,176,0.3256
85,7,0.02,10,180,0.3267
86,7,0.02,20,134,0.3291
87,7,0.02,20,169,0.3318
88,7,0.05,10,75,0.3371
89,7,0.02,10,145,0.3334
90,7,0.05,10,55,0.3304
91,15,0.05,20,43,0.3334
92,15,0.05,20,57,0.3334
93,7,0.02,20,148,0.3323
94,7,0.02,20,114,0.328
95,15,0.05,10,39,0.3321
96,15,0.05,10,39,0.3295
97,7,0.05,10,42,0.3297
98,7,0.05,20,99,0.3233
99,7,0.05,50,85,0.3218
100,7,0.02,50,120,0.3228
101,7,0.02,10,203,0.3218
102,7,0.02,50,150,0.3172
103,7,0.02,10,206,0.3125
104,7,0.05,100,55,0.3121
105,7,0.05,20,68,0.315
106,7,0.05,10,62,0.3159
107,7,0.05,20,90,0.3129
108,7,0.05,50,55,0.3081
109,7,0.05,100,56,0.306
110,7,0.02,10,180,0.3039
111,7,0.02,20,170,0.303
112,7,0.05,20,94,0.3052
113,7,0.02,20,140,0.3075
114,7,0.02,50,153,0.3042
115,7,0.05,10,90,0.3071
116,7,0.05,10,55,0.3095
117,7,0.02,20,196,0.3077
118,7,0.02,10,201,0.3054
119,7,0.02,20,180,0.3054
120,7,0.02,20,165,0.3076
121,7,0.02,50,170,0.3061
122,15,0.05,10,106,0.3058
123,7,0.02,10,173,0.304
124,7,0.05,10,68,0.3094
125,7,0.05,10,40,0.3126
126,7,0.05,10,40,0.3129
127,7,0.05,10,75,0.311
128,7,0.05,50,60,0.3132
129,7,0.02,50,103,0.3125
130,7,0.05,100,56,0.3105
131,7,0.02,50,203,0.3118
132,7,0.05,20,103,0.3189
133,7,0.05,50,82,0.3186
134,7,0.05,20,88,0.318
135,7,0.05,10,97,0.3189
136,7,0.02,100,153,0.3177
137,15,0.05,20,74,0.3184
138,7,0.02,100,153,0.3149
139,7,0.02,20,270,0.3141
140,7,0.05,100,56,0.3122
141,7,0.05,100,57,0.311
142,7,0.05,20,67,0.3114
143,7,0.05,100,65,0.3104
144,7,0.05,100,42,0.3079
145,7,0.05,10,70,0.3025
146,7,0.05,10,70,0.301
147,7,0.05,100,52,0.3006
148,7,0.05,100,60,0.3009
149,7,0.05,100,55,0.2988
150,15,0.05,20,51,0.2992
151,7,0.02,50,176,0.2987
152,7,0.05,20,75,0.3006
153,7,0.05,100,66,0.2985
154,7,0.05,100,76,0.3016
155,7,0.02,20,166,0.3044
156,7,0.05,50,69,0.3046
157,7,0.05,100,69,0.3035
158,7,0.05,100,69,0.3019
159,7,0.05,10,106,0.3033
160,7,0.05,50,83,0.304
161,7,0.05,50,83,0.3033
162,7,0.02,100,130,0.3022
163,7,0.02,50,150,0.3022
164,7,0.05,20,76,0.3019
165,7,0.05,10,60,0.2962
166,7,0.05,10,60,0.2961
167,7,0.02,50,176,0.2977
168,7,0.02,50,135,0.2998
169,7,0.05,50,84,0.3011
170,7,0.05,100,49,0.3014
171,7,0.05,100,49,0.303
172,7,0.05,50,59,0.3053
173,7,0.05,100,80,0.3058
174,15,0.02,50,151,0.3064
175,7,0.05,50,57,0.3064
176,7,0.05,50,50,0.3097
177,7,0.02,50,196,0.3092
178,7,0.05,50,53,0.3083
179,15,0.02,100,139,0.3103
180,7,0.02,100,184,0.3107
181,15,0.05,20,71,0.3091
182,7,0.02,100,166,0.3096
183,7,0.02,100,174,0.3108
184,7,0.02,100,150,0.3139
185,7,0.02,50,135,0.3131
186,7,0.02,50,135,0.3167
187,7,0.05,50,70,0.3179
188,7,0.02,100,155,0.3172
189,7,0.02,100,170,0.3182
190,7,0.05,100,87,0.3188
191,7,0.05,100,87,0.3201
192,7,0.02,100,173,0.3218
193,7,0.05,100,68,0.3211
194,7,0.05,100,90,0.3194
195,15,0.05,50,70,0.319
196,15,0.05,50,70,0.3179
197,7,0.05,50,90,0.3185
198,15,0.02,50,183,0.32
199,15,0.02,100,190,0.3191
200,15,0.02,100,171,0.3199
201,15,0.02,100,171,0.3198
202,7,0.05,100,86,0.3204
203,7,0.02,100,193,0.3224
204,15,0.02,100,148,0.3256
