fold,pe_leaves,pe_lr,pe_min_node,pe_rounds,pe_inner_rmse
1,7,0.05,10,5,0.2692
2,7,0.05,50,35,0.3421
3,7,0.05,10,73,0.3152
4,7,0.05,50,22,0.3116
5,7,0.05,100,10,0.2628
6,31,0.05,10,29,0.2865
7,7,0.05,20,25,0.3081
8,7,0.05,100,36,0.3103
9,7,0.05,100,85,0.3004
10,15,0.05,10,19,0.3126
11,15,0.05,10,30,0.3059
12,15,0.02,10,37,0.327
13,7,0.05,50,86,0.3121
14,15,0.05,10,20,0.329
15,31,0.05,10,15,0.3126
16,7,0.02,50,94,0.3201
17,7,0.02,100,113,0.3109
18,7,0.02,100,107,0.3051
19,7,0.02,100,125,0.3053
20,7,0.05,50,18,0.2887
21,7,0.05,50,18,0.2902
22,7,0.02,50,59,0.2828
23,31,0.05,10,12,0.2777
24,7,0.05,10,14,0.2761
25,7,0.05,50,12,0.2793
26,7,0.02,100,40,0.287
27,7,0.02,50,72,0.2928
28,7,0.05,50,24,0.3055
29,7,0.05,100,34,0.3096
30,7,0.02,100,74,0.3205
31,7,0.02,100,74,0.31
32,7,0.05,100,43,0.3043
33,7,0.05,100,21,0.3048
34,7,0.05,100,15,0.2933
35,7,0.05,100,30,0.2831
36,7,0.02,100,63,0.2791
37,7,0.02,100,103,0.2702
38,7,0.02,100,115,0.2582
39,7,0.02,100,110,0.257
40,7,0.02,100,115,0.2636
41,7,0.02,100,142,0.261
42,15,0.05,100,80,0.2562
43,15,0.05,100,62,0.2614
44,15,0.02,100,88,0.2763
45,15,0.05,100,58,0.2818
46,15,0.05,100,60,0.2798
47,7,0.05,50,50,0.281
48,7,0.02,100,143,0.3044
49,7,0.05,10,36,0.3022
50,7,0.05,10,53,0.3103
51,7,0.05,10,53,0.3061
52,7,0.02,10,125,0.3144
53,7,0.05,10,28,0.315
54,7,0.02,10,107,0.3141
55,7,0.02,10,92,0.3083
56,7,0.02,10,135,0.3132
57,7,0.05,20,67,0.3137
58,7,0.02,10,132,0.3215
59,7,0.02,20,85,0.3244
60,7,0.02,50,143,0.3105
61,7,0.02,20,159,0.3107
62,31,0.05,10,27,0.3177
63,7,0.05,100,71,0.313
64,15,0.05,100,56,0.3129
65,7,0.05,20,45,0.3177
66,7,0.05,20,45,0.3137
67,7,0.02,20,143,0.3146
68,7,0.05,10,54,0.3138
69,15,0.05,100,81,0.3132
70,7,0.02,100,139,0.3089
71,15,0.02,100,195,0.3113
72,7,0.05,100,60,0.312
73,15,0.05,10,109,0.3094
74,7,0.02,100,138,0.3145
75,7,0.05,20,79,0.3195
76,7,0.05,20,78,0.3162
77,7,0.05,100,74,0.313
78,7,0.02,100,167,0.3156
