axis,position,bucket,n,stated,emp,threshold,delta_pp
wb,QB,calm,1426,0.29026889356024593,0.2973352033660586,start,0.7066309805812687
wb,QB,breezy,350,0.2975684238985702,0.20285714285714285,start,-9.471128104142734
wb,QB,windy15,107,0.3010131869695089,0.21495327102803735,start,-8.605991594147156
wb,RB,calm,2608,0.27500542657490684,0.2764570552147238,start,0.14516286398169598
wb,RB,breezy,617,0.2836156500858284,0.25607779578606166,start,-2.753785429976674
wb,RB,windy15,197,0.26658940861770813,0.27918781725888325,start,1.2598408641175118
wb,TE,calm,1502,0.2745917992633361,0.26498002663115844,start,-0.9611772632177662
wb,TE,breezy,365,0.27691674289177093,0.25753424657534246,start,-1.9382496316428466
wb,TE,windy15,102,0.2714435735875006,0.2352941176470588,start,-3.6149455940441806
wb,WR,calm,3803,0.25946765949468203,0.259268998159348,start,-0.01986613353340272
wb,WR,breezy,929,0.2566337847762735,0.2421959095801937,start,-1.4437875196079808
wb,WR,windy15,265,0.25116875302639,0.18490566037735837,start,-6.626309264903166
wb,QB,calm,1426,0.14037852240628718,0.1374474053295932,boom,-0.29311170766939676
wb,QB,breezy,350,0.1433759595460664,0.0885714285714286,boom,-5.480453097463781
wb,QB,windy15,107,0.13990821649782814,0.0934579439252337,boom,-4.645027257259445
wb,RB,calm,2608,0.1428013923712349,0.13496932515337415,boom,-0.7832067217860755
wb,RB,breezy,617,0.14756664907012107,0.12641815235008094,boom,-2.114849672004013
wb,RB,windy15,197,0.13831219250821916,0.11167512690355325,boom,-2.6637065604665917
wb,TE,calm,1502,0.10690626580785648,0.11784287616511306,boom,1.0936610357256584
wb,TE,breezy,365,0.10814917887271187,0.10410958904109593,boom,-0.4039589831615939
wb,TE,windy15,102,0.11353789625807877,0.07843137254901963,boom,-3.510652370905913
wb,WR,calm,3803,0.1276097818612803,0.12542729424138813,boom,-0.2182487619892176
wb,WR,breezy,929,0.1257095887806985,0.1184068891280946,boom,-0.7302699652603883
wb,WR,windy15,265,0.1203489942976856,0.10188679245283015,boom,-1.8462201844855448
tb,QB,frigid,46,0.2689828836890993,0.17391304347826092,start,-9.506984021083836
tb,QB,cold,245,0.2824733608218939,0.2938775510204082,start,1.1404190198514297
tb,QB,mild,1592,0.29441056252266656,0.27512562814070385,start,-1.9284934381962715
tb,RB,frigid,84,0.2875299609237119,0.32142857142857145,start,3.389861050485954
tb,RB,cold,457,0.2739205174551324,0.2822757111597373,start,0.8355193704604913
tb,RB,mild,2881,0.2760808500220112,0.2700451232211037,start,-0.6035726800907526
tb,TE,frigid,49,0.27046156426764384,0.26530612244897955,start,-0.5155441818664286
tb,TE,cold,255,0.27858698796711484,0.2392156862745098,start,-3.9371301692605054
tb,TE,mild,1665,0.27441828202656066,0.2654654654654654,start,-0.8952816561095256
tb,WR,frigid,104,0.25996821898875405,0.21153846153846154,start,-4.842975745029252
tb,WR,cold,669,0.2363526341132763,0.2122571001494769,start,-2.4095533963799403
tb,WR,mild,4224,0.26197239764934066,0.25946969696969685,start,-0.250270067964381
tb,QB,frigid,46,0.12266327856038525,0.04347826086956524,boom,-7.918501769082001
tb,QB,cold,245,0.13199216438786823,0.12653061224489792,boom,-0.5461552142970311
tb,QB,mild,1592,0.1428083837116526,0.12814070351758794,boom,-1.466768019406467
tb,RB,frigid,84,0.14835943897809817,0.11904761904761903,boom,-2.931181993047914
tb,RB,cold,457,0.14301405039800122,0.14660831509846828,boom,0.3594264700467059
tb,RB,mild,2881,0.14331917452222065,0.13016313779937533,boom,-1.3156036722845321
tb,TE,frigid,49,0.1053043571181821,0.0816326530612245,boom,-2.3671704056957608
tb,TE,cold,255,0.11427184886649068,0.10196078431372543,boom,-1.2311064552765247
tb,TE,mild,1665,0.10650407927358455,0.11591591591591571,boom,0.9411836642331167
tb,WR,frigid,104,0.13110910532123,0.125,boom,-0.6109105321229991
tb,WR,cold,669,0.1117149297607775,0.10911808669656207,boom,-0.2596843064215426
tb,WR,mild,4224,0.12916762711203514,0.125,boom,-0.4167627112035138
pb,QB,dry,1815,0.2925391635845663,0.27438016528925624,start,-1.8158998295310036
pb,QB,wet,68,0.2841502894288228,0.2941176470588235,start,0.9967357630000673
pb,RB,dry,3294,0.2761236245662365,0.2744383727990283,start,-0.168525176720824
pb,RB,wet,128,0.2747804905220198,0.234375,start,-4.04054905220198
pb,TE,dry,1901,0.2748315778546229,0.2656496580746977,start,-0.9181919779925218
pb,TE,wet,68,0.27564571548991407,0.16176470588235295,start,-11.388100960756113
pb,WR,dry,4819,0.2589481418885055,0.2539946046897698,start,-0.49535371987357024
pb,WR,wet,178,0.2463871848692088,0.20224719101123592,start,-4.413999385797288
pb,QB,dry,1815,0.14127592650575785,0.1267217630853996,boom,-1.4554163420358257
pb,QB,wet,68,0.13111369632067507,0.10294117647058822,boom,-2.8172519850086855
pb,RB,dry,3294,0.14337116655621787,0.13205828779599268,boom,-1.1312878760225187
pb,RB,wet,128,0.14419947709674036,0.1328125,boom,-1.1386977096740358
pb,TE,dry,1901,0.1074644810181228,0.11467648605996839,boom,0.721200504184559
pb,TE,wet,68,0.10791983139430691,0.0735294117647059,boom,-3.4390419629601015
pb,WR,dry,4819,0.127165023157547,0.12346959950197119,boom,-0.3695423655575805
pb,WR,wet,178,0.11892384993475147,0.10674157303370785,boom,-1.218227690104362
