player_id,player_name,rookie_season,n_weeks,stated,emp,delta_pp
00-0033856,Leonard Fournette,2017,13,0.33489373120767446,0.6923076923076923,35.74139611000178
00-0033045,Ezekiel Elliott,2016,15,0.44340733733590426,0.8,35.65926626640958
00-0034844,Saquon Barkley,2018,16,0.5234654673091477,0.875,35.15345326908523
00-0036893,Najee Harris,2021,17,0.5377168457391706,0.7647058823529411,22.698903661377056
00-0038542,Bijan Robinson,2023,16,0.2804981549174041,0.5,21.95018450825959
00-0033280,Christian McCaffrey,2017,16,0.2325813450582102,0.375,14.24186549417898
00-0039139,Jahmyr Gibbs,2023,15,0.3355977867140765,0.4666666666666667,13.10688799525902
00-0034845,Sony Michel,2018,13,0.39015908524201715,0.38461538461538464,-0.5543700626632508
00-0040666,Omarion Hampton,2025,9,0.4854483083966408,0.4444444444444444,-4.10038639521964
00-0035700,Josh Jacobs,2019,13,0.438951006913459,0.38461538461538464,-5.433562229807437
00-0034750,Rashaad Penny,2018,9,0.22550171637549488,0.1111111111111111,-11.439060526438377
00-0040122,Ashton Jeanty,2025,17,0.5438618701181535,0.4117647058823529,-13.209716423580053
00-0036360,Clyde Edwards-Helaire,2020,13,0.5770354518626066,0.3076923076923077,-26.934314417029892
