axis,position,bucket,n,stated,emp,threshold,delta_pp
cohort,QB,rookie_all,571,0.2217066632703549,0.2241681260945709,start,0.24614628242159986
cohort,QB,veteran,4776,0.30569078705578095,0.3077889447236176,start,0.20981576678366642
cohort,RB,rookie_all,1572,0.23442957425108954,0.23727735368956757,start,0.28477794384780264
cohort,RB,veteran,8327,0.28238341202653744,0.2843761258556498,start,0.19927138291123692
cohort,TE,rookie_all,579,0.2399393339773311,0.2435233160621761,start,0.35839820848449777
cohort,TE,veteran,5053,0.2959962119444458,0.28735404710073253,start,-0.8642164843713274
cohort,WR,rookie_all,1885,0.20526122215782444,0.21379310344827598,start,0.8531881290451543
cohort,WR,veteran,12851,0.26907521534750284,0.27383083028558086,start,0.4755614938078023
cohort,QB,rookie_all,571,0.08404479953178323,0.0945709281961471,boom,1.0526128664363865
cohort,QB,veteran,4776,0.14547571295394207,0.1442629815745394,boom,-0.12127313794026706
cohort,RB,rookie_all,1572,0.11684576679128833,0.11386768447837135,boom,-0.2978082312916977
cohort,RB,veteran,8327,0.1498764238514008,0.1479524438573317,boom,-0.19239799940690971
cohort,TE,rookie_all,579,0.08965521532237919,0.09671848013816922,boom,0.7063264815790032
cohort,TE,veteran,5053,0.1212736992696131,0.12012665743122922,boom,-0.11470418383838776
cohort,WR,rookie_all,1885,0.09159795055312206,0.09283819628647229,boom,0.12402457333502287
cohort,WR,veteran,12851,0.1347328822905951,0.1373433974009805,boom,0.2610515110385403
tier,QB,day2,82,0.17529842100119233,0.1951219512195122,start,1.9823530218319867
tier,QB,day3_udfa,122,0.18606006433709876,0.14754098360655743,start,-3.8519080730541333
tier,QB,r1,367,0.2439256303982257,0.2561307901907358,start,1.2205159792510107
tier,RB,day2,445,0.2518015205768019,0.27640449438202236,start,2.4602973805220474
tier,RB,day3_udfa,945,0.19130467593467876,0.16402116402116407,start,-2.728351191351469
tier,RB,r1,182,0.41587195224046414,0.5219780219780221,start,10.610606973755798
tier,TE,day2,209,0.24721251544031694,0.22966507177033482,start,-1.7547443669982121
tier,TE,day3_udfa,229,0.1837565042276111,0.19650655021834068,start,1.275004599072957
tier,TE,r1,141,0.320405809771103,0.3404255319148936,start,2.0019722143790606
tier,WR,day2,710,0.19828564784281655,0.2225352112676056,start,2.424956342478904
tier,WR,day3_udfa,677,0.15150536142772913,0.14180206794682415,start,-0.9703293480904984
tier,WR,r1,498,0.2882840644829854,0.2991967871485944,start,1.0912722665608998
tier,QB,day2,82,0.0634159214198291,0.04878048780487804,boom,-1.4635433614951066
tier,QB,day3_udfa,122,0.0574746685356866,0.04098360655737706,boom,-1.6491061978309538
tier,QB,r1,367,0.0974865542639468,0.12261580381471383,boom,2.5129249550767034
tier,RB,day2,445,0.1247183879689755,0.14382022471910122,boom,1.9101836750125722
tier,RB,day3_udfa,945,0.08782119062950343,0.058201058201058205,boom,-2.9620132428445225
tier,RB,r1,182,0.24830130552104623,0.3296703296703297,boom,8.136902414928349
tier,TE,day2,209,0.095169924208602,0.07177033492822962,boom,-2.3399589280372375
tier,TE,day3_udfa,229,0.058423818621705974,0.06986899563318774,boom,1.1445177011481769
tier,TE,r1,141,0.13220426274956784,0.17730496453900707,boom,4.510070178943923
tier,WR,day2,710,0.08677886459585724,0.0901408450704226,boom,0.336198047456536
tier,WR,day3_udfa,677,0.05753748483834393,0.05169867060561306,boom,-0.5838814232730867
tier,WR,r1,498,0.14477161785947312,0.1526104417670682,boom,0.7838823907595077
phase,QB,w1_4,97,0.21903207959205337,0.21649484536082472,start,-0.25372342312286467
phase,QB,w5plus,474,0.22225399368553475,0.2257383966244726,start,0.34844029389378417
phase,RB,w1_4,337,0.22092883030603921,0.18397626112759646,start,-3.695256917844275
phase,RB,w5plus,1235,0.23811358292273482,0.25182186234817816,start,1.3708279425443337
phase,TE,w1_4,107,0.24264093021581917,0.17757009345794394,start,-6.507083675787523
phase,TE,w5plus,472,0.23932689584699587,0.25847457627118625,start,1.9147680424190376
phase,WR,w1_4,383,0.21513285962978218,0.1984334203655353,start,-1.6699439264246885
phase,WR,w5plus,1502,0.20274402032576067,0.21770972037283595,start,1.4965700047075288
phase,QB,w1_4,97,0.08556862541345554,0.061855670103092786,boom,-2.3712955310362758
phase,QB,w5plus,474,0.08373296174587139,0.10126582278481008,boom,1.7532861038938696
phase,RB,w1_4,337,0.10756792132117791,0.10385756676557868,boom,-0.37103545555992323
phase,RB,w5plus,1235,0.11937745417867879,0.11659919028340102,boom,-0.27782638952777716
phase,TE,w1_4,107,0.0916144300488183,0.056074766355140186,boom,-3.5539663693678105
phase,TE,w5plus,472,0.08921107130600422,0.10593220338983055,boom,1.672113208382632
phase,WR,w1_4,383,0.09719860168222416,0.09921671018276766,boom,0.20181085005435
phase,WR,w5plus,1502,0.09016982180315794,0.09121171770972043,boom,0.10418959065624928
