cell,tier,n,weeks,brier_model,brier_ecr,skill,rel_improve,ci_lo,ci_hi,verdict
QB start (20+),primary,2115,88,0.19345697662097933,0.19791693739511027,0.004459960774130939,0.02253450782348821,-5.397292726539575e-4,0.009954605034749596,NEUTRAL
QB boom (25+),primary,2115,88,0.11703972849116735,0.1171134072683514,7.367877718404692e-5,6.291233335498538e-4,-0.0023311196536570378,0.0023777730071524736,NEUTRAL
RB/WR/TE pooled start,secondary,3171,29,0.17781107205928728,0.1730673198031722,-0.004743752256115091,-0.02740986722109128,-0.007949342866302151,-0.0016583397691904735,FAIL
RB/WR/TE pooled boom,secondary,3171,29,0.10849323621650164,0.10555384233915587,-0.002939393877345778,-0.02784734133979878,-0.0050749805994601375,-0.0011167031972920403,FAIL
RB start (15+),reported,1148,25,0.17863639481707316,0.17023096268133478,-0.008405432135738383,-0.04937663515110938,-0.01384381826636099,-0.003019260787125494,FAIL
RB boom (20+),reported,1148,25,0.10995634429442508,0.10646133731425855,-0.0034950069801665262,-0.03282888481712162,-0.008503297097037168,0.0015950381579182139,NEUTRAL
WR start (15+),reported,1554,23,0.17749119996782498,0.1739617558814395,-0.003529444086385475,-0.020288620728747438,-0.007532910875717836,5.786578744335698e-4,NEUTRAL
WR boom (20+),reported,1554,23,0.1103507741586401,0.10582842473338946,-0.004522349425250635,-0.042732842680439226,-0.006875590944662107,-0.0020548759281092703,FAIL
TE start (12+),reported,469,19,0.1768507537313433,0.1770463908271423,1.9563709579900612e-4,0.001105004710262717,-0.00910911113975195,0.009846015477443782,NEUTRAL
TE boom (17+),reported,469,19,0.09875706982942431,0.10242270103413047,0.0036656312047061573,0.035789245623239846,-2.0418682985167577e-4,0.007290103340884378,NEUTRAL
