sensitivity,cell,n,weeks,brier_model,brier_ecr,skill,rel_improve,ci_lo,ci_hi,verdict
strict_first_kick,QB start (20+),1645,55,0.19649071563060266,0.19820574419344578,0.0017150285628431128,0.008652769221306074,-0.004274183031559724,0.008131041346651326,NEUTRAL
strict_first_kick,QB boom (25+),1645,55,0.11781081567262124,0.11738284211696481,-4.279735556564218e-4,-0.0036459634810168625,-0.0031732234362996095,0.002432097881129267,NEUTRAL
strict_first_kick,RB/WR/TE pooled start,2178,20,0.17630306565656567,0.17169409136306987,-0.004608974293495799,-0.026844105448856206,-0.008635381939076614,-3.664326220265488e-4,FAIL
strict_first_kick,RB/WR/TE pooled boom,2178,20,0.10806187666390751,0.10487694420616929,-0.0031849324577382238,-0.03036828048190665,-0.00588872662740463,-8.919527393990554e-4,FAIL
lag_within_3d,QB start (20+),805,85,0.18753519373341884,0.19953626801187793,0.01200107427845909,0.060144826792814896,0.004433267819421781,0.01929381087185112,PASS
lag_within_3d,QB boom (25+),805,85,0.11425937723477132,0.11670699866260653,0.0024476214278352088,0.020972362033841233,-3.5261839091281185e-4,0.0055828309571900785,NEUTRAL
lag_within_3d,RB/WR/TE pooled start,1554,29,0.17897511212998712,0.17254695030850575,-0.006428161821481371,-0.037254566423736396,-0.010685383226786888,-0.0022822412898022824,FAIL
lag_within_3d,RB/WR/TE pooled boom,1554,29,0.10931670458079884,0.10625154042183253,-0.0030651641589663076,-0.028848185605565853,-0.005893794639680078,-4.509414879660304e-4,FAIL
scoring_matched,QB start (20+),2115,88,0.19345697662097933,0.19791693739511027,0.004459960774130939,0.02253450782348821,-9.137196260243021e-4,0.010136003795716714,NEUTRAL
scoring_matched,QB boom (25+),2115,88,0.11703972849116735,0.1171134072683514,7.367877718404692e-5,6.291233335498538e-4,-0.002308662246096386,0.002472585385190861,NEUTRAL
scoring_matched,RB/WR/TE pooled start,1056,13,0.16691962949810607,0.1584385193434478,-0.008481110154658272,-0.05352934494593285,-0.012430500599538643,-0.0043065818983930824,FAIL
scoring_matched,RB/WR/TE pooled boom,1056,13,0.1034692329722741,0.09967930730878062,-0.003789925663493482,-0.03802118780534134,-0.006725813463086348,-0.0010305172134193262,FAIL
