position,outcome,tier,n,weeks,mean_pred,realized,gap,ci_lo,ci_hi,bucket,verdict
RB,start,graded,984,41,0.4195721544715447,0.4481707317073171,0.02859857723577236,9.488567073170863e-4,0.056683485772357704,star,DISCONFIRMED
RB,start,graded,1263,41,0.19134085510688836,0.15201900237529692,-0.039321852731591445,-0.05497626814932884,-0.023858384146633237,non_star,
RB,boom,graded,984,41,0.21020274390243904,0.2347560975609756,0.02455335365853656,8.095020325203213e-4,0.049336013719512226,star,DISCONFIRMED
RB,boom,graded,1263,41,0.07159778305621536,0.06413301662707839,-0.007464766429136974,-0.019492572112932097,0.005398709602277051,non_star,
WR,start,graded,984,41,0.4141112804878049,0.4298780487804878,0.01576676829268292,-0.014778544207317038,0.045628633130081274,star,DISCONFIRMED
WR,start,graded,2366,41,0.19368047337278108,0.19019442096365174,-0.003486052409129331,-0.01785569390159698,0.011866709509505047,non_star,
WR,boom,graded,984,41,0.23567525475641732,0.24491869918699186,0.009243444430574538,-0.016850147556349965,0.036073683244537455,star,DISCONFIRMED
WR,boom,graded,2366,41,0.09205161274374227,0.08157227387996618,-0.010479338863776083,-0.0212324060635345,6.001697992416178e-4,non_star,
TE,start,reported,492,41,0.4129369918699187,0.40853658536585363,-0.004400406504065091,-0.04677296747967476,0.03605284552845508,star,DISCONFIRMED
TE,start,reported,852,41,0.24320481220657278,0.2147887323943662,-0.02841607981220659,-0.053354521727326555,-0.004036172529348735,non_star,
TE,boom,reported,492,41,0.17857215447154473,0.18495934959349594,0.006387195121951211,-0.026303404471544722,0.03922055386178852,star,DISCONFIRMED
TE,boom,reported,852,41,0.07743192488262911,0.08450704225352113,0.007075117370892017,-0.012122434053689882,0.026213913977015696,non_star,
