position,q,n,mean_pred,realized
RB,Q1,184,0.25078260869565216,0.30434782608695654
RB,Q2,180,0.36058055555555557,0.4
RB,Q3,215,0.41643023255813955,0.4418604651162791
RB,Q4,209,0.472366028708134,0.5119617224880383
RB,Q5,196,0.5793545918367347,0.5663265306122449
TE,Q1,93,0.2784784946236559,0.25806451612903225
TE,Q2,124,0.35660887096774196,0.28225806451612906
TE,Q3,98,0.4162448979591837,0.45918367346938777
TE,Q4,91,0.4723736263736264,0.4835164835164835
TE,Q5,86,0.5728953488372093,0.6162790697674418
WR,Q1,217,0.2675253456221198,0.3087557603686636
WR,Q2,190,0.3585684210526316,0.42105263157894735
WR,Q3,177,0.4163446327683616,0.3954802259887006
WR,Q4,192,0.47719791666666667,0.4947916666666667
WR,Q5,208,0.557641826923077,0.5336538461538461
