player_id,season,week,p_start_new,p_boom_new,p_start_raw,p_boom_raw,hit_start,hit_boom,bucket
00-0030578,2023,16,0.048774333330089126,0.0066887769927193984,0.098,0.027,FALSE,FALSE,b3
00-0031687,2023,16,0.6555682854956768,0.2661453111581624,0.4555,0.2315,FALSE,FALSE,b1
00-0032764,2023,16,0.6779831995422567,0.2937653950409025,0.479,0.2455,TRUE,TRUE,b1
00-0033045,2023,16,0.2940847983882226,0.2533905029978742,0.4355,0.201,TRUE,TRUE,b3
00-0033280,2023,16,0.8235874802767634,0.6339053653730733,0.6595,0.4205,TRUE,TRUE,b1
00-0033293,2023,16,0.26864535868123063,0.1204587397672552,0.27,0.103,FALSE,FALSE,b2
00-0033526,2023,16,0.05244179150628574,0.005001378855085621,0.1045,0.023,FALSE,FALSE,b3
00-0033553,2023,16,0.6111119106021476,0.19126637447497308,0.4115,0.1915,TRUE,TRUE,b1
00-0033699,2023,16,0.49916729216544237,0.11040966091714376,0.3135,0.1415,FALSE,FALSE,b1
00-0033856,2023,16,0.2867815315146668,0.15566238608540856,0.287,0.1195,FALSE,FALSE,b2
00-0033897,2023,16,0.6467441642939711,0.24201517631415634,0.4465,0.219,FALSE,FALSE,b1
00-0033906,2023,16,0.5614796735516607,0.14871578031894783,0.366,0.1665,FALSE,FALSE,b1
00-0033923,2023,16,0.1220749244127679,0.05281770538315094,0.2165,0.0835,FALSE,FALSE,b3
00-0034115,2023,16,0.06664305733311834,0.01399757313261369,0.129,0.0405,FALSE,FALSE,b3
00-0034184,2023,16,0.13542471730562858,0.055759651304670345,0.236,0.086,FALSE,FALSE,b3
00-0034681,2023,16,0.03803312435486566,0.0025963802011147092,0.0785,0.016,FALSE,FALSE,b3
00-0034844,2023,16,0.722382753652576,0.395173984213152,0.5285,0.2955,TRUE,FALSE,b1
00-0034975,2023,16,0.04047639937339228,0.0032109290413062973,0.083,0.018,FALSE,FALSE,b3
00-0035243,2023,16,0.08856556419590675,0.026179880610250682,0.165,0.057,FALSE,FALSE,b3
00-0035250,2023,16,0.2842263257382324,0.2533905029978742,0.4245,0.201,FALSE,FALSE,b3
00-0035261,2023,16,0.4602173496082092,0.3999468408415007,0.4485,0.2185,FALSE,FALSE,b2
00-0035685,2023,16,0.37743508702266615,0.2494743080325246,0.3715,0.159,FALSE,FALSE,b2
00-0036223,2023,16,0.43443740887276394,0.3823837020502419,0.4245,0.2115,FALSE,FALSE,b2
00-0036265,2023,16,0.17469987498970696,0.07761568308378135,0.2905,0.103,FALSE,FALSE,b3
00-0036275,2023,16,0.5212338606703721,0.5212338606703721,0.5055,0.287,TRUE,FALSE,b2
00-0036328,2023,16,0.0820433725633437,0.01595124059688663,0.1545,0.0435,FALSE,FALSE,b3
00-0036360,2023,16,0.16727380255793117,0.09564643497844204,0.2805,0.1155,FALSE,FALSE,b3
00-0036555,2023,16,0.2520612378096244,0.20633465555676553,0.3875,0.178,FALSE,FALSE,b3
00-0036893,2023,16,0.21414909761106124,0.1838272527132767,0.3415,0.1665,FALSE,FALSE,b3
00-0036906,2023,16,0.1316223077933757,0.061234115295013006,0.2305,0.0905,TRUE,FALSE,b3
00-0036919,2023,16,0.0958293297109672,0.025342747593866254,0.1765,0.056,FALSE,FALSE,b3
00-0036973,2023,16,0.668554018657172,0.2680990627789813,0.469,0.2325,FALSE,FALSE,b1
00-0036997,2023,16,0.1833638135461988,0.09640045859662773,0.302,0.116,FALSE,FALSE,b3
00-0037197,2023,16,0.5255003883161906,0.5255003883161906,0.5095,0.274,FALSE,FALSE,b2
00-0037228,2023,16,0.1160366032096787,0.03427396606816802,0.2075,0.066,FALSE,FALSE,b3
00-0037248,2023,16,0.40862998862139277,0.3520212840121052,0.4005,0.1995,FALSE,FALSE,b2
00-0037256,2023,16,0.7163264564401393,0.395173984213152,0.5215,0.2955,TRUE,FALSE,b1
00-0037258,2023,16,0.10289494739242286,0.034752883869023844,0.1875,0.0665,FALSE,FALSE,b3
00-0037263,2023,16,0.1153704603787685,0.03523484941099569,0.2065,0.067,TRUE,FALSE,b3
00-0037267,2023,16,0.15849377136051593,0.07899882941542899,0.2685,0.104,FALSE,FALSE,b3
00-0037276,2023,16,0.21454912398853393,0.13534087172826914,0.342,0.14,FALSE,FALSE,b3
00-0037286,2023,16,0.04156922248151538,0.005607921124957523,0.085,0.0245,FALSE,FALSE,b3
00-0037557,2023,16,0.03884513886617073,0.003710284504804166,0.08,0.0195,FALSE,FALSE,b3
00-0037840,2023,16,0.4843456164567352,0.46605548946613223,0.471,0.2455,TRUE,FALSE,b2
00-0038040,2023,16,0.13751108456498282,0.05051588300885752,0.239,0.0815,FALSE,FALSE,b3
