stratum,n,pred,emp,delta_pp,method,threshold,position
exante_low,1596,0.10020332080200502,0.09147869674185463,-0.8724624060150385,raw,15+,RB
exante_mid,3349,0.18238563750373246,0.18005374738727978,-0.2331890116452684,raw,15+,RB
exante_high,4954,0.4107142712959225,0.4020993136859104,-0.8614957610012075,raw,15+,RB
exante_low,1596,0.10613584270941016,0.09147869674185463,-1.4657145967555532,iso,15+,RB
exante_mid,3349,0.18016377758235969,0.18005374738727978,-0.011003019507990763,iso,15+,RB
exante_high,4954,0.39996093474943695,0.4020993136859104,0.21383789364734507,iso,15+,RB
exante_low,1596,0.10260989118337374,0.09147869674185463,-1.113119444151911,platt_vegas,15+,RB
exante_mid,3349,0.18144438289421305,0.18005374738727978,-0.13906355069332743,platt_vegas,15+,RB
exante_high,4954,0.3952446022394411,0.4020993136859104,0.6854711446469319,platt_vegas,15+,RB
exante_low,1596,0.026898182957393484,0.02819548872180451,0.1297305764411026,raw,20+,RB
exante_mid,3349,0.06153030755449388,0.07733651836369065,1.5806210809196772,raw,20+,RB
exante_high,4954,0.20002563584981833,0.22345579329834478,2.3430157448526447,raw,20+,RB
exante_low,1596,0.03212831882038842,0.02819548872180451,-0.39328300985839104,iso,20+,RB
exante_mid,3349,0.07831519462826592,0.07733651836369065,-0.09786762645752622,iso,20+,RB
exante_high,4954,0.2304879630189086,0.22345579329834478,-0.7032169720563808,iso,20+,RB
exante_low,1596,0.034770936504836994,0.02819548872180451,-0.6575447783032484,platt_vegas,20+,RB
exante_mid,3349,0.07644202496235698,0.07733651836369065,0.08944934013336708,platt_vegas,20+,RB
exante_high,4954,0.22871477511912522,0.22345579329834478,-0.525898182078044,platt_vegas,20+,RB
exante_low,2162,0.11258371877890842,0.10175763182238667,-1.082608695652175,raw,15+,WR
exante_mid,11568,0.27731963174273855,0.2752420470262794,-0.20775847164591354,raw,15+,WR
exante_high,1006,0.5435477137176938,0.5149105367793241,-2.8637176938369757,raw,15+,WR
exante_low,2162,0.0992809730692965,0.10175763182238667,0.247665875309018,iso,15+,WR
exante_mid,11568,0.27191017780562043,0.2752420470262794,0.33318692206589784,iso,15+,WR
exante_high,1006,0.5144923747317346,0.5149105367793241,0.04181620475894876,iso,15+,WR
exante_low,2162,0.1114287774807416,0.10175763182238667,-0.9671145658354932,platt_vegas,15+,WR
exante_mid,11568,0.26656393730448047,0.2752420470262794,0.8678109721798943,platt_vegas,15+,WR
exante_high,1006,0.5210917675104044,0.5149105367793241,-0.6181230731080345,platt_vegas,15+,WR
exante_low,2162,0.029993524514338583,0.030527289546716005,0.05337650323774222,raw,20+,WR
exante_mid,11568,0.11419778699861687,0.13433609958506224,2.013831258644537,raw,20+,WR
exante_high,1006,0.3125661033797217,0.31809145129224653,0.5525347912524847,raw,20+,WR
exante_low,2162,0.028154134231060526,0.030527289546716005,0.2373155315655479,iso,20+,WR
exante_mid,11568,0.1336392274138519,0.13433609958506224,0.06968721712103387,iso,20+,WR
exante_high,1006,0.31596071909209555,0.31809145129224653,0.21307322001509754,iso,20+,WR
exante_low,2162,0.02506059688349009,0.030527289546716005,0.5466692663225914,strat_iso,20+,WR
exante_mid,11568,0.13464363565755982,0.13433609958506224,-0.03075360724975884,strat_iso,20+,WR
exante_high,1006,0.3112306276957476,0.31809145129224653,0.6860823596498922,strat_iso,20+,WR
