position,threshold,method,ext_w_mean_abs_delta_pp,w_mean_abs_delta_pp,brier
RB,15+,iso,2.1252,1.3211,0.17665
RB,15+,platt,1.6888,0.7863,0.17611
RB,15+,platt_vegas,1.3184,0.6418,0.17579
RB,15+,platt_vol,1.7819,0.6918,0.17623
RB,15+,platt_vol_vegas,1.5166,0.7338,0.17560
RB,15+,raw,1.6829,0.7650,0.17602
RB,15+,strat_iso,2.0425,1.2320,0.17684
RB,15+,strat_platt,1.6978,0.6861,0.17618
RB,20+,iso,1.4934,0.7919,0.11118
RB,20+,platt,1.1444,0.4581,0.11071
RB,20+,platt_vegas,0.8288,0.4002,0.11051
RB,20+,platt_vol,1.2682,0.5376,0.11075
RB,20+,platt_vol_vegas,0.9178,0.3847,0.11040
RB,20+,raw,2.0548,1.7440,0.11103
RB,20+,strat_iso,1.4510,0.5664,0.11138
RB,20+,strat_platt,1.1833,0.4178,0.11075
WR,15+,iso,1.4390,0.4102,0.17692
WR,15+,platt,2.1045,1.4632,0.17677
WR,15+,platt_vegas,1.6574,1.3242,0.17591
WR,15+,platt_vol,2.0904,1.1004,0.17697
WR,15+,platt_vol_vegas,1.9157,1.5494,0.17576
WR,15+,raw,2.0067,1.0429,0.17674
WR,15+,strat_iso,1.6159,0.6373,0.17697
WR,15+,strat_platt,1.8403,0.9926,0.17675
WR,20+,iso,0.9819,0.3780,0.10600
WR,20+,platt,1.1844,0.6809,0.10584
WR,20+,platt_vegas,1.1040,0.7707,0.10533
WR,20+,platt_vol,1.3076,0.9164,0.10595
WR,20+,platt_vol_vegas,1.3284,0.9370,0.10534
WR,20+,raw,1.9043,1.6412,0.10616
WR,20+,strat_iso,0.9672,0.3355,0.10604
WR,20+,strat_platt,1.0611,0.4883,0.10588
