bin,n,pred,emp,delta,method,threshold,position
"[0,0.1)",806,0.08635878978129416,0.07816377171215881,-0.008195018069135349,norm,15+,RB
"[0.1,0.2)",3560,0.1470237901615682,0.13792134831460673,-0.009102441846961462,norm,15+,RB
"[0.2,0.3)",2199,0.24629038598872566,0.2246475670759436,-0.021642818912782052,norm,15+,RB
"[0.3,0.4)",1777,0.35026521506440683,0.3140123804164322,-0.03625283464797463,norm,15+,RB
"[0.4,0.5)",1900,0.4480987789824961,0.41,-0.03809877898249614,norm,15+,RB
"[0.5,0.6)",945,0.5408263589060772,0.5216931216931217,-0.019133237212955567,norm,15+,RB
"[0.6,0.7)",312,0.6411117619636413,0.5993589743589743,-0.04175278760466694,norm,15+,RB
"[0.7,0.8)",100,0.7399498368167672,0.75,0.010050163183232819,norm,15+,RB
"[0.8,0.9)",22,0.8292529439355263,0.8636363636363636,0.03438341970083736,norm,15+,RB
"[0,0.1)",998,0.08237024048096192,0.0841683366733467,0.0017980961923847738,sim,15+,RB
"[0.1,0.2)",3564,0.14619753086419754,0.14309764309764308,-0.0030998877665544544,sim,15+,RB
"[0.2,0.3)",2274,0.24655650835532103,0.23526824978012312,-0.011288258575197913,sim,15+,RB
"[0.3,0.4)",2009,0.35132155301144846,0.3255350920856147,-0.025786460925833754,sim,15+,RB
"[0.4,0.5)",1771,0.4466383399209486,0.44664031620553357,1.976284584981336e-6,sim,15+,RB
"[0.5,0.6)",697,0.5417058823529411,0.5380200860832137,-0.003685796269727426,sim,15+,RB
"[0.6,0.7)",223,0.6408587443946189,0.6457399103139013,0.004881165919282449,sim,15+,RB
"[0.7,0.8)",73,0.7376986301369863,0.7534246575342466,0.015726027397260256,sim,15+,RB
"[0.8,0.9)",12,0.8263333333333334,0.9166666666666666,0.09033333333333327,sim,15+,RB
"[0,0.1)",6550,0.0443491748446243,0.06595419847328245,0.021605023628658147,norm,20+,RB
"[0.1,0.2)",2843,0.14877871645876947,0.17340837143862117,0.0246296549798517,norm,20+,RB
"[0.2,0.3)",1628,0.23949138577163673,0.2727272727272727,0.03323588695563598,norm,20+,RB
"[0.3,0.4)",416,0.3402954114741197,0.3701923076923077,0.02989689621818803,norm,20+,RB
"[0.4,0.5)",130,0.44414864034830454,0.5076923076923077,0.06354366734400313,norm,20+,RB
"[0.5,0.6)",44,0.5381965322884323,0.5454545454545454,0.007258013166113075,norm,20+,RB
"[0.6,0.7)",10,0.6463358739534283,0.7,0.05366412604657167,norm,20+,RB
"[0,0.1)",6029,0.0500173328910267,0.06153590976944767,0.01151857687842097,sim,20+,RB
"[0.1,0.2)",3184,0.1474535175879397,0.1620603015075377,0.014606783919597993,sim,20+,RB
"[0.2,0.3)",1817,0.23904457897633463,0.26252063841496975,0.023476059438635122,sim,20+,RB
"[0.3,0.4)",435,0.33797241379310344,0.3954022988505747,0.057429885057471264,sim,20+,RB
"[0.4,0.5)",121,0.44117768595041323,0.5041322314049587,0.06295454545454543,sim,20+,RB
"[0.5,0.6)",29,0.5429655172413793,0.6896551724137931,0.14668965517241384,sim,20+,RB
"[0.6,0.7)",6,0.62975,0.5,-0.12975000000000003,sim,20+,RB
"[0,0.1)",621,0.08847801519015999,0.09339774557165861,0.0049197303814986215,norm,15+,WR
"[0.1,0.2)",5639,0.1474750159146035,0.1317609505231424,-0.015714065391461085,norm,15+,WR
"[0.2,0.3)",4157,0.24763559289561266,0.23839307192687034,-0.009242520968742313,norm,15+,WR
"[0.3,0.4)",2806,0.3472099358680354,0.3442622950819672,-0.002947640786068184,norm,15+,WR
"[0.4,0.5)",2108,0.4467068624880514,0.42125237191650855,-0.025454490571542865,norm,15+,WR
"[0.5,0.6)",1380,0.5446497177131393,0.49130434782608695,-0.05334536988705235,norm,15+,WR
"[0.6,0.7)",431,0.6399581777639762,0.5406032482598608,-0.0993549295041154,norm,15+,WR
"[0.7,0.8)",76,0.7348582634379298,0.618421052631579,-0.11643721080635083,norm,15+,WR
"[0.8,0.9)",4,0.8152770585748423,0.25,-0.5652770585748423,norm,15+,WR
"[0.9,1]",1,0.9067855086743873,0,-0.9067855086743873,norm,15+,WR
