bin,n,pred,emp,delta,method,threshold,position
"[0,0.1)",853,0.08236459554513481,0.08440797186400938,0.002043376318874565,raw,15+,RB
"[0.1,0.2)",2963,0.1464628754640567,0.13904826189672628,-0.007414613567330419,raw,15+,RB
"[0.2,0.3)",1885,0.2460082228116711,0.24297082228116712,-0.0030374005305039697,raw,15+,RB
"[0.3,0.4)",1697,0.3514876252209782,0.3270477312905127,-0.02443989393046553,raw,15+,RB
"[0.4,0.5)",1581,0.4474860847564832,0.4471853257432005,-3.0075901328269206e-4,raw,15+,RB
"[0.5,0.6)",645,0.541153488372093,0.5426356589147286,0.0014821705426356635,raw,15+,RB
"[0.6,0.7)",199,0.6403140703517588,0.6381909547738693,-0.0021231155778894673,raw,15+,RB
"[0.7,0.8)",65,0.737476923076923,0.7692307692307693,0.031753846153846244,raw,15+,RB
"[0.8,0.9)",11,0.828,0.9090909090909091,0.0810909090909091,raw,15+,RB
"[0,0.1)",904,0.082834920809951,0.08075221238938053,-0.00208270842057047,platt,15+,RB
"[0.1,0.2)",3032,0.1472571455578714,0.145778364116095,-0.0014787814417764056,platt,15+,RB
"[0.2,0.3)",1897,0.24695345958108847,0.2440695835529784,-0.0028838760281100773,platt,15+,RB
"[0.3,0.4)",1754,0.35074835567712537,0.33580387685290763,-0.014944478824217733,platt,15+,RB
"[0.4,0.5)",1503,0.4446718848795882,0.4683965402528277,0.023724655373239478,platt,15+,RB
"[0.5,0.6)",577,0.5392813037134422,0.5407279029462738,0.0014465992328316357,platt,15+,RB
"[0.6,0.7)",177,0.6415453856261657,0.655367231638418,0.013821846012252337,platt,15+,RB
"[0.7,0.8)",48,0.7371379227948736,0.75,0.012862077205126443,platt,15+,RB
"[0.8,0.9)",7,0.8237254026222959,0.8571428571428571,0.03341745452056122,platt,15+,RB
"[0,0.1)",832,0.07579240679178798,0.08774038461538461,0.011947977823596634,iso,15+,RB
"[0.1,0.2)",2742,0.1468969529158606,0.13384390955506928,-0.013053043360791328,iso,15+,RB
"[0.2,0.3)",2675,0.23558815860186785,0.24785046728971963,0.012262308687851775,iso,15+,RB
"[0.3,0.4)",1308,0.34246235511181855,0.3547400611620795,0.012277706050260961,iso,15+,RB
"[0.4,0.5)",1299,0.44894232982824717,0.4449576597382602,-0.003984670089986986,iso,15+,RB
"[0.5,0.6)",640,0.5450392796428393,0.528125,-0.016914279642839314,iso,15+,RB
"[0.6,0.7)",244,0.6231452803138348,0.5737704918032787,-0.0493747885105561,iso,15+,RB
"[0.7,0.8)",123,0.7658493227916767,0.7398373983739838,-0.026011924417692955,iso,15+,RB
"[0.8,0.9)",18,0.8059355831550934,0.7222222222222222,-0.08371336093287118,iso,15+,RB
"[0.9,1]",18,0.967942984938083,0.7777777777777778,-0.19016520716030516,iso,15+,RB
"[0,0.1)",644,0.08389213640119203,0.07919254658385093,-0.004699589817341102,strat_platt,15+,RB
"[0.1,0.2)",3606,0.15514278614965776,0.14864115363283417,-0.006501632516823591,strat_platt,15+,RB
"[0.2,0.3)",1907,0.24194253901918347,0.2496067121132669,0.007664173094083432,strat_platt,15+,RB
"[0.3,0.4)",1454,0.3516626452961361,0.35419532324621733,0.002532677950081219,strat_platt,15+,RB
"[0.4,0.5)",1345,0.4471742632007747,0.45650557620817844,0.009331313007403752,strat_platt,15+,RB
"[0.5,0.6)",599,0.5422904560804424,0.5342237061769616,-0.008066749903480774,strat_platt,15+,RB
"[0.6,0.7)",230,0.6404767061077965,0.6260869565217392,-0.014389749586057321,strat_platt,15+,RB
"[0.7,0.8)",85,0.742609935724604,0.7411764705882353,-0.0014334651363686612,strat_platt,15+,RB
"[0.8,0.9)",28,0.8356496651349274,0.7857142857142857,-0.049935379420641746,strat_platt,15+,RB
"[0.9,1]",1,0.9305637891974188,0,-0.9305637891974188,strat_platt,15+,RB
"[0,0.1)",862,0.07137047268389196,0.08468677494199536,0.013316302258103402,strat_iso,15+,RB
"[0.1,0.2)",2883,0.1500076837145059,0.1401318071453347,-0.009875876569171188,strat_iso,15+,RB
"[0.2,0.3)",2514,0.2390402246182068,0.2494033412887828,0.010363116670576017,strat_iso,15+,RB
"[0.3,0.4)",1293,0.34330498140045473,0.35730858468677495,0.014003603286320221,strat_iso,15+,RB
"[0.4,0.5)",1299,0.44894232982824717,0.4449576597382602,-0.003984670089986986,strat_iso,15+,RB
"[0.5,0.6)",644,0.5447595325643123,0.5263975155279503,-0.018362017036361977,strat_iso,15+,RB
"[0.6,0.7)",245,0.6233229186254791,0.5714285714285714,-0.051894347196907664,strat_iso,15+,RB
"[0.7,0.8)",123,0.7658493227916767,0.7398373983739838,-0.026011924417692955,strat_iso,15+,RB
"[0.8,0.9)",18,0.8059355831550934,0.7222222222222222,-0.08371336093287118,strat_iso,15+,RB
"[0.9,1]",18,0.967942984938083,0.7777777777777778,-0.19016520716030516,strat_iso,15+,RB
"[0,0.1)",859,0.08394594676438197,0.0779976717112922,-0.0059482750530897716,platt_vol,15+,RB
"[0.1,0.2)",3109,0.14674588583212567,0.14538436796397555,-0.0013615178681501139,platt_vol,15+,RB
"[0.2,0.3)",1898,0.24662423715271425,0.2476290832455216,0.0010048460928073488,platt_vol,15+,RB
"[0.3,0.4)",1721,0.35233408831449115,0.3381754793724579,-0.014158608942033246,platt_vol,15+,RB
"[0.4,0.5)",1495,0.4453766281626311,0.46153846153846156,0.016161833375830437,platt_vol,15+,RB
"[0.5,0.6)",577,0.5397021260032718,0.5476603119584056,0.007958185955133756,platt_vol,15+,RB
"[0.6,0.7)",184,0.6419178800633255,0.6630434782608695,0.021125598197544004,platt_vol,15+,RB
"[0.7,0.8)",50,0.7364654189802842,0.74,0.003534581019715821,platt_vol,15+,RB
"[0.8,0.9)",6,0.8257664083902729,0.8333333333333334,0.007566924943060438,platt_vol,15+,RB
"[0,0.1)",974,0.07907280224613544,0.08624229979466119,0.0071694975485257495,platt_vegas,15+,RB
"[0.1,0.2)",2955,0.14764994932234385,0.14348561759729273,-0.004164331725051124,platt_vegas,15+,RB
"[0.2,0.3)",2019,0.24789878318569677,0.24318969787023278,-0.00470908531546399,platt_vegas,15+,RB
"[0.3,0.4)",1723,0.3496096600216898,0.3482298316889147,-0.0013798283327751126,platt_vegas,15+,RB
"[0.4,0.5)",1333,0.4458364410098793,0.46661665416354087,0.020780213153661575,platt_vegas,15+,RB
"[0.5,0.6)",634,0.5411759930271409,0.5425867507886435,0.001410757761502568,platt_vegas,15+,RB
"[0.6,0.7)",187,0.64116355037663,0.6470588235294118,0.005895273152781821,platt_vegas,15+,RB
"[0.7,0.8)",62,0.740147961755548,0.7258064516129032,-0.014341510142644731,platt_vegas,15+,RB
"[0.8,0.9)",11,0.8314048078816696,0.9090909090909091,0.07768610120923947,platt_vegas,15+,RB
"[0.9,1]",1,0.9190211496710352,0,-0.9190211496710352,platt_vegas,15+,RB
"[0,0.1)",821,0.08289901656244696,0.0925700365408039,0.00967101997835694,platt_vol_vegas,15+,RB
"[0.1,0.2)",3309,0.14755623189816336,0.14113025083106678,-0.006425981067096576,platt_vol_vegas,15+,RB
"[0.2,0.3)",1927,0.2461616840390385,0.2511676180591593,0.005005934020120839,platt_vol_vegas,15+,RB
"[0.3,0.4)",1576,0.3482209532368053,0.35406091370558374,0.005839960468778438,platt_vol_vegas,15+,RB
"[0.4,0.5)",1312,0.44562871326078046,0.45426829268292684,0.008639579422146382,platt_vol_vegas,15+,RB
"[0.5,0.6)",641,0.5392693496002153,0.5475819032761311,0.008312553675915768,platt_vol_vegas,15+,RB
"[0.6,0.7)",214,0.6407184251708206,0.6214953271028038,-0.01922309806801681,platt_vol_vegas,15+,RB
"[0.7,0.8)",87,0.7352628409822509,0.7586206896551724,0.023357848672921455,platt_vol_vegas,15+,RB
"[0.8,0.9)",11,0.8304697013226963,0.9090909090909091,0.0786212077682128,platt_vol_vegas,15+,RB
"[0.9,1]",1,0.9084912942025238,0,-0.9084912942025238,platt_vol_vegas,15+,RB
"[0,0.1)",5044,0.04989343774781919,0.06007137192704203,0.010177934179222844,raw,20+,RB
"[0.1,0.2)",2677,0.14788905491221516,0.16585730295106463,0.01796824803884947,raw,20+,RB
"[0.2,0.3)",1648,0.2398558859223301,0.2645631067961165,0.024707220873786406,raw,20+,RB
"[0.3,0.4)",394,0.33838959390862944,0.3934010152284264,0.05501142131979697,raw,20+,RB
"[0.4,0.5)",104,0.4418125,0.5096153846153846,0.06780288461538458,raw,20+,RB
"[0.5,0.6)",26,0.5394230769230769,0.6538461538461539,0.11442307692307696,raw,20+,RB
"[0.6,0.7)",6,0.62975,0.5,-0.12975000000000003,raw,20+,RB
"[0,0.1)",4456,0.05438505891848531,0.05385996409335727,-5.250948251280391e-4,platt,20+,RB
"[0.1,0.2)",2537,0.14748327119199697,0.1383523847063461,-0.009130886485650885,platt,20+,RB
"[0.2,0.3)",1972,0.24510678478181822,0.2383367139959432,-0.006770070785875021,platt,20+,RB
"[0.3,0.4)",692,0.3385130436173735,0.3352601156069364,-0.003252928010437084,platt,20+,RB
"[0.4,0.5)",172,0.4407651141930073,0.4476744186046512,0.006909304411643891,platt,20+,RB
"[0.5,0.6)",55,0.5409252648588376,0.5818181818181818,0.04089291695934416,platt,20+,RB
"[0.6,0.7)",14,0.6371136938037317,0.6428571428571429,0.005743449053411176,platt,20+,RB
"[0.7,0.8)",1,0.7238856881305263,0,-0.7238856881305263,platt,20+,RB
"[0,0.1)",4231,0.05367566346786162,0.05057905932403687,-0.0030966041438247535,iso,20+,RB
"[0.1,0.2)",3078,0.14088494507316854,0.14554905782975958,0.004664112756591038,iso,20+,RB
"[0.2,0.3)",1457,0.2368536127054771,0.23816060398078243,0.0013069912753053137,iso,20+,RB
"[0.3,0.4)",742,0.33691730222852334,0.3113207547169811,-0.025596547511542223,iso,20+,RB
"[0.4,0.5)",180,0.43303998190308896,0.35,-0.08303998190308898,iso,20+,RB
"[0.5,0.6)",183,0.5432769797197536,0.5027322404371585,-0.040544739282595166,iso,20+,RB
"[0.6,0.7)",12,0.6373416592985559,0.4166666666666667,-0.22067499263188922,iso,20+,RB
"[0.7,0.8)",3,0.75332383665717,1,0.24667616334283005,iso,20+,RB
"[0.8,0.9)",4,0.8457129892676765,0.75,-0.09571298926767646,iso,20+,RB
"[0.9,1]",9,0.9888888888888889,0.5555555555555556,-0.43333333333333335,iso,20+,RB
"[0,0.1)",4565,0.05735882807010525,0.05542168674698795,-0.0019371413231173001,strat_platt,20+,RB
"[0.1,0.2)",2593,0.14526133813204253,0.14153490165831084,-0.0037264364737316924,strat_platt,20+,RB
"[0.2,0.3)",1751,0.2456376650576188,0.24271844660194175,-0.002919218455677053,strat_platt,20+,RB
"[0.3,0.4)",686,0.33978524865875465,0.3236151603498542,-0.016170088308900432,strat_platt,20+,RB
"[0.4,0.5)",204,0.44197154395362837,0.43137254901960786,-0.0105989949340205,strat_platt,20+,RB
"[0.5,0.6)",66,0.5446630138610032,0.5606060606060606,0.01594304674505731,strat_platt,20+,RB
"[0.6,0.7)",28,0.6430224837311425,0.5714285714285714,-0.07159391230257106,strat_platt,20+,RB
"[0.7,0.8)",6,0.7376303477820402,0.5,-0.23763034778204017,strat_platt,20+,RB
"[0,0.1)",4205,0.05215178698583538,0.052794292508917956,6.425055230825788e-4,strat_iso,20+,RB
"[0.1,0.2)",3095,0.14122646235952052,0.1421647819063005,9.383195467799754e-4,strat_iso,20+,RB
"[0.2,0.3)",1463,0.2368867795956677,0.23718386876281614,2.9708916714843436e-4,strat_iso,20+,RB
"[0.3,0.4)",745,0.3369028701390125,0.3100671140939597,-0.026835756045052783,strat_iso,20+,RB
"[0.4,0.5)",180,0.43303998190308896,0.35,-0.08303998190308898,strat_iso,20+,RB
"[0.5,0.6)",183,0.5432769797197536,0.5027322404371585,-0.040544739282595166,strat_iso,20+,RB
"[0.6,0.7)",12,0.6373416592985559,0.4166666666666667,-0.22067499263188922,strat_iso,20+,RB
"[0.7,0.8)",3,0.75332383665717,1,0.24667616334283005,strat_iso,20+,RB
"[0.8,0.9)",4,0.8457129892676765,0.75,-0.09571298926767646,strat_iso,20+,RB
"[0.9,1]",9,0.9888888888888889,0.5555555555555556,-0.43333333333333335,strat_iso,20+,RB
"[0,0.1)",4489,0.05478885273758186,0.05457785698373803,-2.1099575384383312e-4,platt_vol,20+,RB
"[0.1,0.2)",2498,0.1472178945650454,0.14011208967173738,-0.007105804893308004,platt_vol,20+,RB
"[0.2,0.3)",1976,0.2451333526952642,0.23734817813765183,-0.007785174557612379,platt_vol,20+,RB
"[0.3,0.4)",688,0.3382749051363595,0.3226744186046512,-0.015600486531708313,platt_vol,20+,RB
"[0.4,0.5)",175,0.440348823329134,0.48,0.039651176670865984,platt_vol,20+,RB
"[0.5,0.6)",57,0.5392698652693997,0.543859649122807,0.004589783853407359,platt_vol,20+,RB
"[0.6,0.7)",15,0.6344486984217456,0.6666666666666666,0.03221796824492107,platt_vol,20+,RB
"[0.7,0.8)",1,0.7240096246342133,0,-0.7240096246342133,platt_vol,20+,RB
"[0,0.1)",4481,0.054294787699773674,0.05445213122070966,1.5734352093598608e-4,platt_vegas,20+,RB
"[0.1,0.2)",2649,0.14692115035556216,0.14080785201963006,-0.006113298335932105,platt_vegas,20+,RB
"[0.2,0.3)",1797,0.24545781486291313,0.2426265998887034,-0.0028312149742097392,platt_vegas,20+,RB
"[0.3,0.4)",687,0.3409227534195113,0.3333333333333333,-0.007589420086177967,platt_vegas,20+,RB
"[0.4,0.5)",200,0.4386910797189862,0.405,-0.03369107971898616,platt_vegas,20+,RB
"[0.5,0.6)",60,0.5421686091461807,0.5666666666666667,0.02449805752048595,platt_vegas,20+,RB
"[0.6,0.7)",21,0.6446079939310322,0.5238095238095238,-0.12079847012150835,platt_vegas,20+,RB
"[0.7,0.8)",3,0.7138750896710229,1,0.28612491032897713,platt_vegas,20+,RB
"[0.8,0.9)",1,0.8143306842377471,0,-0.8143306842377471,platt_vegas,20+,RB
