stratum,n,pred,emp,delta_pp,method,threshold,position
exante_low,1596,0.10020332080200502,0.09147869674185463,-0.8724624060150385,raw,15+,RB
exante_mid,3349,0.18238563750373246,0.18005374738727978,-0.2331890116452684,raw,15+,RB
exante_high,4954,0.4107142712959225,0.4020993136859104,-0.8614957610012075,raw,15+,RB
exante_low,1596,0.10613584270941016,0.09147869674185463,-1.4657145967555532,iso,15+,RB
exante_mid,3349,0.18016377758235969,0.18005374738727978,-0.011003019507990763,iso,15+,RB
exante_high,4954,0.39996093474943695,0.4020993136859104,0.21383789364734507,iso,15+,RB
exante_low,1596,0.10260989118337374,0.09147869674185463,-1.113119444151911,platt_vegas,15+,RB
exante_mid,3349,0.18144438289421305,0.18005374738727978,-0.13906355069332743,platt_vegas,15+,RB
exante_high,4954,0.3952446022394411,0.4020993136859104,0.6854711446469319,platt_vegas,15+,RB
exante_low,1596,0.026898182957393484,0.02819548872180451,0.1297305764411026,raw,20+,RB
exante_mid,3349,0.06153030755449388,0.07733651836369065,1.5806210809196772,raw,20+,RB
exante_high,4954,0.20002563584981833,0.22345579329834478,2.3430157448526447,raw,20+,RB
exante_low,1596,0.03212831882038842,0.02819548872180451,-0.39328300985839104,iso,20+,RB
exante_mid,3349,0.07831519462826592,0.07733651836369065,-0.09786762645752622,iso,20+,RB
exante_high,4954,0.2304879630189086,0.22345579329834478,-0.7032169720563808,iso,20+,RB
exante_low,1596,0.034770936504836994,0.02819548872180451,-0.6575447783032484,platt_vegas,20+,RB
exante_mid,3349,0.07644202496235698,0.07733651836369065,0.08944934013336708,platt_vegas,20+,RB
exante_high,4954,0.22871477511912522,0.22345579329834478,-0.525898182078044,platt_vegas,20+,RB
exante_low,2166,0.11285641735918744,0.09926131117266851,-1.3595106186518935,raw,15+,WR
exante_mid,11538,0.276828133125325,0.2749176633732016,-0.19104697521233893,raw,15+,WR
exante_high,1032,0.5450717054263565,0.5184108527131783,-2.6660852713178196,raw,15+,WR
exante_low,2166,0.0969876161238904,0.09926131117266851,0.22736950487781127,iso,15+,WR
exante_mid,11538,0.2715785531039631,0.2749176633732016,0.3339110269238499,iso,15+,WR
exante_high,1032,0.5187181034836497,0.5184108527131783,-0.030725077047133453,iso,15+,WR
exante_low,2166,0.11186363077657194,0.09926131117266851,-1.260231960390343,platt_vegas,15+,WR
exante_mid,11538,0.2658559372284101,0.2749176633732016,0.9061726144791504,platt_vegas,15+,WR
exante_high,1032,0.5257672696379133,0.5184108527131783,-0.7356416924734988,platt_vegas,15+,WR
exante_low,2166,0.03002816251154201,0.030009233610341645,-0.0018928901200365722,raw,20+,WR
exante_mid,11538,0.11377101750736697,0.13347200554688854,1.970098803952157,raw,20+,WR
exante_high,1032,0.3141889534883721,0.3246124031007752,1.0423449612403102,raw,20+,WR
exante_low,2166,0.030722067195581845,0.030009233610341645,-0.07128335852401996,iso,20+,WR
exante_mid,11538,0.13260084573621367,0.13347200554688854,0.08711598106748708,iso,20+,WR
exante_high,1032,0.32074538550392,0.3246124031007752,0.38670175968552045,iso,20+,WR
