position,threshold,method,ext_w_mean_abs_delta_pp,w_mean_abs_delta_pp,brier
RB,15+,iso,2.1252,1.3211,0.17665
RB,15+,platt,1.6888,0.7863,0.17611
RB,15+,platt_vegas,1.3184,0.6418,0.17579
RB,15+,platt_vol,1.7819,0.6918,0.17623
RB,15+,platt_vol_vegas,1.5166,0.7338,0.17560
RB,15+,raw,1.6829,0.7650,0.17602
RB,15+,strat_iso,2.0425,1.2320,0.17684
RB,15+,strat_platt,1.6978,0.6861,0.17618
RB,20+,iso,1.4934,0.7919,0.11118
RB,20+,platt,1.1444,0.4581,0.11071
RB,20+,platt_vegas,0.8288,0.4002,0.11051
RB,20+,platt_vol,1.2682,0.5376,0.11075
RB,20+,platt_vol_vegas,0.9178,0.3847,0.11040
RB,20+,raw,2.0548,1.7440,0.11103
RB,20+,strat_iso,1.4510,0.5664,0.11138
RB,20+,strat_platt,1.1833,0.4178,0.11075
WR,15+,iso,1.5691,0.7214,0.17698
WR,15+,platt,1.8480,1.1541,0.17684
WR,15+,platt_vegas,1.3772,1.0024,0.17606
WR,15+,platt_vol,2.0548,1.2352,0.17704
WR,15+,platt_vol_vegas,1.8276,1.2546,0.17593
WR,15+,raw,1.7356,0.8943,0.17682
WR,15+,strat_iso,1.5644,0.6265,0.17712
WR,15+,strat_platt,1.5729,0.7334,0.17688
WR,20+,iso,0.8272,0.2071,0.10587
WR,20+,platt,1.4530,0.9887,0.10581
WR,20+,platt_vegas,1.0936,0.8622,0.10536
WR,20+,platt_vol,1.4823,1.1145,0.10593
WR,20+,platt_vol_vegas,1.3785,1.0954,0.10538
WR,20+,raw,1.9581,1.6906,0.10613
WR,20+,strat_iso,0.9427,0.3499,0.10596
WR,20+,strat_platt,1.2564,0.7789,0.10589
