fold,pt_num_leaves,pt_lr,pt_min_node,pt_rounds,pt_inner_rmse,vl_num_leaves,vl_lr,vl_min_node,vl_rounds,vl_inner_rmse
1,7,0.02,50,152,8.2644,7,0.02,10,119,5.87
2,31,0.05,10,91,6.3673,15,0.02,20,170,5.9442
3,7,0.02,20,90,6.6433,31,0.05,10,47,5.651
4,7,0.05,10,95,6.1249,7,0.05,20,120,4.468
5,15,0.02,20,170,6.3309,15,0.05,10,85,4.526
6,7,0.05,10,88,6.5128,7,0.02,10,142,4.973
7,7,0.02,20,104,7.0943,31,0.02,10,165,6.4679
8,15,0.05,10,60,6.6852,15,0.05,10,80,6.2083
9,7,0.05,100,175,6.6604,7,0.05,100,141,5.4965
10,31,0.05,20,41,7.3959,31,0.05,10,79,6.2457
11,31,0.05,20,39,6.8176,7,0.05,100,108,6.0212
12,7,0.05,20,71,6.3979,7,0.05,50,195,5.4588
13,7,0.05,100,38,5.7317,7,0.05,100,99,5.0407
14,7,0.02,100,125,6.1731,31,0.05,20,31,5.4233
15,7,0.02,50,70,6.0552,15,0.02,10,68,5.711
16,7,0.02,100,55,6.8594,15,0.02,10,68,5.8148
17,7,0.05,10,46,7.3213,7,0.02,10,136,5.9672
18,7,0.02,20,70,7.5836,7,0.02,10,141,5.72
19,7,0.05,20,60,7.6854,7,0.05,10,90,5.449
20,7,0.02,50,143,7.4121,7,0.05,20,114,5.2724
21,7,0.02,50,140,7.1118,7,0.05,20,110,5.4775
22,7,0.05,20,60,7.2945,7,0.05,10,65,5.7509
23,7,0.02,100,173,7.1522,7,0.02,10,229,5.7622
24,7,0.02,100,135,7.3431,15,0.05,50,58,6.1659
25,15,0.02,100,79,7.216,7,0.05,20,98,6.0859
26,15,0.02,100,79,7.1534,7,0.05,10,110,6.0309
27,15,0.02,100,70,7.1909,63,0.02,20,134,5.9044
28,15,0.02,100,61,7.1505,63,0.05,20,42,5.7402
29,15,0.05,100,21,7.0086,63,0.05,20,38,5.5608
30,63,0.02,20,67,6.76,7,0.02,10,338,5.3859
31,31,0.02,50,56,6.9018,7,0.02,20,349,5.5094
