fold,pt_num_leaves,pt_lr,pt_min_node,pt_rounds,pt_inner_rmse,vl_num_leaves,vl_lr,vl_min_node,vl_rounds,vl_inner_rmse
1,7,0.02,50,152,8.2644,7,0.1,10,29,5.8397
2,31,0.05,10,91,6.3673,15,0.1,5,23,5.7068
3,7,0.02,20,90,6.6433,31,0.1,5,20,5.3082
4,31,0.05,5,58,6.0068,7,0.1,10,65,4.4473
5,15,0.02,20,285,6.2285,15,0.02,5,191,4.4368
6,7,0.05,10,88,6.5128,7,0.1,5,34,4.8531
7,7,0.1,10,17,7.0521,31,0.01,10,355,6.4521
8,15,0.05,10,60,6.6852,7,0.05,100,351,6.1056
9,15,0.1,5,21,6.6519,7,0.05,100,170,5.4683
10,31,0.05,20,41,7.3959,31,0.05,5,109,6.1911
11,31,0.05,20,39,6.8176,7,0.1,100,76,5.923
12,7,0.05,5,69,6.3537,7,0.05,50,235,5.442
13,7,0.1,100,18,5.7205,7,0.01,100,385,5.0241
14,7,0.01,100,219,6.1698,31,0.05,20,31,5.4233
15,7,0.1,50,9,6.0304,15,0.02,5,68,5.7082
16,7,0.1,50,9,6.8003,15,0.02,5,68,5.7857
17,7,0.1,5,32,7.2865,15,0.1,5,15,5.9346
18,7,0.1,100,23,7.536,7,0.05,5,63,5.6827
19,63,0.1,20,18,7.6387,7,0.1,10,87,5.3464
20,7,0.02,50,143,7.4121,7,0.1,20,52,5.2336
21,7,0.02,50,140,7.1118,7,0.01,10,540,5.453
22,7,0.1,20,20,7.2143,7,0.1,10,76,5.7412
23,15,0.01,50,310,7.1429,7,0.1,5,81,5.6946
24,7,0.02,100,135,7.3431,15,0.05,50,58,6.1659
25,15,0.02,100,79,7.216,15,0.1,50,34,6.0016
26,15,0.02,100,79,7.1534,15,0.1,50,34,5.9815
27,15,0.1,20,10,7.1805,31,0.02,20,161,5.9005
28,15,0.01,100,115,7.1454,31,0.1,20,17,5.7247
29,15,0.1,100,10,7.0057,63,0.05,20,38,5.5608
30,15,0.1,100,11,6.7351,7,0.02,20,349,5.3505
31,15,0.1,50,11,6.8836,7,0.02,20,422,5.5015
32,31,0.05,50,30,6.8212,7,0.1,20,145,5.6372
33,31,0.01,50,155,6.9017,31,0.1,10,50,5.5177
34,7,0.1,10,25,6.9103,15,0.1,10,64,5.4144
35,15,0.01,50,240,6.7368,15,0.1,5,90,5.4846
36,15,0.01,50,277,6.9064,15,0.1,5,73,5.5082
37,7,0.1,5,38,7.1151,63,0.1,20,41,5.9617000000000004
38,7,0.1,50,25,7.1748,7,0.1,10,95,6.1471
