fold,pt_num_leaves,pt_lr,pt_min_node,pt_rounds,pt_inner_rmse,vl_num_leaves,vl_lr,vl_min_node,vl_rounds,vl_inner_rmse
1,7,0.02,50,154,8.2586,7,0.02,10,119,5.87
2,7,0.05,10,62,6.3093,15,0.02,20,170,5.9442
3,7,0.02,20,94,6.6153,31,0.05,10,47,5.651
4,15,0.05,10,92,5.9075,7,0.05,20,120,4.468
5,7,0.02,20,284,6.2435,15,0.05,10,85,4.526
6,7,0.05,10,80,6.6051,7,0.02,10,142,4.973
7,15,0.05,10,25,7.0655,31,0.02,10,165,6.4679
8,15,0.05,10,61,6.8066,15,0.05,10,80,6.2083
9,7,0.05,100,141,6.7821,7,0.05,100,141,5.4965
10,7,0.05,10,60,7.2924,31,0.05,10,79,6.2457
11,7,0.05,10,58,6.8234,7,0.05,100,108,6.0212
12,7,0.05,10,63,6.4148,7,0.05,50,195,5.4588
13,7,0.05,100,42,5.7353,7,0.05,100,99,5.0407
14,7,0.02,100,117,6.1665,31,0.05,20,31,5.4233
15,7,0.02,100,56,6.0639,15,0.02,10,68,5.711
16,15,0.05,50,18,6.8576,15,0.02,10,68,5.8148
17,7,0.05,20,20,7.3315,7,0.02,10,136,5.9672
18,7,0.02,10,71,7.5742,7,0.02,10,141,5.72
19,7,0.05,20,95,7.6841,7,0.05,10,90,5.449
20,15,0.02,20,150,7.4022,7,0.05,20,114,5.2724
21,15,0.02,20,150,7.1066,7,0.05,20,110,5.4775
22,7,0.05,10,61,7.2523,7,0.05,10,65,5.7509
23,15,0.02,100,210,7.1803,7,0.02,10,229,5.7622
24,15,0.02,100,120,7.3535,15,0.05,50,58,6.1659
25,15,0.02,100,62,7.2341,7,0.05,20,98,6.0859
26,15,0.02,100,60,7.1697,7,0.05,10,110,6.0309
27,15,0.02,100,72,7.1976,63,0.02,20,134,5.9044
28,15,0.02,100,56,7.1367,63,0.05,20,42,5.7402
29,15,0.05,50,14,7.0239,63,0.05,20,38,5.5608
30,31,0.05,50,22,6.7478,7,0.02,10,338,5.3859
31,31,0.05,50,21,6.894,7,0.02,20,349,5.5094
32,31,0.05,50,33,6.8489,63,0.02,20,144,5.6542
33,7,0.02,50,95,6.9284,31,0.05,20,67,5.5427
34,7,0.05,10,65,6.9173,15,0.05,20,126,5.4246
35,15,0.05,100,28,6.7716,31,0.05,20,90,5.4948
36,7,0.02,100,136,6.9578,31,0.05,20,95,5.536
37,15,0.05,100,55,7.1514,63,0.05,20,61,5.964
38,15,0.05,10,61,7.2285,31,0.02,20,183,6.1586
39,7,0.02,100,150,7.1121,7,0.05,50,107,6.0332
40,15,0.05,10,100,7.1737,15,0.05,10,81,5.9571
41,15,0.05,10,96,7.1069,15,0.05,10,81,5.9813
42,7,0.02,20,225,7.0059,7,0.05,10,131,5.799
43,15,0.05,100,72,7.1013,7,0.02,50,251,5.8265
44,31,0.05,50,80,7.1583,7,0.05,20,95,5.8711
45,15,0.05,20,63,6.9745,15,0.02,10,255,5.7522
46,15,0.05,20,63,6.9932,7,0.02,10,258,5.7334
47,31,0.02,20,139,6.9105,31,0.02,10,160,5.6253
48,15,0.02,50,149,7.0131,7,0.05,20,83,5.535
49,31,0.02,50,156,6.9635,7,0.05,20,89,5.491
50,63,0.05,50,59,6.8819,7,0.02,50,234,5.4458
51,7,0.02,50,250,6.9606,7,0.02,50,234,5.4623
52,15,0.02,20,225,6.9512,15,0.05,10,82,5.389
53,7,0.05,20,156,7.0426,7,0.02,20,271,5.5836
54,7,0.05,50,147,7.0021,7,0.05,50,130,5.6062
55,7,0.05,10,128,6.8886,7,0.02,20,255,5.4517
56,7,0.05,50,153,6.9214,7,0.02,20,255,5.5231
57,7,0.05,50,75,6.8934,7,0.02,20,265,5.4287
58,7,0.05,50,78,6.8316,7,0.02,50,225,5.4499
59,15,0.05,100,75,6.7282,7,0.05,50,100,5.3517
60,7,0.02,100,200,6.6356,15,0.02,10,185,5.2678
61,15,0.05,10,71,6.722,7,0.05,50,124,5.2956
