fold,pt_num_leaves,pt_lr,pt_min_node,pt_rounds,pt_inner_rmse,vl_num_leaves,vl_lr,vl_min_node,vl_rounds,vl_inner_rmse
1,7,0.02,10,97,7.094,7,0.02,10,155,4.8624
2,7,0.05,20,70,5.7503,7,0.02,10,220,5.2323
3,7,0.05,50,57,5.4897,7,0.05,10,120,4.635
4,15,0.05,10,80,5.1339,63,0.05,10,67,3.6091
5,15,0.02,10,166,5.2364,7,0.05,10,90,3.6664
6,7,0.02,10,140,5.6447,7,0.05,10,65,3.9584
7,7,0.05,10,59,5.7753,31,0.05,10,81,5.3406
8,15,0.05,10,54,5.8617,15,0.05,20,74,5.3287
9,15,0.02,50,121,6.0382,7,0.05,100,90,4.7868
10,7,0.05,10,75,6.1084,31,0.05,10,60,5.0301
11,7,0.05,10,59,5.74,31,0.05,10,60,4.8601
12,7,0.02,20,137,5.4505,31,0.02,20,150,4.482
13,15,0.02,100,108,4.9965,15,0.05,20,52,4.2105
14,7,0.05,100,65,5.3204,31,0.02,50,161,4.547
15,7,0.05,50,42,5.1632,15,0.02,100,144,4.7129
16,7,0.05,50,42,5.7703,7,0.02,20,151,4.8103
17,7,0.05,20,111,6.0296,7,0.05,20,109,4.7532
18,7,0.05,20,110,6.2636,7,0.02,10,222,4.6069
19,7,0.05,20,95,6.4235,7,0.02,20,364,4.4221
20,15,0.02,20,166,6.272,7,0.05,10,103,4.3439
21,15,0.02,100,160,6.0265,7,0.05,10,133,4.4623
22,7,0.05,20,123,6.1798,7,0.02,10,243,4.7501
23,15,0.02,100,212,6.0046,7,0.02,10,285,4.6727
24,7,0.05,100,59,6.271,15,0.05,20,95,5.0453
25,15,0.02,100,126,6.1041,7,0.05,10,141,4.9478
26,15,0.02,100,149,6.0631,7,0.05,10,95,4.9383
27,15,0.05,100,51,6.1212,15,0.05,20,119,4.868
28,15,0.02,100,109,6.075,15,0.02,20,158,4.7693
29,7,0.05,10,52,6.0485,7,0.02,10,180,4.738
30,63,0.02,50,110,5.8097,15,0.05,20,80,4.5616
31,63,0.02,50,107,5.9061,63,0.05,20,63,4.6213
32,15,0.05,50,49,5.8624,31,0.05,20,100,4.6905
33,15,0.05,100,60,5.9144,63,0.02,10,163,4.6367
34,7,0.02,10,226,5.8941,15,0.05,20,116,4.5496
35,15,0.05,100,64,5.7219,63,0.02,50,326,4.5975
36,15,0.05,100,64,5.8726,15,0.05,20,170,4.6207
37,7,0.05,10,130,5.9428,31,0.05,20,97,4.8356
38,15,0.05,100,55,5.9846,63,0.05,20,72,4.9566
39,7,0.02,10,262,5.916,31,0.05,20,74,4.9098
40,7,0.05,10,105,6.0785,7,0.05,10,130,4.8963
41,7,0.05,20,103,6.0131,7,0.05,10,110,4.9097
42,7,0.05,10,116,5.8802,15,0.02,10,196,4.7739
43,15,0.02,10,176,5.911,15,0.05,20,75,4.7445
44,15,0.05,10,119,5.9075,15,0.05,20,76,4.7084
45,15,0.02,100,280,5.8175,7,0.02,20,246,4.6688
46,7,0.02,100,279,5.8691,7,0.02,20,246,4.6646
47,63,0.02,10,212,5.8276,7,0.05,20,162,4.5655
48,31,0.05,20,73,5.9082,7,0.05,50,100,4.5719
49,15,0.02,50,193,5.9232,15,0.05,10,85,4.5484
50,15,0.05,50,73,5.8164,7,0.02,20,260,4.509
51,15,0.05,50,85,5.8698,7,0.02,20,260,4.5264
52,15,0.05,10,104,5.8987,7,0.02,10,320,4.4678
53,15,0.02,50,216,6.0179,7,0.02,20,250,4.6389
54,7,0.05,50,103,6.0205,7,0.02,20,290,4.6725
55,7,0.05,50,177,5.9276,15,0.02,50,200,4.5699
56,7,0.02,50,213,5.9887,15,0.02,50,186,4.6446
57,7,0.05,100,97,5.9595,15,0.02,20,221,4.6156
58,15,0.02,50,220,5.9001,7,0.02,50,236,4.6191
59,7,0.05,100,123,5.8163,7,0.05,20,132,4.5197
60,7,0.05,50,95,5.7313,7,0.05,20,128,4.4604
61,7,0.05,50,95,5.8061,7,0.05,20,128,4.4787
62,7,0.02,50,237,5.8988,7,0.02,50,294,4.52
63,7,0.05,50,104,5.9068,7,0.05,50,118,4.6243
64,7,0.02,100,305,5.8263,7,0.05,50,109,4.6046
65,15,0.02,20,175,5.9082,7,0.05,20,157,4.6711
66,7,0.05,50,121,5.8343,7,0.05,50,161,4.595
67,7,0.05,50,109,5.7655,15,0.02,20,250,4.5965
68,7,0.02,100,320,5.9604,31,0.05,10,98,4.6183
69,15,0.02,50,205,6.0124,7,0.05,50,117,4.6482
70,7,0.05,100,160,5.9445,7,0.05,20,192,4.4992
71,7,0.05,100,160,5.9847,7,0.05,20,191,4.5167
72,7,0.05,100,184,6.0013,7,0.02,50,362,4.5982
73,7,0.05,50,150,6.083,7,0.05,20,190,4.5561
74,7,0.05,100,145,6.2155,7,0.05,20,147,4.5513
75,7,0.02,50,316,6.2684,7,0.02,10,429,4.5337
76,7,0.02,50,316,6.2867,7,0.02,10,429,4.5077
77,7,0.05,100,119,6.2115,7,0.05,10,126,4.4901
78,7,0.02,50,310,6.2122,7,0.05,20,168,4.4456
79,7,0.02,50,343,6.2439,7,0.02,10,382,4.4385
80,7,0.05,50,124,6.2483,7,0.02,20,375,4.407
81,7,0.05,50,124,6.1896,7,0.02,20,375,4.4304
82,7,0.02,50,347,6.2036,7,0.02,10,279,4.3794
83,15,0.05,10,105,6.2478,7,0.05,50,101,4.4369
84,7,0.02,50,355,6.3007,7,0.02,10,240,4.3689
85,7,0.02,10,401,6.2278,7,0.05,50,98,4.3613
86,7,0.05,50,116,6.2881,7,0.05,50,98,4.3477
87,7,0.02,10,289,6.2741,7,0.05,50,89,4.3392
88,15,0.05,20,82,6.2883,7,0.02,10,250,4.3925
89,15,0.05,50,101,6.3229,7,0.02,10,234,4.391
90,15,0.02,10,215,6.3272,7,0.05,50,100,4.3781
91,15,0.02,10,215,6.3155,7,0.05,50,100,4.4226
92,15,0.02,10,210,6.2199,7,0.05,10,101,4.3916
93,15,0.05,10,90,6.1141,7,0.05,50,88,4.4049
94,7,0.05,50,115,6.1055,7,0.05,20,92,4.3888
95,15,0.05,50,90,6.0393,7,0.05,10,97,4.3597
