fold,pt_num_leaves,pt_lr,pt_min_node,pt_rounds,pt_inner_rmse,vl_num_leaves,vl_lr,vl_min_node,vl_rounds,vl_inner_rmse
1,7,0.02,50,155,8.2314,7,0.02,10,119,5.87
2,7,0.05,20,116,6.3506,15,0.02,20,170,5.9442
3,7,0.05,10,42,6.3175,31,0.05,10,47,5.651
4,7,0.05,10,144,6.067,7,0.05,20,120,4.468
5,63,0.05,10,76,6.2299,15,0.05,10,85,4.526
6,7,0.05,50,109,6.6495,7,0.02,10,142,4.973
7,31,0.05,20,28,7.1206,31,0.02,10,165,6.4679
8,15,0.02,50,130,6.8623,15,0.05,10,80,6.2083
9,7,0.05,100,93,6.9835,7,0.05,100,141,5.4965
10,15,0.05,10,72,7.1872,31,0.05,10,79,6.2457
11,15,0.05,10,52,6.8096,7,0.05,100,108,6.0212
12,15,0.05,10,41,6.4586,7,0.05,50,195,5.4588
13,7,0.05,100,46,5.7477,7,0.05,100,99,5.0407
14,7,0.02,100,115,6.1914,31,0.05,20,31,5.4233
15,31,0.05,10,13,6.0743,15,0.02,10,68,5.711
16,31,0.05,10,14,6.8429,15,0.02,10,68,5.8148
17,7,0.02,50,65,7.3253,7,0.02,10,136,5.9672
18,31,0.02,10,51,7.5348,7,0.02,10,141,5.72
19,7,0.05,10,94,7.6595,7,0.05,10,90,5.449
20,31,0.05,20,53,7.3534,7,0.05,20,114,5.2724
21,15,0.02,10,145,7.0758,7,0.05,20,110,5.4775
22,7,0.05,10,70,7.2077,7,0.05,10,65,5.7509
23,15,0.02,10,175,7.1343,7,0.02,10,229,5.7622
24,15,0.05,100,61,7.2837,15,0.05,50,58,6.1659
25,15,0.02,100,83,7.1274,7,0.05,20,98,6.0859
26,15,0.02,100,75,7.0668,7,0.05,10,110,6.0309
27,63,0.02,20,60,7.1368,63,0.02,20,134,5.9044
28,15,0.02,50,54,7.1122,63,0.05,20,42,5.7402
29,31,0.05,20,14,6.9433,63,0.05,20,38,5.5608
30,63,0.02,20,68,6.639,7,0.02,10,338,5.3859
31,63,0.02,20,60,6.8216,7,0.02,20,349,5.5094
32,31,0.02,50,55,6.7654,63,0.02,20,144,5.6542
33,15,0.05,50,42,6.8399,31,0.05,20,67,5.5427
34,15,0.02,100,89,6.8891,15,0.05,20,126,5.4246
35,15,0.05,50,72,6.6863,31,0.05,20,90,5.4948
36,7,0.05,50,105,6.9108,31,0.05,20,95,5.536
37,15,0.02,10,199,7.0789,63,0.05,20,61,5.964
38,7,0.05,10,131,7.1708,31,0.02,20,183,6.1586
39,7,0.05,10,120,7.0469,7,0.05,50,107,6.0332
40,15,0.02,10,162,7.2096,15,0.05,10,81,5.9571
41,15,0.02,10,162,7.1056,15,0.05,10,81,5.9813
42,15,0.02,10,194,6.9344,7,0.05,10,131,5.799
43,15,0.05,10,50,7.0584,7,0.02,50,251,5.8265
44,7,0.02,10,263,7.0412,7,0.05,20,95,5.8711
45,15,0.02,10,158,6.8876,15,0.02,10,255,5.7522
46,7,0.05,10,105,6.8928,7,0.02,10,258,5.7334
47,63,0.02,20,159,6.7915,31,0.02,10,160,5.6253
48,31,0.02,20,125,6.9143,7,0.05,20,83,5.535
49,15,0.02,20,221,6.8974,7,0.05,20,89,5.491
50,15,0.02,20,190,6.8146,7,0.02,50,234,5.4458
51,15,0.02,20,190,6.8907,7,0.02,50,234,5.4623
52,15,0.05,50,75,6.9355,15,0.05,10,82,5.389
53,15,0.02,50,182,7.0598,7,0.02,20,271,5.5836
54,15,0.02,50,172,7.0152,7,0.05,50,130,5.6062
55,31,0.05,100,78,6.9209,7,0.02,20,255,5.4517
56,31,0.05,100,86,6.9369,7,0.02,20,255,5.5231
57,15,0.05,50,51,6.8447,7,0.02,20,265,5.4287
58,15,0.05,10,56,6.8369,7,0.02,50,225,5.4499
59,7,0.02,100,180,6.7008,7,0.05,50,100,5.3517
60,15,0.05,100,58,6.5741,15,0.02,10,185,5.2678
61,15,0.05,100,58,6.6539,7,0.05,50,124,5.2956
62,7,0.05,20,115,6.7341,7,0.05,50,120,5.3372
63,7,0.05,10,100,6.7498,7,0.05,50,105,5.4206
64,15,0.05,10,80,6.6454,7,0.02,50,268,5.4447
65,31,0.02,10,178,6.7809,7,0.02,20,295,5.508
66,7,0.05,100,132,6.7084,7,0.02,20,295,5.4166
67,7,0.02,100,325,6.6316,15,0.02,20,220,5.4066
68,7,0.05,50,144,6.8004,63,0.05,20,45,5.4259
69,7,0.05,20,207,6.8329,7,0.05,50,126,5.4777
70,7,0.05,50,208,6.7606,7,0.05,50,235,5.3406
71,7,0.05,50,207,6.83,7,0.02,20,397,5.3678
72,7,0.05,100,164,6.9118,7,0.05,20,195,5.4399
73,7,0.05,20,220,6.9732,7,0.02,20,500,5.4001
74,7,0.02,10,395,7.1866,7,0.05,20,160,5.3629
75,15,0.02,10,339,7.2186,7,0.02,10,490,5.3663
76,15,0.02,10,339,7.2544,7,0.02,10,490,5.3388
77,7,0.05,100,140,7.1642,7,0.05,50,195,5.3125
78,7,0.02,50,399,7.1501,7,0.05,20,154,5.2996
79,15,0.05,50,122,7.1835,7,0.02,50,400,5.291
80,7,0.02,50,368,7.154,7,0.02,20,364,5.2362
81,7,0.02,50,360,7.103,7,0.02,10,346,5.2588
82,15,0.05,50,95,7.1216,7,0.05,10,137,5.1921
83,15,0.02,50,235,7.1312,7,0.05,20,75,5.2731
84,7,0.05,50,134,7.2188,7,0.02,50,281,5.1647
85,15,0.05,10,93,7.1633,7,0.02,50,194,5.1569
86,7,0.02,20,335,7.2151,7,0.02,50,194,5.1375
87,15,0.05,50,92,7.1929,7,0.05,50,67,5.1291
88,63,0.02,10,156,7.2358,7,0.02,50,169,5.2187
89,31,0.02,50,178,7.2734,7,0.05,10,88,5.2172
90,15,0.05,20,107,7.2526,7,0.05,20,90,5.1981
91,15,0.02,50,182,7.2512,7,0.05,20,90,5.2548
92,15,0.02,50,219,7.1589,7,0.02,50,220,5.2194
93,31,0.02,10,150,7.0364,7,0.02,50,188,5.242
94,31,0.02,50,168,7.0697,7,0.02,50,189,5.2386
