fold,pt_num_leaves,pt_lr,pt_min_node,pt_rounds,pt_inner_rmse,vl_num_leaves,vl_lr,vl_min_node,vl_rounds,vl_inner_rmse
1,7,0.02,20,145,8.2945,7,0.02,10,119,5.87
2,7,0.05,10,62,6.3968,15,0.02,20,170,5.9442
3,7,0.02,20,89,6.6916,31,0.05,10,47,5.651
4,31,0.02,10,158,6.0998,7,0.05,20,120,4.468
5,7,0.02,20,258,6.2685,15,0.05,10,85,4.526
6,7,0.02,20,281,6.6349,7,0.02,10,142,4.973
7,15,0.05,10,41,7.0851,31,0.02,10,165,6.4679
8,15,0.05,10,122,6.6781,15,0.05,10,80,6.2083
9,7,0.05,50,109,6.7426,7,0.05,100,141,5.4965
10,7,0.02,20,137,7.4297,31,0.05,10,79,6.2457
11,7,0.02,20,130,6.8459,7,0.05,100,108,6.0212
12,7,0.05,20,59,6.419,7,0.05,50,195,5.4588
13,7,0.02,100,98,5.7543,7,0.05,100,99,5.0407
14,7,0.02,100,127,6.1536,31,0.05,20,31,5.4233
15,7,0.02,50,70,6.0476,15,0.02,10,68,5.711
16,7,0.05,20,24,6.8422,15,0.02,10,68,5.8148
17,7,0.02,100,70,7.3305,7,0.02,10,136,5.9672
18,7,0.02,100,83,7.6006,7,0.02,10,141,5.72
19,7,0.05,10,94,7.664,7,0.05,10,90,5.449
20,7,0.02,20,140,7.3771,7,0.05,20,114,5.2724
21,7,0.02,20,140,7.0999,7,0.05,20,110,5.4775
22,7,0.02,20,192,7.2621,7,0.05,10,65,5.7509
23,7,0.02,50,115,7.1848,7,0.02,10,229,5.7622
24,15,0.02,100,115,7.3649,15,0.05,50,58,6.1659
25,15,0.02,100,77,7.2252,7,0.05,20,98,6.0859
26,15,0.02,100,74,7.1662,7,0.05,10,110,6.0309
27,15,0.05,50,22,7.1899,63,0.02,20,134,5.9044
28,31,0.02,50,64,7.1419,63,0.05,20,42,5.7402
29,15,0.05,100,20,7.0052,63,0.05,20,38,5.5608
30,63,0.02,20,52,6.7505,7,0.02,10,338,5.3859
31,31,0.02,50,55,6.9121,7,0.02,20,349,5.5094
32,31,0.05,50,31,6.8131,63,0.02,20,144,5.6542
33,15,0.02,20,66,6.9249,31,0.05,20,67,5.5427
34,7,0.02,50,159,6.9301,15,0.05,20,126,5.4246
35,7,0.05,50,72,6.7665,31,0.05,20,90,5.4948
36,7,0.05,50,72,6.9399,31,0.05,20,95,5.536
37,7,0.02,20,187,7.1629,63,0.05,20,61,5.964
38,15,0.02,10,160,7.2707,31,0.02,20,183,6.1586
39,7,0.02,10,172,7.113,7,0.05,50,107,6.0332
40,7,0.02,10,157,7.2737,15,0.05,10,81,5.9571
41,15,0.05,50,122,7.1786,15,0.05,10,81,5.9813
42,7,0.02,20,224,7.0021,7,0.05,10,131,5.799
43,7,0.02,100,195,7.0996,7,0.02,50,251,5.8265
44,7,0.02,50,227,7.1453,7,0.05,20,95,5.8711
45,15,0.05,100,106,6.9829,15,0.02,10,255,5.7522
46,15,0.02,50,157,6.988,7,0.02,10,258,5.7334
47,31,0.02,20,140,6.9376,31,0.02,10,160,5.6253
48,31,0.05,50,76,6.9983,7,0.05,20,83,5.535
49,15,0.02,50,182,6.9463,7,0.05,20,89,5.491
