fold,pt_num_leaves,pt_lr,pt_min_node,pt_rounds,pt_inner_rmse,vl_num_leaves,vl_lr,vl_min_node,vl_rounds,vl_inner_rmse
1,15,0.05,20,22,6.6999,7,0.05,50,90,2.682
2,7,0.02,100,145,6.96,7,0.05,50,40,2.6889
3,7,0.05,20,61,6.6964,31,0.02,10,78,2.452
4,31,0.05,10,38,8.145,31,0.05,10,25,2.8016
5,31,0.02,20,174,7.0485,7,0.05,20,127,2.4762
6,31,0.02,20,146,7.3094,7,0.05,20,150,2.4567
7,15,0.05,10,43,6.9199,7,0.05,10,131,2.6079
8,7,0.05,10,51,6.8977,7,0.02,10,124,2.9328
9,7,0.05,20,122,7.5311,7,0.02,10,120,2.8441
10,7,0.05,50,89,8.1727,7,0.02,20,182,2.8696
11,7,0.05,100,52,7.7978,7,0.02,20,159,2.7962
12,15,0.05,100,41,7.1932,15,0.02,100,134,2.8572
13,7,0.05,20,34,6.799,15,0.02,50,124,2.8398
14,15,0.05,100,53,6.7817,7,0.05,50,49,2.9454
15,7,0.05,100,76,7.6027,15,0.05,100,133,3.0269
16,7,0.02,10,245,7.8592,15,0.05,10,72,3.057
17,15,0.02,20,91,7.707,7,0.05,50,80,3.0641
18,15,0.02,20,112,7.5981,7,0.02,50,165,3.0131
19,15,0.05,10,28,7.3049,7,0.05,50,64,2.9302
20,63,0.05,20,13,6.79,7,0.05,100,53,2.8416
21,63,0.05,20,13,7.0267,7,0.05,100,58,2.8043
22,15,0.02,50,87,7.1748,7,0.05,50,71,2.8829
23,15,0.05,50,51,7.3472,7,0.05,100,70,2.9851
24,31,0.05,20,35,7.1205,7,0.02,100,200,2.8914
25,31,0.05,50,35,7.5471,7,0.02,100,218,2.9054
26,31,0.05,50,36,7.5146,7,0.05,20,113,2.8663
27,7,0.05,20,70,7.3592,7,0.05,100,107,2.8204
28,7,0.05,50,72,7.2863,15,0.05,10,98,2.7425
29,7,0.02,50,177,7.072,7,0.05,10,139,2.6234
30,15,0.05,10,69,7.0854,7,0.02,20,395,2.6265
31,15,0.05,10,69,7.1228,15,0.05,10,50,2.6597
32,15,0.02,10,173,6.7428,15,0.02,10,133,2.5862
33,31,0.05,50,30,6.8586,7,0.05,20,38,2.5926
34,15,0.02,100,116,6.9504,15,0.02,50,111,2.6073
35,7,0.05,100,38,6.9131,31,0.05,50,42,2.5642
36,7,0.05,100,37,6.9796,15,0.05,50,42,2.5958
37,15,0.02,100,74,7.156,31,0.05,50,38,2.6639
38,63,0.05,50,20,7.2276,31,0.02,100,109,2.7429
39,31,0.02,10,61,7.1628,15,0.05,50,47,2.7206
40,15,0.02,100,79,7.2947,63,0.05,50,43,2.8124
41,15,0.02,100,79,7.1674,63,0.05,50,44,2.789
42,63,0.02,50,100,7.1368,15,0.02,10,93,2.796
43,7,0.05,100,41,6.941,15,0.05,50,37,2.769
44,15,0.05,100,30,6.8848,31,0.02,100,115,2.7572
45,31,0.02,100,95,6.8167,15,0.02,50,157,2.7548
46,31,0.02,100,78,6.9803,15,0.05,10,55,2.7895
47,15,0.05,100,44,6.804,7,0.05,100,46,2.7374
48,31,0.02,100,99,6.7409,7,0.05,100,40,2.6854
49,31,0.02,100,105,6.7384,31,0.05,50,35,2.7073
50,7,0.05,100,41,6.8065,7,0.05,100,45,2.6743
51,7,0.05,100,41,6.7447,63,0.05,50,35,2.6686
52,15,0.02,100,75,6.7723,15,0.05,50,33,2.6638
53,7,0.05,20,43,6.6165,15,0.02,50,104,2.668
54,15,0.02,100,96,6.7434,7,0.02,10,151,2.7001
55,7,0.02,10,138,6.7921,15,0.05,50,41,2.6642
56,7,0.02,100,134,6.7485,15,0.05,50,51,2.6464
57,7,0.02,10,189,6.7365,7,0.05,50,58,2.6307
58,7,0.02,100,199,6.5942,7,0.05,20,55,2.548
59,7,0.02,100,221,6.7656,7,0.05,50,75,2.5462
60,7,0.02,10,179,6.798,7,0.05,50,73,2.5623
61,7,0.02,10,179,6.8001,7,0.05,50,75,2.5814
62,7,0.02,20,190,6.8439,7,0.05,50,70,2.5926
63,7,0.02,100,194,6.6593,7,0.02,10,194,2.5539
64,15,0.05,100,105,6.6897,7,0.02,20,215,2.5337
65,15,0.05,50,66,6.8662,31,0.05,50,68,2.5692
66,7,0.05,20,129,6.8804,31,0.05,50,68,2.597
67,15,0.05,100,64,6.9871,7,0.02,100,225,2.5744
68,7,0.05,10,105,7.0231,7,0.02,100,312,2.6083
69,7,0.05,100,104,6.907,15,0.05,100,91,2.6407
70,7,0.05,10,102,6.989,7,0.02,100,289,2.6608
71,7,0.05,10,106,6.9122,7,0.02,100,289,2.6454
72,7,0.02,50,255,6.9376,15,0.05,50,71,2.6381
73,15,0.05,10,79,6.9273,15,0.02,50,148,2.6429
74,7,0.05,50,149,6.8421,7,0.02,20,180,2.6529
75,7,0.02,10,357,6.8926,15,0.05,10,96,2.6628
76,7,0.02,10,356,6.915,15,0.05,10,96,2.6614
77,7,0.02,100,289,6.9189,15,0.02,50,159,2.6666
78,7,0.05,50,142,6.9625,15,0.02,100,164,2.6415
79,7,0.05,10,135,7.0065,7,0.02,50,277,2.6355
80,7,0.02,20,235,6.9946,7,0.02,50,321,2.6707
