fold,pt_num_leaves,pt_lr,pt_min_node,pt_rounds,pt_inner_rmse,vl_num_leaves,vl_lr,vl_min_node,vl_rounds,vl_inner_rmse
1,15,0.05,20,22,6.6999,7,0.1,5,20,2.6589
2,7,0.02,100,145,6.96,15,0.1,10,22,2.6662
3,7,0.1,10,23,6.5946,31,0.1,10,15,2.3697
4,31,0.1,10,25,7.8299,31,0.1,20,13,2.797
5,31,0.02,20,174,7.0485,31,0.1,20,20,2.4501
6,31,0.1,20,20,7.2274,7,0.01,20,576,2.4286
7,15,0.1,50,31,6.9086,15,0.1,10,75,2.591
8,7,0.05,5,62,6.8513,7,0.01,5,310,2.9109
9,7,0.05,20,122,7.5311,7,0.1,20,41,2.8228
10,7,0.1,50,27,8.1702,7,0.01,20,539,2.8608
11,7,0.05,100,52,7.7978,7,0.02,20,159,2.7962
12,7,0.1,100,17,7.1855,7,0.1,20,21,2.8385
13,15,0.1,20,17,6.7187,15,0.02,50,124,2.8398
14,7,0.1,100,45,6.7312,7,0.05,50,49,2.9454
15,7,0.05,100,76,7.6027,15,0.05,100,133,3.0269
16,7,0.01,10,444,7.8491,15,0.05,10,72,3.057
17,7,0.1,10,36,7.6618,15,0.1,100,62,3.0604
18,31,0.1,10,16,7.5627,15,0.01,10,335,3.0108
19,15,0.1,20,15,7.2961,7,0.01,50,336,2.919
20,63,0.1,20,6,6.7815,7,0.05,100,53,2.8416
21,63,0.05,20,13,7.0267,7,0.05,100,58,2.8043
22,31,0.01,10,235,7.1592,7,0.01,50,288,2.8725
23,15,0.05,50,51,7.3472,15,0.1,100,38,2.9633
24,31,0.05,20,86,7.0619,7,0.02,100,250,2.8849
25,31,0.05,50,35,7.5471,7,0.01,100,475,2.9028
26,15,0.1,100,36,7.5092,7,0.05,20,113,2.8663
27,7,0.05,20,70,7.3592,7,0.1,100,97,2.8147
28,7,0.05,50,72,7.2863,15,0.05,10,98,2.7425
29,7,0.1,50,40,7.0507,7,0.05,5,140,2.6232
30,7,0.1,10,60,7.077,7,0.02,20,395,2.6265
31,7,0.1,10,61,7.0891,7,0.1,5,49,2.6567
32,15,0.02,5,170,6.7365,7,0.1,5,44,2.5789
33,31,0.05,50,30,6.8586,7,0.1,5,80,2.5861
34,15,0.02,100,116,6.9504,15,0.01,50,233,2.5961
35,7,0.05,100,38,6.9131,31,0.05,50,42,2.5642
36,7,0.05,100,37,6.9796,15,0.05,50,42,2.5958
37,15,0.02,100,74,7.156,15,0.1,20,21,2.6614
38,63,0.05,50,20,7.2276,31,0.02,100,109,2.7429
