fold,pt_num_leaves,pt_lr,pt_min_node,pt_rounds,pt_inner_rmse,vl_num_leaves,vl_lr,vl_min_node,vl_rounds,vl_inner_rmse
1,7,0.05,10,30,6.6595,7,0.05,50,90,2.682
2,7,0.02,100,145,6.9765,7,0.05,50,40,2.6889
3,7,0.05,10,65,6.6792,31,0.02,10,78,2.452
4,15,0.05,10,36,8.2165,31,0.05,10,25,2.8016
5,15,0.02,20,172,7.1791,7,0.05,20,127,2.4762
6,7,0.02,50,155,7.3097,7,0.05,20,150,2.4567
7,7,0.02,100,200,7.0374,7,0.05,10,131,2.6079
8,15,0.05,50,61,6.8905,7,0.02,10,124,2.9328
9,7,0.05,50,146,7.5344,7,0.02,10,120,2.8441
10,7,0.05,100,103,8.1936,7,0.02,20,182,2.8696
11,7,0.02,100,170,7.7844,7,0.02,20,159,2.7962
12,15,0.05,100,41,7.1897,15,0.02,100,134,2.8572
13,7,0.02,50,115,6.8173,15,0.02,50,124,2.8398
14,15,0.05,100,57,6.7947,7,0.05,50,49,2.9454
15,7,0.02,20,159,7.6136,15,0.05,100,133,3.0269
16,7,0.02,20,187,7.854,15,0.05,10,72,3.057
17,15,0.05,50,50,7.7099,7,0.05,50,80,3.0641
18,7,0.02,20,165,7.613,7,0.02,50,165,3.0131
19,7,0.02,50,138,7.316,7,0.05,50,64,2.9302
20,7,0.05,10,28,6.7869,7,0.05,100,53,2.8416
21,31,0.05,10,26,6.999,7,0.05,100,58,2.8043
22,15,0.05,10,61,7.1278,7,0.05,50,71,2.8829
23,7,0.02,100,215,7.3587,7,0.05,100,70,2.9851
24,31,0.02,50,184,7.0855,7,0.02,100,200,2.8914
25,7,0.02,50,183,7.5295,7,0.02,100,218,2.9054
26,7,0.02,50,183,7.496,7,0.05,20,113,2.8663
27,7,0.02,20,118,7.3573,7,0.05,100,107,2.8204
28,7,0.02,10,191,7.2918,15,0.05,10,98,2.7425
29,7,0.02,20,180,7.0394,7,0.05,10,139,2.6234
30,7,0.02,10,171,7.1052,7,0.02,20,395,2.6265
31,7,0.02,10,171,7.1387,15,0.05,10,50,2.6597
32,15,0.02,20,173,6.7484,15,0.02,10,133,2.5862
33,7,0.05,50,60,6.8402,7,0.05,20,38,2.5926
34,63,0.05,50,42,6.9407,15,0.02,50,111,2.6073
35,31,0.05,10,31,6.8953,31,0.05,50,42,2.5642
36,31,0.05,10,31,6.9523,15,0.05,50,42,2.5958
37,15,0.02,100,75,7.1447,31,0.05,50,38,2.6639
38,31,0.05,10,22,7.2261,31,0.02,100,109,2.7429
39,31,0.02,10,62,7.1935,15,0.05,50,47,2.7206
40,15,0.02,100,77,7.3157,63,0.05,50,43,2.8124
41,15,0.02,100,77,7.1842,63,0.05,50,44,2.789
42,31,0.02,100,96,7.1546,15,0.02,10,93,2.796
43,15,0.05,100,28,6.9563,15,0.05,50,37,2.769
44,31,0.02,100,55,6.9036,31,0.02,100,115,2.7572
45,63,0.05,50,23,6.8362,15,0.02,50,157,2.7548
46,63,0.05,50,23,6.9923,15,0.05,10,55,2.7895
47,15,0.02,100,75,6.8119,7,0.05,100,46,2.7374
48,7,0.02,20,214,6.7383,7,0.05,100,40,2.6854
49,31,0.05,20,36,6.7255,31,0.05,50,35,2.7073
50,15,0.05,10,36,6.8044,7,0.05,100,45,2.6743
51,15,0.05,50,25,6.7333,63,0.05,50,35,2.6686
52,31,0.02,50,73,6.734,15,0.05,50,33,2.6638
53,31,0.02,100,86,6.5968,15,0.02,50,104,2.668
54,31,0.02,10,99,6.7012,7,0.02,10,151,2.7001
55,31,0.05,10,74,6.7049,15,0.05,50,41,2.6642
56,31,0.05,10,74,6.6867,15,0.05,50,51,2.6464
57,63,0.05,10,41,6.6843,7,0.05,50,58,2.6307
58,7,0.02,20,199,6.5608,7,0.05,20,55,2.548
59,7,0.05,10,131,6.7384,7,0.05,50,75,2.5462
60,7,0.02,10,226,6.7543,7,0.05,50,73,2.5623
61,15,0.02,10,190,6.7579,7,0.05,50,75,2.5814
62,15,0.02,20,243,6.8098,7,0.05,50,70,2.5926
63,15,0.02,50,188,6.6335,7,0.02,10,194,2.5539
64,15,0.05,10,88,6.6841,7,0.02,20,215,2.5337
65,7,0.05,100,113,6.8546,31,0.05,50,68,2.5692
66,7,0.05,100,113,6.8755,31,0.05,50,68,2.597
67,7,0.02,10,253,6.9782,7,0.02,100,225,2.5744
68,7,0.02,20,255,6.9968,7,0.02,100,312,2.6083
69,7,0.05,50,101,6.8928,15,0.05,100,91,2.6407
70,7,0.05,10,121,6.9666,7,0.02,100,289,2.6608
71,7,0.05,10,138,6.886,7,0.02,100,289,2.6454
72,7,0.02,20,305,6.9021,15,0.05,50,71,2.6381
73,7,0.02,20,267,6.903,15,0.02,50,148,2.6429
74,15,0.02,50,190,6.8392,7,0.02,20,180,2.6529
75,7,0.02,50,405,6.8976,15,0.05,10,96,2.6628
76,63,0.02,10,141,6.9202,15,0.05,10,96,2.6614
77,15,0.02,20,226,6.9222,15,0.02,50,159,2.6666
78,7,0.02,50,255,6.9622,15,0.02,100,164,2.6415
79,31,0.02,20,186,6.9934,7,0.02,50,277,2.6355
80,15,0.02,20,204,6.9889,7,0.02,50,321,2.6707
81,15,0.02,50,206,6.9809,7,0.02,50,305,2.652
82,7,0.05,100,119,7.0652,7,0.05,10,91,2.646
83,15,0.02,10,207,7.0244,7,0.05,20,90,2.6246
84,7,0.05,100,110,7.0893,7,0.05,10,57,2.6612
85,31,0.05,100,50,7.1041,7,0.05,100,108,2.6203
86,7,0.05,100,89,7.2501,7,0.05,100,108,2.6476
87,15,0.02,100,145,7.3209,31,0.05,20,40,2.6434
88,7,0.05,20,76,7.2733,7,0.05,20,69,2.6437
89,15,0.05,100,70,7.3251,7,0.02,10,251,2.6274
90,15,0.05,100,75,7.3268,7,0.02,100,181,2.6415
91,15,0.05,100,75,7.3418,7,0.02,100,181,2.6551
92,7,0.02,100,230,7.3484,7,0.02,50,187,2.6849
93,7,0.02,50,245,7.374,7,0.02,10,234,2.6802
94,7,0.02,100,195,7.3318,7,0.05,10,80,2.6608
95,15,0.02,50,155,7.3235,7,0.05,100,85,2.6377
96,7,0.05,100,71,7.3506,7,0.05,100,85,2.661
97,7,0.05,50,84,7.3428,7,0.02,20,195,2.6971
98,7,0.05,50,75,7.287,7,0.02,10,184,2.691
