fold,pt_num_leaves,pt_lr,pt_min_node,pt_rounds,pt_inner_rmse,vl_num_leaves,vl_lr,vl_min_node,vl_rounds,vl_inner_rmse
1,31,0.05,20,32,6.2271,15,0.05,10,58,2.6323
2,7,0.02,100,220,6.7679,15,0.02,50,179,2.8631
3,63,0.05,10,60,6.1856,7,0.05,10,45,2.5399
4,31,0.02,10,94,7.4462,7,0.02,10,116,2.8799
5,15,0.05,10,70,6.2902,7,0.05,10,86,2.4179
6,15,0.05,10,79,6.5891,7,0.05,10,135,2.4406
7,15,0.02,100,203,6.5729,15,0.05,10,138,2.6432
8,7,0.02,10,149,6.6614,15,0.02,20,183,3.002
9,7,0.02,10,153,7.2416,7,0.05,10,64,2.9983
10,7,0.05,100,99,7.5769,7,0.05,10,75,2.8616
11,7,0.05,100,95,7.1716,7,0.05,10,85,2.7642
12,31,0.05,50,48,6.6252,7,0.02,100,135,2.8336
13,7,0.02,100,135,6.2843,7,0.02,100,128,2.8481
14,7,0.02,20,150,6.3967,7,0.02,100,156,3.0062
15,7,0.05,100,56,7.1307,15,0.05,100,110,3.0809
16,7,0.02,50,201,7.4135,7,0.02,50,208,3.1283
17,7,0.02,100,170,7.4691,7,0.05,100,103,3.1736
18,7,0.05,20,120,7.3656,15,0.02,50,331,3.065
19,15,0.02,50,195,7.0683,15,0.02,50,205,2.9834
20,15,0.05,20,35,6.6653,31,0.02,100,174,2.9129
21,15,0.05,10,35,6.8587,7,0.02,100,182,2.89
22,63,0.02,50,174,6.9235,7,0.05,100,85,2.884
23,7,0.05,100,98,7.0158,7,0.05,50,93,3.0072
24,31,0.05,50,91,6.796,7,0.02,50,256,2.9481
25,31,0.02,100,183,7.1464,7,0.05,100,101,2.9451
26,7,0.02,100,205,7.0552,7,0.05,50,98,2.8835
27,31,0.05,100,63,6.902,7,0.05,50,135,2.8377
28,7,0.05,100,83,6.8956,15,0.05,10,94,2.7953
29,7,0.05,50,116,6.7463,7,0.05,10,187,2.6776
30,7,0.05,50,100,6.7508,63,0.05,50,89,2.6699
31,7,0.05,50,100,6.8147,63,0.05,50,89,2.7342
32,15,0.05,20,110,6.4528,31,0.02,50,186,2.6739
33,31,0.05,50,63,6.5541,63,0.02,50,130,2.695
34,31,0.05,100,67,6.6295,31,0.02,100,146,2.7031
35,31,0.02,50,100,6.6028,31,0.02,100,179,2.6561
36,31,0.02,50,100,6.6444,31,0.02,100,180,2.6828
37,63,0.02,20,94,6.8181,31,0.02,100,148,2.7361
38,31,0.05,50,39,6.9005,15,0.02,100,168,2.8076
39,31,0.05,50,35,6.8032,31,0.02,50,181,2.748
40,15,0.02,100,96,6.9125,15,0.05,10,111,2.8344
41,15,0.02,100,95,6.8037,31,0.05,50,46,2.8142
42,31,0.02,20,102,6.7723,31,0.02,100,170,2.8238
43,31,0.02,50,96,6.5851,15,0.05,20,63,2.797
44,15,0.02,100,90,6.5627,31,0.05,10,68,2.7744
45,31,0.02,100,106,6.4516,15,0.02,100,171,2.7565
46,31,0.02,100,106,6.5768,31,0.05,10,50,2.7836
47,15,0.05,10,65,6.4144,31,0.05,10,64,2.7484
48,7,0.05,10,95,6.3839,31,0.05,100,55,2.7328
49,63,0.05,10,34,6.3651,15,0.05,10,57,2.7311
50,63,0.02,10,111,6.4361,15,0.05,10,58,2.7175
51,31,0.05,50,33,6.3884,31,0.02,10,95,2.717
52,63,0.02,10,101,6.3819,15,0.02,20,114,2.7184
53,31,0.02,10,96,6.2544,15,0.05,10,58,2.7176
54,63,0.02,10,106,6.3236,15,0.02,50,120,2.7333
55,31,0.05,50,64,6.356,15,0.05,100,49,2.7175
56,63,0.02,10,155,6.3118,15,0.05,100,60,2.7022
57,63,0.05,20,45,6.3165,15,0.05,20,72,2.703
58,7,0.05,100,90,6.2013,7,0.05,100,68,2.6403
59,15,0.02,10,174,6.3185,15,0.05,100,54,2.6381
60,7,0.02,100,185,6.3174,15,0.02,100,173,2.6206
61,7,0.02,100,185,6.3183,15,0.02,100,173,2.6318
62,7,0.02,10,371,6.3225,31,0.05,100,67,2.6457
63,31,0.05,10,65,6.1694,7,0.02,50,181,2.5988
64,15,0.05,10,101,6.2562,7,0.02,100,220,2.5876
65,15,0.05,20,68,6.3978,7,0.02,100,200,2.6327
66,15,0.05,20,68,6.4368,7,0.02,100,200,2.646
67,7,0.05,20,148,6.4907,15,0.05,50,85,2.6282
68,7,0.02,50,350,6.5662,7,0.05,100,112,2.677
69,15,0.05,50,115,6.494,7,0.05,50,144,2.709
70,7,0.02,10,364,6.6019,15,0.02,100,233,2.735
71,7,0.02,10,364,6.5325,15,0.02,100,233,2.7159
72,7,0.05,50,149,6.53,15,0.02,50,216,2.7054
73,7,0.02,20,403,6.5234,31,0.05,20,67,2.7121
74,31,0.02,10,217,6.4523,15,0.05,100,89,2.7079
75,7,0.05,20,206,6.5539,15,0.02,20,230,2.7323
76,7,0.05,20,206,6.5664,15,0.02,20,230,2.7311
77,7,0.05,100,143,6.5841,15,0.02,50,231,2.7332
78,15,0.02,100,271,6.5941,15,0.02,100,229,2.7126
79,15,0.02,100,303,6.6411,15,0.05,10,71,2.7219
80,15,0.02,100,234,6.641,7,0.02,50,328,2.739
81,15,0.02,100,235,6.6447,7,0.02,50,289,2.723
82,7,0.02,20,384,6.7151,7,0.05,10,101,2.7175
83,15,0.02,100,245,6.688,15,0.02,10,178,2.7112
84,31,0.02,100,185,6.7502,31,0.05,10,52,2.7432
85,31,0.02,100,182,6.6926,15,0.02,100,167,2.6978
86,15,0.05,50,109,6.8003,15,0.02,20,168,2.7131
87,7,0.02,100,281,6.8514,15,0.05,100,108,2.6988
88,7,0.02,100,328,6.8144,7,0.05,100,135,2.7008
89,7,0.02,100,300,6.8482,7,0.05,100,67,2.695
90,15,0.05,100,119,6.8505,15,0.02,100,205,2.7048
91,15,0.05,100,119,6.8559,15,0.02,100,205,2.7109
92,7,0.02,100,297,6.8799,31,0.05,100,68,2.7359
93,7,0.05,100,152,6.8987,15,0.02,10,239,2.7452
94,7,0.02,50,227,6.8521,15,0.02,10,283,2.7283
95,7,0.05,100,82,6.8548,7,0.02,100,235,2.7132
96,7,0.05,100,82,6.8598,7,0.02,100,235,2.7198
97,7,0.02,50,200,6.8727,7,0.02,10,250,2.7465
98,7,0.02,20,282,6.8202,7,0.05,20,81,2.7434
99,7,0.02,100,245,6.8496,7,0.02,10,250,2.7534
100,7,0.05,20,99,6.8317,7,0.02,20,240,2.7445
101,7,0.05,100,84,6.8548,7,0.02,20,240,2.7483
102,15,0.02,10,210,6.8554,7,0.05,10,150,2.7406
103,7,0.05,50,82,6.7712,15,0.02,20,165,2.7342
104,15,0.02,10,193,6.7654,7,0.02,10,274,2.7227
105,15,0.05,100,71,6.7837,15,0.05,10,75,2.744
106,15,0.05,100,71,6.7935,15,0.05,10,75,2.7628
107,15,0.05,50,71,6.8381,7,0.02,100,230,2.7937
108,31,0.05,20,70,6.7524,7,0.02,50,201,2.7729
109,63,0.05,20,57,6.7148,15,0.05,20,76,2.7879
110,15,0.02,20,237,6.7383,15,0.05,10,98,2.7807
111,15,0.02,20,250,6.7686,15,0.05,10,98,2.7743
112,31,0.02,20,185,6.7664,7,0.02,10,258,2.7903
113,15,0.02,100,176,6.7376,15,0.05,10,95,2.7763
114,7,0.02,20,233,6.752,31,0.05,10,75,2.7716
115,7,0.05,20,109,6.8382,15,0.02,20,234,2.7841
116,31,0.02,50,195,6.855,15,0.02,20,234,2.7937
117,15,0.02,10,250,6.8637,31,0.02,10,237,2.7832
118,31,0.02,50,167,6.8606,63,0.02,10,171,2.7864
119,15,0.05,20,90,6.8656,31,0.02,50,208,2.8004
120,63,0.02,10,157,6.885,31,0.02,20,209,2.798
121,7,0.02,10,341,6.8696,31,0.02,20,209,2.8002
122,31,0.02,20,174,6.8501,63,0.02,20,206,2.7667
123,31,0.02,10,196,6.8565,15,0.02,50,218,2.7754
124,31,0.02,10,274,6.8115,31,0.02,50,225,2.7686
125,15,0.02,50,221,6.831,15,0.05,50,114,2.7558
126,15,0.02,50,221,6.8007,15,0.05,50,112,2.7514
127,7,0.02,10,392,6.7451,15,0.02,50,340,2.7403
128,7,0.02,100,282,6.7626,7,0.02,100,355,2.763
129,7,0.05,50,183,6.7273,7,0.02,50,250,2.7574
130,15,0.02,20,331,6.6974,15,0.02,50,233,2.7561
131,15,0.02,20,310,6.7077,15,0.02,50,235,2.7548
132,15,0.02,100,267,6.6824,7,0.02,50,316,2.7325
133,7,0.02,10,426,6.702,7,0.02,50,295,2.7212
134,7,0.05,50,195,6.6721,7,0.02,100,261,2.7141
135,7,0.05,10,156,6.7276,15,0.02,100,220,2.7306
136,7,0.05,10,155,6.7231,15,0.05,50,132,2.7295
137,15,0.02,100,298,6.7087,7,0.02,100,275,2.7144
138,15,0.05,10,137,6.642,7,0.02,10,325,2.6992
139,15,0.02,10,245,6.6183,15,0.02,50,245,2.6972
140,31,0.02,20,206,6.6292,7,0.02,50,300,2.7057
141,31,0.02,20,206,6.6318,15,0.02,10,289,2.6959
142,15,0.05,10,165,6.6356,15,0.05,100,130,2.6962
143,15,0.02,100,314,6.6433,7,0.02,100,325,2.7015
144,7,0.05,100,145,6.5847,15,0.02,10,289,2.6909
145,7,0.02,10,298,6.5565,7,0.02,100,265,2.6734
146,7,0.02,10,298,6.5508,7,0.05,10,120,2.671
147,31,0.02,10,283,6.5174,7,0.05,100,140,2.6785
148,31,0.02,20,320,6.5177,7,0.02,100,291,2.663
149,15,0.02,20,344,6.5035,7,0.05,100,200,2.6594
150,7,0.05,50,155,6.4915,7,0.05,100,145,2.6492
151,7,0.02,20,462,6.4684,7,0.05,100,145,2.643
152,15,0.02,10,325,6.4895,7,0.02,10,310,2.647
153,7,0.02,100,445,6.5089,7,0.05,20,118,2.6601
154,7,0.05,10,133,6.5194,7,0.05,10,118,2.6513
155,15,0.05,20,129,6.5329,7,0.05,100,125,2.6507
156,15,0.05,20,129,6.5572,7,0.05,100,125,2.649
157,15,0.05,100,86,6.5445,7,0.05,100,105,2.6521
158,15,0.05,20,97,6.5333,7,0.05,100,122,2.651
159,7,0.02,20,462,6.5513,7,0.05,20,171,2.6561
160,7,0.02,100,399,6.5249,7,0.05,100,146,2.6425
161,7,0.02,100,399,6.5316,7,0.05,100,146,2.643
162,7,0.05,20,145,6.5237,7,0.02,100,346,2.6259
163,15,0.02,100,328,6.5063,7,0.05,50,130,2.6218
164,15,0.02,10,244,6.5154,7,0.02,100,361,2.6169
165,15,0.02,10,246,6.4723,7,0.02,100,335,2.6207
166,15,0.02,10,246,6.459,7,0.02,100,335,2.6098
167,7,0.02,10,321,6.4684,7,0.05,50,135,2.601
168,15,0.02,50,270,6.463,7,0.02,100,280,2.5926
169,7,0.05,10,155,6.432,7,0.02,100,360,2.5713
170,7,0.02,100,359,6.4309,7,0.05,100,113,2.5778
171,7,0.02,100,358,6.4331,15,0.05,100,108,2.585
172,7,0.02,10,304,6.4712,7,0.05,50,112,2.5898
173,7,0.02,50,351,6.485,7,0.05,100,165,2.6062
174,7,0.02,50,300,6.4987,7,0.02,50,360,2.6217
175,7,0.05,10,126,6.4903,7,0.05,20,135,2.6116
176,7,0.05,10,126,6.479,7,0.05,20,135,2.6176
177,7,0.02,10,319,6.4738,7,0.02,100,246,2.6262
178,7,0.02,100,360,6.4859,7,0.05,100,112,2.6233
179,7,0.02,10,250,6.4762,7,0.05,50,118,2.6168
180,7,0.02,10,270,6.4799,7,0.02,100,261,2.6004
