fold,pt_num_leaves,pt_lr,pt_min_node,pt_rounds,pt_inner_rmse,vl_num_leaves,vl_lr,vl_min_node,vl_rounds,vl_inner_rmse
1,15,0.05,20,25,6.6993,7,0.05,50,90,2.682
2,7,0.02,100,145,6.9665,7,0.05,50,40,2.6889
3,7,0.05,10,76,6.6107,31,0.02,10,78,2.452
4,7,0.02,50,185,8.3349,31,0.05,10,25,2.8016
5,15,0.05,10,25,7.5114,7,0.05,20,127,2.4762
6,31,0.02,10,80,7.4359,7,0.05,20,150,2.4567
7,31,0.02,10,96,6.8732,7,0.05,10,131,2.6079
8,15,0.02,50,230,6.7722,7,0.02,10,124,2.9328
9,15,0.05,10,62,7.3633,7,0.02,10,120,2.8441
10,15,0.02,50,98,8.2671,7,0.02,20,182,2.8696
11,15,0.02,50,95,7.8317,7,0.02,20,159,2.7962
12,7,0.05,50,57,7.146,15,0.02,100,134,2.8572
13,31,0.02,50,136,6.7426,15,0.02,50,124,2.8398
14,7,0.05,50,77,6.7274,7,0.05,50,49,2.9454
15,7,0.05,20,103,7.6611,15,0.05,100,133,3.0269
16,7,0.05,10,86,7.8987,15,0.05,10,72,3.057
17,7,0.05,100,35,7.7886,7,0.05,50,80,3.0641
18,7,0.02,20,119,7.797,7,0.02,50,165,3.0131
19,7,0.05,10,59,7.2983,7,0.05,50,64,2.9302
20,63,0.02,20,49,6.7595,7,0.05,100,53,2.8416
21,31,0.02,10,63,7.017,7,0.05,100,58,2.8043
22,31,0.05,50,58,7.2016,7,0.05,50,71,2.8829
23,63,0.05,10,55,7.3678,7,0.05,100,70,2.9851
24,15,0.05,100,53,7.1216,7,0.02,100,200,2.8914
25,7,0.02,10,160,7.551,7,0.02,100,218,2.9054
26,7,0.02,10,158,7.5173,7,0.05,20,113,2.8663
27,7,0.05,20,55,7.3663,7,0.05,100,107,2.8204
28,7,0.05,10,72,7.3068,15,0.05,10,98,2.7425
29,7,0.05,20,105,7.0732,7,0.05,10,139,2.6234
30,7,0.02,50,164,7.1022,7,0.02,20,395,2.6265
31,7,0.02,50,164,7.136,15,0.05,10,50,2.6597
32,7,0.05,10,85,6.7938,15,0.02,10,133,2.5862
33,15,0.05,100,51,6.8568,7,0.05,20,38,2.5926
34,63,0.02,10,85,6.9058,15,0.02,50,111,2.6073
35,31,0.05,50,49,6.8857,31,0.05,50,42,2.5642
36,63,0.05,20,25,6.9515,15,0.05,50,42,2.5958
37,15,0.02,100,86,7.159,31,0.05,50,38,2.6639
38,15,0.02,100,69,7.2387,31,0.02,100,109,2.7429
39,15,0.02,20,66,7.142,15,0.05,50,47,2.7206
40,31,0.02,10,73,7.2969,63,0.05,50,43,2.8124
41,31,0.02,10,73,7.1714,63,0.05,50,44,2.789
42,63,0.02,20,77,7.1576,15,0.02,10,93,2.796
43,7,0.02,20,105,6.95,15,0.05,50,37,2.769
44,31,0.05,100,27,6.8845,31,0.02,100,115,2.7572
45,31,0.02,100,63,6.8157,15,0.02,50,157,2.7548
46,31,0.02,100,65,6.9754,15,0.05,10,55,2.7895
47,31,0.05,100,32,6.8003,7,0.05,100,46,2.7374
48,31,0.02,100,97,6.7575,7,0.05,100,40,2.6854
49,63,0.05,50,36,6.7161,31,0.05,50,35,2.7073
50,31,0.05,100,36,6.8008,7,0.05,100,45,2.6743
51,31,0.05,50,32,6.7248,63,0.05,50,35,2.6686
52,63,0.02,50,72,6.7395,15,0.05,50,33,2.6638
53,15,0.05,10,35,6.5934,15,0.02,50,104,2.668
54,63,0.02,10,86,6.6863,7,0.02,10,151,2.7001
55,31,0.02,10,120,6.721,15,0.05,50,41,2.6642
56,15,0.02,20,136,6.7143,15,0.05,50,51,2.6464
57,31,0.02,10,129,6.681,7,0.05,50,58,2.6307
58,15,0.02,50,174,6.5551,7,0.05,20,55,2.548
59,7,0.02,100,179,6.736,7,0.05,50,75,2.5462
60,15,0.02,50,170,6.7596,7,0.05,50,73,2.5623
61,15,0.02,20,222,6.7487,7,0.05,50,75,2.5814
62,15,0.05,100,54,6.8411,7,0.05,50,70,2.5926
63,15,0.02,10,162,6.6418,7,0.02,10,194,2.5539
64,15,0.05,100,68,6.6877,7,0.02,20,215,2.5337
65,15,0.05,50,69,6.8662,31,0.05,50,68,2.5692
