fold,pt_num_leaves,pt_lr,pt_min_node,pt_rounds,pt_inner_rmse,vl_num_leaves,vl_lr,vl_min_node,vl_rounds,vl_inner_rmse
1,7,0.05,10,30,6.7098,7,0.05,50,90,2.682
2,7,0.02,100,145,6.9466,7,0.05,50,40,2.6889
3,7,0.05,20,66,6.6321,31,0.02,10,78,2.452
4,7,0.02,20,183,8.205,31,0.05,10,25,2.8016
5,15,0.05,20,38,7.1843,7,0.05,20,127,2.4762
6,7,0.02,50,155,7.3092,7,0.05,20,150,2.4567
7,7,0.05,20,81,7.0271,7,0.05,10,131,2.6079
8,7,0.02,20,225,6.8511,7,0.02,10,124,2.9328
9,7,0.05,10,90,7.5513,7,0.02,10,120,2.8441
10,7,0.05,50,129,8.1665,7,0.02,20,182,2.8696
11,7,0.02,100,169,7.7886,7,0.02,20,159,2.7962
12,15,0.05,100,40,7.1732,15,0.02,100,134,2.8572
13,31,0.05,20,36,6.7386,15,0.02,50,124,2.8398
14,7,0.05,100,49,6.7701,7,0.05,50,49,2.9454
15,7,0.02,50,182,7.6192,15,0.05,100,133,3.0269
16,7,0.05,10,70,7.8413,15,0.05,10,72,3.057
17,7,0.02,10,184,7.6947,7,0.05,50,80,3.0641
18,15,0.05,20,54,7.6153,7,0.02,50,165,3.0131
19,7,0.05,10,57,7.3024,7,0.05,50,64,2.9302
20,63,0.02,20,63,6.7705,7,0.05,100,53,2.8416
21,63,0.02,20,63,7.0158,7,0.05,100,58,2.8043
22,63,0.02,10,94,7.1697,7,0.05,50,71,2.8829
23,15,0.02,10,135,7.3592,7,0.05,100,70,2.9851
24,31,0.05,50,64,7.077,7,0.02,100,200,2.8914
25,7,0.02,20,117,7.5409,7,0.02,100,218,2.9054
26,7,0.02,20,165,7.5082,7,0.05,20,113,2.8663
27,7,0.02,10,120,7.3422,7,0.05,100,107,2.8204
28,7,0.02,10,212,7.2825,15,0.05,10,98,2.7425
29,7,0.05,20,70,7.0252,7,0.05,10,139,2.6234
30,7,0.05,10,69,7.0867000000000004,7,0.02,20,395,2.6265
31,7,0.02,10,170,7.1305,15,0.05,10,50,2.6597
32,31,0.02,10,152,6.7117000000000004,15,0.02,10,133,2.5862
33,15,0.05,50,55,6.8438,7,0.05,20,38,2.5926
34,31,0.05,50,40,6.9138,15,0.02,50,111,2.6073
35,7,0.05,50,50,6.905,31,0.05,50,42,2.5642
36,7,0.05,50,50,6.9617000000000004,15,0.05,50,42,2.5958
37,15,0.02,100,80,7.156,31,0.05,50,38,2.6639
38,15,0.05,50,24,7.2429,31,0.02,100,109,2.7429
39,15,0.05,50,23,7.2008,15,0.05,50,47,2.7206
40,31,0.05,20,31,7.2979,63,0.05,50,43,2.8124
41,15,0.05,100,28,7.1761,63,0.05,50,44,2.789
42,15,0.02,50,85,7.1669,15,0.02,10,93,2.796
43,31,0.05,100,28,6.9612,15,0.05,50,37,2.769
44,31,0.02,100,68,6.9063,31,0.02,100,115,2.7572
45,31,0.02,100,76,6.8263,15,0.02,50,157,2.7548
46,31,0.02,100,65,6.9871,15,0.05,10,55,2.7895
47,15,0.02,100,74,6.8056,7,0.05,100,46,2.7374
48,31,0.05,100,39,6.7349,7,0.05,100,40,2.6854
49,31,0.05,10,35,6.713,31,0.05,50,35,2.7073
50,15,0.05,20,45,6.78,7,0.05,100,45,2.6743
51,15,0.05,20,39,6.7168,63,0.05,50,35,2.6686
52,7,0.05,100,50,6.7451,15,0.05,50,33,2.6638
53,7,0.05,100,54,6.5887,15,0.02,50,104,2.668
54,31,0.02,20,110,6.6872,7,0.02,10,151,2.7001
55,31,0.02,20,138,6.7158,15,0.05,50,41,2.6642
56,31,0.02,20,138,6.6968,15,0.05,50,51,2.6464
57,31,0.02,20,210,6.6828,7,0.05,50,58,2.6307
58,15,0.02,10,177,6.5602,7,0.05,20,55,2.548
59,7,0.05,100,109,6.7422,7,0.05,50,75,2.5462
60,7,0.02,20,230,6.751,7,0.05,50,73,2.5623
61,15,0.02,20,223,6.7585,7,0.05,50,75,2.5814
62,7,0.02,20,230,6.8025,7,0.05,50,70,2.5926
63,15,0.02,10,185,6.6161,7,0.02,10,194,2.5539
64,15,0.05,100,66,6.6775,7,0.02,20,215,2.5337
65,15,0.05,50,75,6.8432,31,0.05,50,68,2.5692
66,7,0.05,20,118,6.866,31,0.05,50,68,2.597
67,31,0.05,20,74,6.9595,7,0.02,100,225,2.5744
68,31,0.05,20,55,7.0028,7,0.02,100,312,2.6083
69,7,0.05,10,100,6.8866,15,0.05,100,91,2.6407
70,7,0.05,10,122,6.9686,7,0.02,100,289,2.6608
71,7,0.05,10,122,6.8939,7,0.02,100,289,2.6454
72,7,0.02,50,298,6.9116,15,0.05,50,71,2.6381
73,7,0.05,20,84,6.8964,15,0.02,50,148,2.6429
74,7,0.05,50,175,6.8217,7,0.02,20,180,2.6529
75,31,0.02,10,182,6.9006,15,0.05,10,96,2.6628
76,7,0.02,20,373,6.9166,15,0.05,10,96,2.6614
77,15,0.02,20,151,6.9266,15,0.02,50,159,2.6666
78,7,0.02,20,255,6.9685,15,0.02,100,164,2.6415
79,7,0.05,50,140,6.994,7,0.02,50,277,2.6355
80,31,0.02,10,183,6.988,7,0.02,50,321,2.6707
81,31,0.02,10,183,6.9835,7,0.02,50,305,2.652
82,7,0.02,100,295,7.0638,7,0.05,10,91,2.646
83,15,0.02,10,218,7.0123,7,0.05,20,90,2.6246
84,31,0.05,20,59,7.0996,7,0.05,10,57,2.6612
