bin,n,pred,emp,delta,method,threshold,position
"[0,0.1)",776,0.08387801035735758,0.07603092783505154,-0.007847082522306037,raw,15+,RB
"[0.1,0.2)",3047,0.15423908704652536,0.12865113226124056,-0.025587954785284805,raw,15+,RB
"[0.2,0.3)",2622,0.2504281075065213,0.2665903890160183,0.016162281509497,raw,15+,RB
"[0.3,0.4)",1636,0.34777681823409845,0.36185819070904646,0.014081372474948006,raw,15+,RB
"[0.4,0.5)",1030,0.4434107654792734,0.4961165048543689,0.05270573937509554,raw,15+,RB
"[0.5,0.6)",436,0.5447757238986447,0.5756880733944955,0.030912349495850755,raw,15+,RB
"[0.6,0.7)",204,0.6435681307036305,0.6127450980392157,-0.030823032664414773,raw,15+,RB
"[0.7,0.8)",87,0.7436803965412403,0.6896551724137931,-0.05402522412744715,raw,15+,RB
"[0.8,0.9)",53,0.846005508679637,0.8113207547169812,-0.0346847539626558,raw,15+,RB
"[0.9,1]",10,0.9243455543721933,0.9,-0.024345554372193323,raw,15+,RB
"[0,0.1)",939,0.0792897221230684,0.0777422790202343,-0.001547443102834098,platt,15+,RB
"[0.1,0.2)",2958,0.15272231390681673,0.13624070317782286,-0.016481610728993873,platt,15+,RB
"[0.2,0.3)",2455,0.25012904780195355,0.2610997963340122,0.01097074853205865,platt,15+,RB
"[0.3,0.4)",1559,0.346638006533865,0.3598460551635664,0.013208048629701374,platt,15+,RB
"[0.4,0.5)",1064,0.44485700138463774,0.4755639097744361,0.030706908389798337,platt,15+,RB
"[0.5,0.6)",481,0.5447872903812386,0.5592515592515592,0.014464268870320596,platt,15+,RB
"[0.6,0.7)",246,0.6428768014322747,0.556910569105691,-0.08596623232658362,platt,15+,RB
"[0.7,0.8)",118,0.7422995071478821,0.7203389830508474,-0.02196052409703464,platt,15+,RB
"[0.8,0.9)",60,0.8452427835350113,0.8,-0.04524278353501121,platt,15+,RB
"[0.9,1]",21,0.9267758735423256,0.8571428571428571,-0.0696330163994685,platt,15+,RB
"[0,0.1)",670,0.06575457177483958,0.07164179104477612,0.005887219269936544,iso,15+,RB
"[0.1,0.2)",2924,0.13890032657386148,0.12585499316005472,-0.013045333413806759,iso,15+,RB
"[0.2,0.3)",2572,0.23673753795710223,0.24805598755832037,0.011318449601218139,iso,15+,RB
"[0.3,0.4)",1594,0.34222675537023173,0.3594730238393977,0.017246268469165993,iso,15+,RB
"[0.4,0.5)",813,0.43296331567715374,0.44280442804428044,0.009841112367126703,iso,15+,RB
"[0.5,0.6)",1020,0.549350551141603,0.5254901960784314,-0.023860355063171634,iso,15+,RB
"[0.6,0.7)",104,0.6550112641480569,0.6442307692307693,-0.010780494917287609,iso,15+,RB
"[0.7,0.8)",156,0.7375744406912322,0.7243589743589743,-0.013215466332257897,iso,15+,RB
"[0.8,0.9)",27,0.8171978629216768,0.7407407407407407,-0.07645712218093614,iso,15+,RB
"[0.9,1]",21,1,0.8571428571428571,-0.1428571428571429,iso,15+,RB
"[0,0.1)",1082,0.08342266273619353,0.07948243992606285,-0.003940222810130678,strat_platt,15+,RB
"[0.1,0.2)",2936,0.15293562737111213,0.13726158038147138,-0.015674046989640755,strat_platt,15+,RB
