cell,bin,n,pred,emp,delta,method,threshold,position
exante_low,"[0,0.1)",5597,0.01401941089702818,0.014650705735215293,6.312948381871127e-4,raw,15+,RB
exante_low,"[0.1,0.2)",677,0.13401240271894488,0.12259970457902511,-0.011412698139919769,raw,15+,RB
exante_low,"[0.2,0.3)",48,0.23344519243831363,0.25,0.01655480756168637,raw,15+,RB
exante_low,"[0.3,0.4)",2,0.35423399123054855,0,-0.35423399123054855,raw,15+,RB
exante_mid,"[0,0.1)",184,0.09063958533923684,0.08152173913043478,-0.009117846208802058,raw,15+,RB
exante_mid,"[0.1,0.2)",2320,0.15475020042142446,0.15560344827586206,8.532478544376054e-4,raw,15+,RB
exante_mid,"[0.2,0.3)",654,0.2363386788489868,0.26299694189602446,0.026658263047037667,raw,15+,RB
exante_mid,"[0.3,0.4)",64,0.33908438569768856,0.296875,-0.04220938569768856,raw,15+,RB
exante_mid,"[0.4,0.5)",14,0.4267527704900227,0.5,0.07324722950997731,raw,15+,RB
exante_mid,"[0.5,0.6)",1,0.5576801689219653,0,-0.5576801689219653,raw,15+,RB
exante_high,"[0.1,0.2)",415,0.18231137056745608,0.21204819277108433,0.02973682220362825,raw,15+,RB
exante_high,"[0.2,0.3)",1706,0.25572444589289395,0.30363423212192264,0.047909786229028695,raw,15+,RB
exante_high,"[0.3,0.4)",1317,0.34692323750806997,0.40774487471526194,0.06082163720719197,raw,15+,RB
exante_high,"[0.4,0.5)",873,0.4435912463214322,0.5269186712485682,0.08332742492713596,raw,15+,RB
exante_high,"[0.5,0.6)",335,0.5464229188994458,0.5582089552238806,0.011786036324434757,raw,15+,RB
exante_high,"[0.6,0.7)",165,0.639648178858667,0.6848484848484848,0.045200305989817835,raw,15+,RB
exante_high,"[0.7,0.8)",84,0.7481598037959043,0.75,0.001840196204095701,raw,15+,RB
exante_high,"[0.8,0.9)",32,0.8364156176948114,0.875,0.03858438230518857,raw,15+,RB
exante_high,"[0.9,1]",6,0.9249174014102857,0.8333333333333334,-0.0915840680769523,raw,15+,RB
exante_low,"[0,0.1)",5093,0.00820281219847773,0.007657569212644807,-5.452429858329227e-4,platt,15+,RB
exante_low,"[0.1,0.2)",1074,0.13559099454604637,0.10335195530726257,-0.032239039238783795,platt,15+,RB
exante_low,"[0.2,0.3)",146,0.22830978425642537,0.1780821917808219,-0.05022759247560346,platt,15+,RB
exante_low,"[0.3,0.4)",10,0.3193319003534084,0.1,-0.2193319003534084,platt,15+,RB
exante_low,"[0.4,0.5)",1,0.4004689481808356,0,-0.4004689481808356,platt,15+,RB
exante_mid,"[0,0.1)",34,0.09206908318266734,0.029411764705882353,-0.06265731847678499,platt,15+,RB
exante_mid,"[0.1,0.2)",1658,0.1636487260162884,0.1272617611580217,-0.0363869648582667,platt,15+,RB
exante_mid,"[0.2,0.3)",1348,0.2340581357240111,0.22551928783382788,-0.008538847890183221,platt,15+,RB
exante_mid,"[0.3,0.4)",173,0.3298963946333015,0.2832369942196532,-0.0466594004136483,platt,15+,RB
exante_mid,"[0.4,0.5)",22,0.43356524251642564,0.36363636363636365,-0.069928878880062,platt,15+,RB
exante_mid,"[0.5,0.6)",2,0.5539667564776143,0.5,-0.053966756477614286,platt,15+,RB
exante_high,"[0.1,0.2)",73,0.18396612665743023,0.1780821917808219,-0.005883934876608321,platt,15+,RB
exante_high,"[0.2,0.3)",1341,0.25753420170611663,0.2632363907531693,0.005702189047052664,platt,15+,RB
exante_high,"[0.3,0.4)",1665,0.34525560266135463,0.36816816816816816,0.02291256550681353,platt,15+,RB
exante_high,"[0.4,0.5)",1054,0.44734540083175284,0.49430740037950666,0.04696199954775382,platt,15+,RB
exante_high,"[0.5,0.6)",449,0.5425836076379655,0.5679287305122495,0.02534512287428392,platt,15+,RB
exante_high,"[0.6,0.7)",218,0.6382363545520943,0.6513761467889908,0.013139792236896541,platt,15+,RB
exante_high,"[0.7,0.8)",97,0.7432170061963854,0.7422680412371134,-9.489649592719918e-4,platt,15+,RB
exante_high,"[0.8,0.9)",30,0.8335100593980875,0.8333333333333334,-1.7672606475416242e-4,platt,15+,RB
exante_high,"[0.9,1]",6,0.9244061741965188,0.8333333333333334,-0.09107284086318546,platt,15+,RB
