position,player_id,season,week,pred_vol,p_start,p_boom,p_bust,hit_start,hit_boom,hit_bust,stratum,star_bucket,team_spread,implied_total,sb,ib,p_start_platt,p_start_iso,p_start_strat_platt,p_start_strat_iso,p_start_platt_vol,p_start_platt_vegas,p_start_platt_vol_vegas,p_start_star_platt,p_boom_platt,p_boom_iso,p_boom_strat_platt,p_boom_strat_iso,p_boom_platt_vol,p_boom_platt_vegas,p_boom_platt_vol_vegas,p_boom_star_platt,p_bust_platt,p_bust_iso,p_bust_strat_platt,p_bust_strat_iso,p_bust_platt_vol,p_bust_platt_vegas,p_bust_platt_vol_vegas,p_bust_star_platt
RB,00-0023500,2016,1,17.508069210747394,0.29381366785428664,0.14046660513874087,0.13233643497634584,0,0,0,exante_high,b2,3.5,27.5,fav,high_implied,0.2948812678065583,0.2682926829268293,0.3233031490221294,0.2897196261682243,0.3355555227176708,0.3335891318526274,0.4005550733076898,0.297664255926216,0.1467369161645565,0.133630289532294,0.16136006723577354,0.1473429951690821,0.17154655384599832,0.1648893289763718,0.2021831884903679,0.14608835664014697,0.18497559856931137,0.14792899408284024,0.15182739253853172,0.11214953271028037,0.1424327961072746,0.17564870082591347,0.12778118433896482,0.13326904187722402
RB,00-0023564,2016,1,11.340991392463785,0.26898750187203146,0.10682763234261772,0.12305957709453741,0,0,0,exante_mid,b3,5.5,24.25,fav,mid_implied,0.27080564539366686,0.22038567493112948,0.20322600571040403,0.20416666666666666,0.20378378913637588,0.2790626975441217,0.20460786606123152,0.23871253951580915,0.11440584458002681,0.133630289532294,0.08206342306314279,0.09090909090909091,0.08421229074287127,0.12290931958152994,0.09048131409568999,0.09942945820881381,0.1775397021781118,0.14792899408284024,0.21433913796249854,0.2222222222222222,0.23607768484910008,0.18322818996869072,0.2395464354413261,0.22390060100635403
RB,00-0024242,2016,1,16.13446936879969,0.2865336347975608,0.13201042597403734,0.13584532443415265,1,1,0,exante_high,b2,3,26.5,fav,high_implied,0.28782655547118885,0.2682926829268293,0.3165824978384443,0.2897196261682243,0.3018558848250908,0.3170880233763407,0.345283301248129,0.29172510723048495,0.1386791806704681,0.133630289532294,0.15335760878688176,0.1473429951690821,0.14723469053867702,0.15202670072729227,0.1664683342492197,0.13941151526524426,0.18773179275827281,0.14792899408284024,0.15353464505741513,0.11214953271028037,0.16250814850553336,0.17953682635502957,0.14968136138551266,0.1349214546750384
RB,00-0025394,2016,1,19.016238355207985,0.2909093604914571,0.14028481601383325,0.1478558101622276,0,0,1,exante_high,b1,0,20.5,close,mid_implied,0.29206733473134555,0.2682926829268293,0.32062498680081436,0.2897196261682243,0.36849921185542517,0.26884660974322117,0.3414590564511327,0.34814306808206097,0.14656412894833115,0.133630289532294,0.16118893947896962,0.1473429951690821,0.1966064626468361,0.13562516159811622,0.18215732782635177,0.1848625846326063,0.19695429354136687,0.14792899408284024,0.1592208528418479,0.11214953271028037,0.12912788881411677,0.19633029648839162,0.13341967738612728,0.1567513880460048
RB,00-0026019,2016,1,12.242236012587364,0.2464729370954468,0.09501636004952574,0.17541932779443903,1,1,0,exante_mid,b1,NA,NA,NA,NA,0.24892228143005965,0.22038567493112948,0.19528029329479732,0.20416666666666666,0.20910765424925087,0.24687583886847891,0.1961702489782627,0.3078147544192434,0.10285185543770943,0.1091703056768559,0.07871039214208823,0.07692307692307693,0.08795320217411248,0.10128586246823154,0.08292027454012708,0.13961332576579422,0.21706645285447493,0.20610687022900764,0.2446552585566861,0.24285714285714285,0.24559655169345684,0.20933232759775233,0.24304809199654878,0.16985959413335489
RB,00-0026153,2016,1,17.41954726798328,0.2702467579425789,0.12036426945676726,0.17586513272683169,0,0,0,exante_high,b2,3,22.5,fav,mid_implied,0.27202811086631157,0.22038567493112948,0.30145294865157335,0.2598870056497175,0.3209541094073794,0.266079390980327,0.3207692146827275,0.27836672497806764,0.12750896776043572,0.133630289532294,0.1421849782126323,0.1473429951690821,0.16026194218833567,0.12776256802316385,0.16463868774270649,0.1300605962184446,0.21738134982451474,0.20610687022900764,0.17169101349100124,0.14705882352941177,0.15880463273205286,0.2207720747702021,0.1606838480313898,0.15261783625286074
RB,00-0026184,2016,1,16.088468800404993,0.2822875201228263,0.128333233557684,0.14344337570919352,1,1,0,exante_high,b1,-2,19.75,close,low_implied,0.283709940738715,0.2682926829268293,0.3126509436705461,0.2897196261682243,0.2987267429484179,0.254138183549332,0.25639076090140517,0.34044666385342714,0.13516176738864874,0.133630289532294,0.14984968123155218,0.1473429951690821,0.14495989508786578,0.12084904268626429,0.12479812548934861,0.1733845330623231,0.19360251247491597,0.14792899408284024,0.1571588039612674,0.11214953271028037,0.16624640483858685,0.19537259228697607,0.17605489813115457,0.15455678265810457
RB,00-0026289,2016,1,13.692347034767128,0.2323276667325579,0.09066731789782234,0.21777695967277588,0,0,1,exante_mid,b1,1,26,close,mid_implied,0.23514486068580337,0.22038567493112948,0.19016706711216114,0.20416666666666666,0.22741086841919764,0.2592609431380619,0.2551355718922709,0.29459467757815927,0.09856556901226805,0.1091703056768559,0.07741642582845111,0.07407407407407407,0.0998824597371439,0.10623276957738081,0.10847525063513185,0.13496961454397327,0.2458204419972235,0.2318181818181818,0.2657402584847247,0.24285714285714285,0.23504410188134686,0.23012610138204942,0.2157032956457034,0.18847646407176463
RB,00-0026373,2016,1,14.894450287964988,0.25565730590188385,0.1035800904852221,0.18361511221392557,0,0,0,exante_high,b1,3,23.75,fav,mid_implied,0.2578555058951557,0.22038567493112948,0.28778066044565187,0.2598870056497175,0.2611535650017021,0.26284738432731253,0.26818670244293213,0.3162922089064464,0.11124103367978778,0.1091703056768559,0.12573036557605832,0.1473429951690821,0.11864570692952718,0.11534198928195004,0.12484012374271328,0.14858136774019645,0.22280907003296604,0.2318181818181818,0.1749804093769297,0.21182266009852216,0.20064573155858778,0.22219302353182266,0.19789879829247148,0.17358683872207023
RB,00-0026796,2016,1,14.361330015253769,0.21804342208299887,0.08529708529131097,0.2531228389002781,0,0,0,exante_high,b1,-10.5,16.75,big_dog,low_implied,0.22120623421371413,0.22038567493112948,0.25192994188326195,0.2598870056497175,0.23216053259553904,0.17564394077597778,0.17125580003773708,0.28102650846585303,0.0932467989532006,0.08849557522123894,0.10723555806985173,0.11763331386409888,0.10421913396138326,0.07182318189556446,0.07484042564422218,0.1291450333086893,0.2684006900657609,0.2345679012345679,0.20234664545438485,0.21182266009852216,0.23486017489097014,0.2827752911490159,0.2620399200211727,0.20304945772140473
RB,00-0027029,2016,1,15.972902155723064,0.2783592767635862,0.12480201069015529,0.1499005787674792,1,0,0,exante_high,b1,-3,20.75,dog,mid_implied,0.27990017941573914,0.2682926829268293,0.3090057855509327,0.2897196261682243,0.2943063878031208,0.2584165829096262,0.2634541575682645,0.3369209015336379,0.13177585713295037,0.133630289532294,0.14646411870337253,0.1473429951690821,0.14179695029231967,0.11961662151709625,0.12458961584477884,0.16993612606681552,0.19849397832746402,0.2,0.1601664395778506,0.11214953271028037,0.17050746231606737,0.1974138000165913,0.1758505990111921,0.1577584275856482
RB,00-0027155,2016,1,12.453716046993184,0.2502526267023921,0.09687717885797564,0.17059670582996322,0,0,0,exante_mid,b3,0,23.25,close,mid_implied,0.25259973168040234,0.22038567493112948,0.19662966672142135,0.20416666666666666,0.2143148639172902,0.2544572945880384,0.20606119357831437,0.22468443485129538,0.10468034560611159,0.1091703056768559,0.07925368184493849,0.07692307692307693,0.09056892814534644,0.10429075927411086,0.08683400682647202,0.09227067320528771,0.2136405048638218,0.20610687022900764,0.2420946467677418,0.24285714285714285,0.2393114152281784,0.2044769896738988,0.23407230672558033,0.25673167015201764
RB,00-0027325,2016,1,14.553107855342196,0.2131436681671743,0.08340870103805875,0.2648081022464922,0,0,0,exante_high,b3,-5.5,21,dog,mid_implied,0.21641849683078054,0.22038567493112948,0.24718799244872564,0.2598870056497175,0.23305048748284743,0.20113985681035268,0.2122005046038104,0.19664672323500143,0.09136931098679588,0.08849557522123894,0.10528562931359113,0.09090909090909091,0.10529236691964816,0.08209693250201035,0.09194679150512479,0.08232990349326046,0.27565416542918686,0.2345679012345679,0.20667278806959272,0.21182266009852216,0.23509524294235518,0.2735741153322297,0.23827243682484514,0.3101975452640207
RB,00-0027791,2016,1,11.352362715087178,0.2423405619040795,0.09212349071249204,0.17311676042518875,0,0,1,exante_mid,b3,4,26,fav,mid_implied,0.24489983292556974,0.22038567493112948,0.19379714500639952,0.20416666666666666,0.19299380337859004,0.2684349024887035,0.21201403379030756,0.2187385904537151,0.1000027674934701,0.1091703056768559,0.07785357117963254,0.07407407407407407,0.07932162189159774,0.11098859819630245,0.08876367737804008,0.08879773485386232,0.21543521612804228,0.20610687022900764,0.2434374510001097,0.24285714285714285,0.26229995451044674,0.21122125361283997,0.25068915332730085,0.2583259660535696
RB,00-0027864,2016,1,13.0154508273074,0.2032760940536127,0.07758594793529883,0.2691888441443837,0,0,0,exante_mid,b3,5.5,24.25,fav,mid_implied,0.20676557226779163,0.22038567493112948,0.17929350610867634,0.20416666666666666,0.20180960439552706,0.21569814316443056,0.21562878011868533,0.18911334024200213,0.08555508671998974,0.06711409395973154,0.07329151655721457,0.06597222222222222,0.08766366869336938,0.09296588956881628,0.09867204727259436,0.0779270311975461,0.27835055238370704,0.2345679012345679,0.28887245427254016,0.24285714285714285,0.26704162384359015,0.2860096355677091,0.2658000023423576,0.31245745153273996
RB,00-0027966,2016,1,15.7085419074278,0.2835125114397583,0.1286935210997615,0.13815218376892546,0,0,0,exante_high,b1,1,26,close,mid_implied,0.28489772174155914,0.2682926829268293,0.313786089086585,0.2897196261682243,0.2914115246923195,0.31012100504355955,0.3239677054041083,0.3415436539570633,0.1355067761052703,0.133630289532294,0.15019416625928422,0.1473429951690821,0.13995895956883722,0.14421893474633404,0.1503722513522656,0.17373484511731754,0.18952798067749121,0.14792899408284024,0.15464522234332556,0.11214953271028037,0.1696843469892838,0.17664137352239712,0.15531477360047535,0.15188436349268067
RB,00-0027994,2016,1,11.84811910296403,0.268874451081491,0.108052499262546,0.12911352296902479,0,0,0,exante_mid,b3,0,23.25,close,mid_implied,0.2706958903015173,0.22038567493112948,0.20318662473308072,0.20416666666666666,0.21212227668651545,0.2719982866266212,0.2001004316325408,0.23862807177432385,0.11559726774657857,0.133630289532294,0.08239900878096511,0.09302325581395349,0.08908142412962207,0.1148253710814774,0.08398897432227537,0.10030115113772448,0.18241747416518833,0.14792899408284024,0.21818120497301566,0.2222222222222222,0.22999175367749014,0.17432878367744234,0.2264282325244546,0.22842912541002705
RB,00-0028009,2016,1,13.2341121438007,0.20612258829090344,0.07904053543971246,0.2657906505449279,1,1,0,exante_mid,b2,-0,20.5,close,mid_implied,0.20955169457779824,0.22038567493112948,0.18038439114551721,0.20416666666666666,0.2067777434938574,0.193486885121531,0.18131238016360224,0.2244982070509512,0.08701119874514021,0.07863326861092497,0.07376945784362886,0.07268114962312694,0.09029405913109508,0.08143677639314652,0.08146736181196865,0.09495636456631486,0.2762599753119025,0.2345679012345679,0.28740495080256667,0.24285714285714285,0.2613668105432712,0.2753698812613154,0.26925874501933844,0.18765283026340798
RB,00-0028064,2016,1,12.226369339373187,0.2648688189310905,0.1056013023699679,0.14078348958640297,0,0,0,exante_mid,b3,-2,19.75,close,low_implied,0.2668062528067093,0.22038567493112948,0.20178813903406634,0.20416666666666666,0.2168213957248228,0.23894056055982918,0.1744532436874359,0.2356339188271812,0.11321177881194723,0.133630289532294,0.08172529181583064,0.09090909090909091,0.09168532855027295,0.10151486629864061,0.07610009848793968,0.0985547249537887,0.1915619815383333,0.14792899408284024,0.2253013149458406,0.22794438575130577,0.2291913440435843,0.19332021962938742,0.24396245799503816,0.2368363321181644
RB,00-0028202,2016,1,13.33149864450608,0.19353726386457137,0.073309053087533,0.29450059130527806,0,0,0,exante_mid,b3,-2.5,20.75,dog,mid_implied,0.19722329979435024,0.20863309352517986,0.17551316082782845,0.20416666666666666,0.2020627429054881,0.18301727440910542,0.18063221907633342,0.181637265365077,0.0812588872862941,0.06711409395973154,0.07185455164431949,0.06597222222222222,0.08849595373943858,0.07485412068573244,0.07884503046847241,0.074646540693596,0.29371633370448774,0.26881720430107525,0.29958967535159664,0.24285714285714285,0.26918201590971835,0.29212129977216855,0.2747139977381188,0.32525201111923685
