position,threshold,method,ext_w_mean_abs_delta_pp,w_mean_abs_delta_pp,brier
RB,15+,iso,1.9237,1.4067,0.17424
RB,15+,platt,2.0789,1.6693,0.17404
RB,15+,platt_vegas,2.0509,1.4666,0.17395
RB,15+,platt_vol,1.8862,1.3037,0.17375
RB,15+,platt_vol_vegas,1.5470,1.1305,0.17330
RB,15+,raw,2.6751,2.3261,0.17414
RB,15+,star_platt,2.2802,1.6004,0.17272
RB,15+,strat_iso,1.7072,1.2327,0.17414
RB,15+,strat_platt,1.8133,1.3594,0.17375
RB,20+,iso,1.3426,0.5515,0.10984
RB,20+,platt,1.3315,0.5928,0.10934
RB,20+,platt_vegas,1.0138,0.5136,0.10924
RB,20+,platt_vol,1.3456,0.6761,0.10944
RB,20+,platt_vol_vegas,0.9440,0.4808,0.10917
RB,20+,raw,1.5900,1.1043,0.10938
RB,20+,star_platt,1.4183,0.6099,0.10857
RB,20+,strat_iso,1.1974,0.5356,0.10987
RB,20+,strat_platt,1.3150,0.4690,0.10940
RB,bust,iso,2.0986,0.7912,0.15539
RB,bust,platt,3.5483,3.1849,0.15631
RB,bust,platt_vegas,3.3397,2.9386,0.15636
RB,bust,platt_vol,2.0444,1.5887,0.15465
RB,bust,platt_vol_vegas,1.8719,1.5453,0.15480
RB,bust,raw,2.5999,1.9861,0.15539
RB,bust,star_platt,2.3187,1.9906,0.15508
RB,bust,strat_iso,1.2608,0.4641,0.15509
RB,bust,strat_platt,1.9345,1.1415,0.15496
WR,15+,iso,1.6296,0.9314,0.17601
WR,15+,platt,1.6557,0.9881,0.17577
WR,15+,platt_vegas,1.7551,1.4311,0.17560
WR,15+,platt_vol,1.9221,1.0117,0.17575
WR,15+,platt_vol_vegas,1.6607,1.3095,0.17514
WR,15+,raw,1.7924,1.1964,0.17578
WR,15+,star_platt,2.0657,1.6642,0.17527
WR,15+,strat_iso,1.6558,0.8482,0.17638
WR,15+,strat_platt,1.7114,0.9010,0.17583
WR,20+,iso,0.9103,0.4480,0.10558
WR,20+,platt,0.7698,0.3022,0.10527
WR,20+,platt_vegas,0.8605,0.4765,0.10516
WR,20+,platt_vol,1.1213,0.6339,0.10538
WR,20+,platt_vol_vegas,1.1434,0.9583,0.10507
WR,20+,raw,0.8097,0.4475,0.10525
WR,20+,star_platt,1.0452,0.7374,0.10491
WR,20+,strat_iso,0.8791,0.2834,0.10567
WR,20+,strat_platt,0.9316,0.3535,0.10541
WR,bust,iso,1.1373,0.4298,0.15985
WR,bust,platt,2.0347,1.7993,0.16011
WR,bust,platt_vegas,1.9333,1.2879,0.16025
WR,bust,platt_vol,1.3316,1.0534,0.15906
WR,bust,platt_vol_vegas,1.0710,0.6031,0.15899
WR,bust,raw,1.3771,0.7903,0.15978
WR,bust,star_platt,1.8716,1.7003,0.15962
WR,bust,strat_iso,0.7757,0.1446,0.15973
WR,bust,strat_platt,1.4269,1.1473,0.15963
