position,season,n,weeks,skill_start,skill_boom
QB,2018,502,17,0.00996481206148539,0.0018496533536223603
QB,2019,252,15,0.008104042918820165,0.001866024003180325
QB,2020,285,10,0.008961878029284415,0.0013846512762691332
QB,2021,241,15,-0.005125383474279599,-0.010790587513674968
QB,2022,381,14,-3.7193334510651765e-4,0.0022810920416973246
QB,2023,148,5,0.0027000754164266394,0.0038857486978644135
QB,2024,188,7,0.0073727770140938065,-3.26278897668425e-4
QB,2025,118,5,-0.004869846525094784,-0.0035582532536072575
RB,2023,526,7,0.004790303533183465,0.004493836857049807
RB,2024,784,12,-1.7436933347969585e-4,-6.94051869994397e-4
RB,2025,744,12,-0.004944019167774497,-0.0013024306598346386
TE,2023,39,1,0.006704819755866648,0.004144062090590275
TE,2024,243,9,-0.002959090569548295,0.0025214924849617237
TE,2025,187,9,0.002937565967118555,0.005052619998013291
WR,2023,492,7,-0.002669934672301505,3.2232764430520366e-4
WR,2024,658,10,-0.0047865246802741845,-0.0011577997144386898
WR,2025,739,11,-0.00321573027138633,-0.005045375654034248
