cell,tier,n,weeks,brier_model,brier_ecr,skill,rel_improve,ci_lo,ci_hi,verdict
QB start (20+),primary,2115,88,0.19345697662097933,0.19791693739511027,0.004459960774130939,0.02253450782348821,-5.397292726539575e-4,0.009954605034749596,NEUTRAL
QB boom (25+),primary,2115,88,0.11703972849116735,0.1171134072683514,7.367877718404692e-5,6.291233335498538e-4,-0.0023311196536570378,0.0023777730071524736,NEUTRAL
RB/WR/TE pooled start,secondary,4412,36,0.15324289675206929,0.15141987587019368,-0.0018230208818756088,-0.012039508495162242,-0.00426286855333658,7.036979387203515e-4,NEUTRAL
RB/WR/TE pooled boom,secondary,4412,36,0.09303514478561367,0.09263578271067922,-3.9936207493444786e-4,-0.004311099482817979,-0.0018290518445526946,0.0010031624874320454,NEUTRAL
RB start (15+),reported,2054,31,0.12339955108403738,0.12276890056805989,-6.306505159774933e-4,-0.005136891452635246,-0.004659797018262478,0.0033002346615999788,NEUTRAL
RB boom (20+),reported,2054,31,0.07652638270777727,0.07694050788295528,4.141251751780123e-4,0.005382407610409781,-0.0022395176575637976,0.002970513922852493,NEUTRAL
WR start (15+),reported,1889,28,0.17983164586739894,0.176210912268168,-0.0036207335992309297,-0.020547726316294684,-0.007124463986353327,-3.6214662570127187e-4,FAIL
WR boom (20+),reported,1889,28,0.109565274199234,0.10727211399836911,-0.0022931602008648827,-0.021377039338478464,-0.004427680287926852,-3.0942282111711696e-4,FAIL
TE start (12+),reported,469,19,0.1768507537313433,0.1770463908271423,1.9563709579900612e-4,0.001105004710262717,-0.008911756515738356,0.00952133598418567,NEUTRAL
TE boom (17+),reported,469,19,0.09875706982942431,0.10242270103413047,0.0036656312047061573,0.035789245623239846,-3.741860080736316e-4,0.0072718859206656675,NEUTRAL
