sensitivity,cell,n,weeks,brier_model,brier_ecr,skill,rel_improve,ci_lo,ci_hi,verdict
strict_first_kick,QB start (20+),1645,55,0.19649071563060266,0.19820574419344578,0.0017150285628431128,0.008652769221306074,-0.004578073303130807,0.008438713771851899,NEUTRAL
strict_first_kick,QB boom (25+),1645,55,0.11781081567262124,0.11738284211696481,-4.279735556564218e-4,-0.0036459634810168625,-0.0032476076492808916,0.0023872969452896384,NEUTRAL
strict_first_kick,RB/WR/TE pooled start,3266,27,0.15178930216229242,0.15029932718829428,-0.0014899749739981372,-0.009913384190546,-0.004084132582860422,0.0012627941089682422,NEUTRAL
strict_first_kick,RB/WR/TE pooled boom,3266,27,0.09247315592006895,0.09222233707856975,-2.508188414992035e-4,-0.0027197189904818383,-0.0017214852546845695,0.0012486406175603788,NEUTRAL
lag_within_3d,QB start (20+),805,85,0.18753519373341884,0.19953626801187793,0.01200107427845909,0.060144826792814896,0.004401559572031299,0.019569836431541025,PASS
lag_within_3d,QB boom (25+),805,85,0.11425937723477132,0.11670699866260653,0.0024476214278352088,0.020972362033841233,-5.040079234205846e-4,0.005473290579990952,NEUTRAL
lag_within_3d,RB/WR/TE pooled start,1910,36,0.1551453946320681,0.15266826760519325,-0.002477127026874859,-0.016225552734251344,-0.006489297895994469,0.0019230301821903492,NEUTRAL
lag_within_3d,RB/WR/TE pooled boom,1910,36,0.0953452127839196,0.09367741213571808,-0.0016678006482015173,-0.01780365842926189,-0.003900890492311682,6.269317477602052e-4,NEUTRAL
scoring_matched,QB start (20+),2115,88,0.19345697662097933,0.19791693739511027,0.004459960774130939,0.02253450782348821,-0.0011919288452230386,0.009884530354130611,NEUTRAL
scoring_matched,QB boom (25+),2115,88,0.11703972849116735,0.1171134072683514,7.367877718404692e-5,6.291233335498538e-4,-0.0021667815372047082,0.002445520967064989,NEUTRAL
scoring_matched,RB/WR/TE pooled start,1259,14,0.14915933535455186,0.14276880446384282,-0.00639053089070904,-0.044761395283151546,-0.010567333002656248,-0.001966249431756244,FAIL
scoring_matched,RB/WR/TE pooled boom,1259,14,0.09154996199901133,0.089490295102997,-0.002059666896014334,-0.023015533624554517,-0.004194480195783208,1.0842882099901581e-4,NEUTRAL
