fold,test_season,test_week,train_end_season,train_end_week,n_train_sw,n_train_rows,n_test_rows,crosses_season_boundary
1,2014,6,2014,5,5,297,63,FALSE
2,2014,7,2014,6,6,360,58,FALSE
3,2014,8,2014,7,7,418,57,FALSE
4,2014,9,2014,8,8,475,53,FALSE
5,2014,10,2014,9,9,528,53,FALSE
6,2014,11,2014,10,10,581,51,FALSE
7,2014,12,2014,11,11,632,60,FALSE
8,2014,13,2014,12,12,692,61,FALSE
9,2014,14,2014,13,13,753,58,FALSE
10,2014,15,2014,14,14,811,64,FALSE
11,2014,16,2014,15,15,875,62,FALSE
12,2014,17,2014,16,16,937,70,FALSE
13,2015,1,2014,17,17,1007,60,TRUE
14,2015,2,2015,1,18,1067,60,FALSE
15,2015,3,2015,2,19,1127,67,FALSE
16,2015,4,2015,3,20,1194,57,FALSE
17,2015,5,2015,4,21,1251,59,FALSE
18,2015,6,2015,5,22,1310,55,FALSE
19,2015,7,2015,6,23,1365,59,FALSE
20,2015,8,2015,7,24,1424,49,FALSE
21,2015,9,2015,8,25,1473,45,FALSE
22,2015,10,2015,9,26,1518,51,FALSE
23,2015,11,2015,10,27,1569,55,FALSE
24,2015,12,2015,11,28,1624,61,FALSE
25,2015,13,2015,12,29,1685,68,FALSE
26,2015,14,2015,13,30,1753,64,FALSE
27,2015,15,2015,14,31,1817,64,FALSE
28,2015,16,2015,15,32,1881,70,FALSE
29,2015,17,2015,16,33,1951,68,FALSE
30,2016,1,2015,17,34,2019,54,TRUE
31,2016,2,2016,1,35,2073,60,FALSE
32,2016,3,2016,2,36,2133,62,FALSE
33,2016,4,2016,3,37,2195,56,FALSE
34,2016,5,2016,4,38,2251,52,FALSE
35,2016,6,2016,5,39,2303,57,FALSE
36,2016,7,2016,6,40,2360,55,FALSE
37,2016,8,2016,7,41,2415,47,FALSE
38,2016,9,2016,8,42,2462,47,FALSE
39,2016,10,2016,9,43,2509,53,FALSE
40,2016,11,2016,10,44,2562,50,FALSE
41,2016,12,2016,11,45,2612,59,FALSE
42,2016,13,2016,12,46,2671,56,FALSE
43,2016,14,2016,13,47,2727,56,FALSE
44,2016,15,2016,14,48,2783,61,FALSE
45,2016,16,2016,15,49,2844,61,FALSE
46,2016,17,2016,16,50,2905,66,FALSE
47,2017,1,2016,17,51,2971,63,TRUE
48,2017,2,2017,1,52,3034,68,FALSE
49,2017,3,2017,2,53,3102,64,FALSE
50,2017,4,2017,3,54,3166,67,FALSE
51,2017,5,2017,4,55,3233,56,FALSE
52,2017,6,2017,5,56,3289,53,FALSE
53,2017,7,2017,6,57,3342,60,FALSE
54,2017,8,2017,7,58,3402,52,FALSE
55,2017,9,2017,8,59,3454,56,FALSE
56,2017,10,2017,9,60,3510,60,FALSE
57,2017,11,2017,10,61,3570,59,FALSE
58,2017,12,2017,11,62,3629,64,FALSE
59,2017,13,2017,12,63,3693,64,FALSE
60,2017,14,2017,13,64,3757,62,FALSE
61,2017,15,2017,14,65,3819,68,FALSE
62,2017,16,2017,15,66,3887,63,FALSE
63,2017,17,2017,16,67,3950,63,FALSE
64,2018,1,2017,17,68,4013,61,TRUE
65,2018,2,2018,1,69,4074,64,FALSE
66,2018,3,2018,2,70,4138,60,FALSE
67,2018,4,2018,3,71,4198,59,FALSE
68,2018,5,2018,4,72,4257,56,FALSE
69,2018,6,2018,5,73,4313,57,FALSE
70,2018,7,2018,6,74,4370,54,FALSE
71,2018,8,2018,7,75,4424,49,FALSE
72,2018,9,2018,8,76,4473,53,FALSE
73,2018,10,2018,9,77,4526,54,FALSE
74,2018,11,2018,10,78,4580,46,FALSE
75,2018,12,2018,11,79,4626,56,FALSE
76,2018,13,2018,12,80,4682,64,FALSE
77,2018,14,2018,13,81,4746,60,FALSE
78,2018,15,2018,14,82,4806,60,FALSE
79,2018,16,2018,15,83,4866,62,FALSE
80,2018,17,2018,16,84,4928,64,FALSE
81,2019,1,2018,17,85,4992,63,TRUE
82,2019,2,2019,1,86,5055,61,FALSE
83,2019,3,2019,2,87,5116,59,FALSE
84,2019,4,2019,3,88,5175,57,FALSE
85,2019,5,2019,4,89,5232,57,FALSE
86,2019,6,2019,5,90,5289,50,FALSE
87,2019,7,2019,6,91,5339,51,FALSE
88,2019,8,2019,7,92,5390,53,FALSE
89,2019,9,2019,8,93,5443,49,FALSE
90,2019,10,2019,9,94,5492,47,FALSE
91,2019,11,2019,10,95,5539,57,FALSE
92,2019,12,2019,11,96,5596,55,FALSE
93,2019,13,2019,12,97,5651,59,FALSE
94,2019,14,2019,13,98,5710,63,FALSE
95,2019,15,2019,14,99,5773,61,FALSE
96,2019,16,2019,15,100,5834,62,FALSE
97,2019,17,2019,16,101,5896,59,FALSE
